_step,_timestamp,train/loss,_runtime,train/step_loss,Sample Generation,lr,iter,val/loss,seed
0,1779691135.7973888,4.0956315994262695,17.645552,,,9.900990099009901e-06,0.0,4.098750591278076,2026
1,1779691136.2794962,,18.1264824,4.137416839599609,,,0.0,,2026
2,1779691137.1980336,,19.0453521,3.1178205013275146,,,10.0,,2026
3,1779691138.1318371,,19.9792001,2.7657692432403564,,,20.0,,2026
4,1779691139.0954208,,20.9427468,2.6354031562805176,,,30.0,,2026
5,1779691140.0262322,,21.8733252,2.579592227935791,,,40.0,,2026
6,1779691140.9483771,,22.7954164,2.528820753097534,,,50.0,,2026
7,1779691141.8834453,,23.7310609,2.5164027214050293,,,60.0,,2026
8,1779691142.859723,,24.706958,2.4862053394317627,,,70.0,,2026
9,1779691143.8251789,,25.672166,2.4889564514160156,,,80.0,,2026
10,1779691144.7786636,,26.6256604,2.483945369720459,,,90.0,,2026
11,1779691145.700706,,27.5481836,2.4564268589019775,,,100.0,,2026
12,1779691146.6361892,,28.4831748,2.4572207927703857,,,110.0,,2026
13,1779691147.5572443,,29.404230599999998,2.4031779766082764,,,120.0,,2026
14,1779691148.4978676,,30.3448535,2.4220027923583984,,,130.0,,2026
15,1779691149.4600017,,31.3075089,2.4078705310821533,,,140.0,,2026
16,1779691150.3895555,,32.2367845,2.3757636547088623,,,150.0,,2026
17,1779691151.295684,,33.1425993,2.3847742080688477,,,160.0,,2026
18,1779691152.2124505,,34.059781,2.3445510864257812,,,170.0,,2026
19,1779691153.1395957,,34.986593,2.3120408058166504,,,180.0,,2026
20,1779691154.0310762,,35.8775557,2.2895021438598633,,,190.0,,2026
21,1779691154.9222612,,36.7692462,2.251314401626587,,,200.0,,2026
22,1779691155.8058689,,37.6528557,2.2220780849456787,,,210.0,,2026
23,1779691156.6946278,,38.5411074,2.194748640060425,,,220.0,,2026
24,1779691157.6020808,,39.4490956,2.136155843734741,,,230.0,,2026
25,1779691158.5014627,,40.3484641,2.104759931564331,,,240.0,,2026
26,1779691171.634621,2.0194997787475586,53.4816071,,,0.0009979206008271391,250.0,2.1067726612091064,2026
27,1779691171.7289374,,53.5759206,2.0689949989318848,,,250.0,,2026
28,1779691172.6358452,,54.4828811,2.033663034439087,,,260.0,,2026
29,1779691173.5437336,,55.3907267,2.018019437789917,,,270.0,,2026
30,1779691174.4500785,,56.2970625,2.034114360809326,,,280.0,,2026
31,1779691175.3614886,,57.2084817,1.9772638082504272,,,290.0,,2026
32,1779691176.3446064,,58.191086,1.9255539178848267,,,300.0,,2026
33,1779691177.3487918,,59.1957777,1.9164879322052002,,,310.0,,2026
34,1779691178.5448523,,60.39188,1.892162561416626,,,320.0,,2026
35,1779691179.8477824,,61.6949379,1.838269829750061,,,330.0,,2026
36,1779691181.1625926,,63.009603,1.8184700012207031,,,340.0,,2026
37,1779691182.3037078,,64.1506939,1.8041659593582153,,,350.0,,2026
38,1779691183.365275,,65.2122648,1.7947286367416382,,,360.0,,2026
39,1779691184.433427,,66.2804191,1.7951030731201172,,,370.0,,2026
40,1779691185.505892,,67.3528869,1.7849316596984863,,,380.0,,2026
41,1779691186.5558598,,68.4028902,1.791771650314331,,,390.0,,2026
42,1779691187.6191747,,69.4662017,1.7506011724472046,,,400.0,,2026
43,1779691188.6683311,,70.5153384,1.7093664407730103,,,410.0,,2026
44,1779691189.7321937,,71.5791883,1.6943819522857666,,,420.0,,2026
45,1779691190.7862332,,72.6337572,1.7099040746688843,,,430.0,,2026
46,1779691191.8345861,,73.6815801,1.6822106838226318,,,440.0,,2026
47,1779691192.8876464,,74.7346385,1.6589560508728027,,,450.0,,2026
48,1779691193.9105122,,75.7578273,1.6785386800765991,,,460.0,,2026
49,1779691194.9584649,,76.8054581,1.637222409248352,,,470.0,,2026
50,1779691196.0100667,,77.8570611,1.6565351486206055,,,480.0,,2026
51,1779691197.0866377,,78.9336167,1.585084080696106,,,490.0,,2026
52,1779691214.7261646,1.5371971130371094,96.573666,,,0.0009852826883675631,500.0,1.7353967428207397,2026
53,1779691214.8606713,,96.7077355,1.6046078205108643,,,500.0,,2026
54,1779691216.155563,,98.0025429,1.628708839416504,,,510.0,,2026
55,1779691217.363475,,99.2099549,1.5632325410842896,,,520.0,,2026
56,1779691218.487579,,100.334686,1.5630062818527222,,,530.0,,2026
57,1779691219.6184995,,101.4655255,1.5544930696487427,,,540.0,,2026
58,1779691220.7086346,,102.5551142,1.5812677145004272,,,550.0,,2026
59,1779691221.8029299,,103.6499132,1.5295978784561157,,,560.0,,2026
60,1779691222.924423,,104.7714027,1.5214513540267944,,,570.0,,2026
61,1779691224.0416324,,105.8896254,1.55124032497406,,,580.0,,2026
62,1779691225.1077666,,106.9549241,1.5560237169265747,,,590.0,,2026
63,1779691226.1363885,,107.9834661,1.5289785861968994,,,600.0,,2026
64,1779691227.1651633,,109.0121477,1.5260896682739258,,,610.0,,2026
65,1779691228.1847432,,110.0317305,1.5349047183990479,,,620.0,,2026
66,1779691229.19717,,111.044159,1.5083645582199097,,,630.0,,2026
67,1779691230.207555,,112.054542,1.4945358037948608,,,640.0,,2026
68,1779691231.219065,,113.066051,1.4768116474151611,,,650.0,,2026
69,1779691232.2309835,,114.0779981,1.4958771467208862,,,660.0,,2026
70,1779691233.2484982,,115.0960143,1.4871009588241577,,,670.0,,2026
71,1779691234.2640107,,116.112121,1.4722377061843872,,,680.0,,2026
72,1779691235.2935936,,117.141081,1.4570975303649902,,,690.0,,2026
73,1779691236.555061,,118.4495525,1.4587630033493042,,,700.0,,2026
74,1779691237.825548,,119.6730277,1.4408998489379883,,,710.0,,2026
75,1779691239.101919,,120.9494069,1.4589159488677979,,,720.0,,2026
76,1779691240.3181925,,122.1659222,1.4252650737762451,,,730.0,,2026
77,1779691241.4426155,,123.2897503,1.4038859605789185,,,740.0,,2026
78,1779691255.960043,1.3602211475372314,137.8072914,,,0.0009614856803571157,750.0,1.5901507139205933,2026
79,1779691256.0693848,,137.9166007,1.4388916492462158,,,750.0,,2026
80,1779691257.1109886,,138.9580868,1.4124568700790405,,,760.0,,2026
81,1779691258.144109,,139.9910945,1.4222904443740845,,,770.0,,2026
82,1779691259.1618886,,141.0088738,1.437649130821228,,,780.0,,2026
83,1779691260.179097,,142.0261775,1.3894836902618408,,,790.0,,2026
84,1779691261.1906896,,143.0384485,1.3887920379638672,,,800.0,,2026
85,1779691262.2065904,,144.0539025,1.3901325464248657,,,810.0,,2026
86,1779691263.21871,,145.066223,1.4232958555221558,,,820.0,,2026
87,1779691264.2344024,,146.0814185,1.3868385553359985,,,830.0,,2026
88,1779691265.2487283,,147.0965181,1.3664350509643555,,,840.0,,2026
89,1779691266.2657537,,148.1127404,1.3777521848678589,,,850.0,,2026
90,1779691267.280854,,149.1281461,1.4053269624710083,,,860.0,,2026
91,1779691268.2944005,,150.1416672,1.4058810472488403,,,870.0,,2026
92,1779691269.3114934,,151.1585191,1.367508053779602,,,880.0,,2026
93,1779691270.324247,,152.1712638,1.3885929584503174,,,890.0,,2026
94,1779691271.3384438,,153.1856636,1.3953142166137695,,,900.0,,2026
95,1779691272.352945,,154.1999284,1.3427073955535889,,,910.0,,2026
96,1779691273.3687954,,155.216058,1.361423134803772,,,920.0,,2026
97,1779691274.3809261,,156.2279133,1.3675999641418457,,,930.0,,2026
98,1779691275.3960931,,157.243082,1.3287769556045532,,,940.0,,2026
99,1779691276.4127784,,158.2603388,1.3445810079574585,,,950.0,,2026
100,1779691277.4278917,,159.2756173,1.3835556507110596,,,960.0,,2026
101,1779691278.4487307,,160.2957977,1.3175671100616455,,,970.0,,2026
102,1779691279.466762,,161.3137465,1.3310185670852661,,,980.0,,2026
103,1779691280.4817188,,162.329396,1.3589367866516113,,,990.0,,2026
104,1779691294.6623356,1.271410584449768,176.509453,,,0.0009271396472013282,1000.0,1.5199698209762573,2026
105,1779691294.7734742,,176.6204623,1.3334593772888184,,,1000.0,,2026
106,1779691295.8147736,,177.6612531,1.3539366722106934,,,1010.0,,2026
107,1779691296.8502958,,178.6972928,1.3475803136825562,,,1020.0,,2026
108,1779691297.8949769,,179.7419657,1.29897940158844,,,1030.0,,2026
109,1779691298.9474204,,180.7949235,1.3324419260025024,,,1040.0,,2026
110,1779691299.996174,,181.843163,1.3484007120132446,,,1050.0,,2026
111,1779691301.0322218,,182.8793477,1.3286875486373901,,,1060.0,,2026
112,1779691302.085427,,183.9326575,1.3009333610534668,,,1070.0,,2026
113,1779691303.1157837,,184.9636671,1.335071325302124,,,1080.0,,2026
114,1779691304.1467695,,185.9937558,1.3236676454544067,,,1090.0,,2026
115,1779691305.1806953,,187.027698,1.323492169380188,,,1100.0,,2026
116,1779691306.211946,,188.0592345,1.3268187046051025,,,1110.0,,2026
117,1779691307.2444823,,189.0914711,1.3070703744888306,,,1120.0,,2026
118,1779691308.2747147,,190.1218884,1.323406457901001,,,1130.0,,2026
119,1779691309.3009565,,191.1479417,1.2900625467300415,,,1140.0,,2026
