val/loss,_step,_timestamp,train/step_loss,_runtime,lr,iter,train/loss,Sample Generation,seed
4.268492698669434,0,1779640799.7562637,,13.8184872,9.900990099009901e-06,0.0,4.272477626800537,,3740
,1,1779640799.881603,4.285678863525391,13.94354,,0.0,,,3740
,2,1779640800.9152389,3.3312673568725586,14.9769454,,10.0,,,3740
,3,1779640801.9521272,2.9173853397369385,16.0138368,,20.0,,,3740
,4,1779640802.9876525,2.6268420219421387,17.0498575,,30.0,,,3740
,5,1779640804.0353498,2.552018404006958,18.0970568,,40.0,,,3740
,6,1779640805.0753195,2.5266380310058594,19.1370277,,50.0,,,3740
,7,1779640806.1224298,2.490859270095825,20.1841368,,60.0,,,3740
,8,1779640807.1563494,2.468489170074463,21.2180559,,70.0,,,3740
,9,1779640808.192682,2.4464452266693115,22.2543924,,80.0,,,3740
,10,1779640809.2337525,2.456760883331299,23.2954604,,90.0,,,3740
,11,1779640810.2831473,2.4336249828338623,24.3448249,,100.0,,,3740
,12,1779640811.3247805,2.3910253047943115,25.3870369,,110.0,,,3740
,13,1779640812.3672433,2.401202440261841,26.4292056,,120.0,,,3740
,14,1779640813.4063427,2.3916895389556885,27.4689598,,130.0,,,3740
,15,1779640814.4524384,2.3758134841918945,28.5150207,,140.0,,,3740
,16,1779640815.5079124,2.3266184329986572,29.5696185,,150.0,,,3740
,17,1779640816.5482743,2.309297561645508,30.6102151,,160.0,,,3740
,18,1779640817.5958118,2.271256685256958,31.6575197,,170.0,,,3740
,19,1779640818.6417427,2.2136924266815186,32.7034834,,180.0,,,3740
,20,1779640819.6851723,2.174161911010742,33.7468795,,190.0,,,3740
,21,1779640820.7339642,2.130225658416748,34.7957076,,200.0,,,3740
,22,1779640821.7691371,2.124978542327881,35.831001,,210.0,,,3740
,23,1779640822.8099484,2.071636199951172,36.8721499,,220.0,,,3740
,24,1779640823.847904,1.9979026317596436,37.909702,,230.0,,,3740
,25,1779640824.8923879,1.9625413417816162,38.9540967,,240.0,,,3740
1.986039161682129,26,1779640839.1771166,,53.2388273,0.0009979206008271391,250.0,1.8642390966415405,,3740
,27,1779640839.284147,1.9399973154067993,53.3466753,,250.0,,,3740
,28,1779640840.3262508,1.888716220855713,54.3874527,,260.0,,,3740
,29,1779640841.3691502,1.8450559377670288,55.4310409,,270.0,,,3740
,30,1779640842.4199262,1.847479224205017,56.4816369,,280.0,,,3740
,31,1779640843.4724927,1.802263855934143,57.5342768,,290.0,,,3740
,32,1779640844.5087273,1.7676984071731567,58.570459,,300.0,,,3740
,33,1779640845.554316,1.7623049020767212,59.6160245,,310.0,,,3740
,34,1779640846.5992699,1.7462199926376343,60.6610792,,320.0,,,3740
,35,1779640847.643995,1.7047251462936401,61.7057016,,330.0,,,3740
,36,1779640848.6909432,1.6707786321640015,62.7536506,,340.0,,,3740
,37,1779640849.7419255,1.6527479887008667,63.8036328,,350.0,,,3740
,38,1779640850.7902427,1.6562038660049438,64.8519486,,360.0,,,3740
,39,1779640851.838173,1.640609860420227,65.9001284,,370.0,,,3740
,40,1779640852.897828,1.6396509408950806,66.9596263,,380.0,,,3740
,41,1779640853.93713,1.6077913045883179,67.9988788,,390.0,,,3740
,42,1779640854.9841566,1.5695558786392212,69.0464803,,400.0,,,3740
,43,1779640856.0266628,1.5520671606063843,70.0892523,,410.0,,,3740
,44,1779640857.0744267,1.5756349563598633,71.1364382,,420.0,,,3740
,45,1779640858.1230845,1.556489109992981,72.1856895,,430.0,,,3740
,46,1779640859.1773698,1.5173596143722534,73.239376,,440.0,,,3740
,47,1779640860.2265575,1.5657706260681152,74.2885749,,450.0,,,3740
,48,1779640861.2720528,1.5564024448394775,75.3338112,,460.0,,,3740
,49,1779640862.3222587,1.5104855298995972,76.3841521,,470.0,,,3740
,50,1779640863.373539,1.4973719120025635,77.4362665,,480.0,,,3740
,51,1779640864.4228086,1.4857532978057861,78.4845152,,490.0,,,3740
1.642565131187439,52,1779640878.6843066,,92.7464561,0.0009852826883675631,500.0,1.426751971244812,,3740
,53,1779640878.7954764,1.5073132514953613,92.8572075,,500.0,,,3740
,54,1779640879.850097,1.4957518577575684,93.9118063,,510.0,,,3740
,55,1779640880.8995278,1.4674079418182373,94.9607295,,520.0,,,3740
,56,1779640881.9475732,1.458508014678955,96.0095761,,530.0,,,3740
,57,1779640883.002342,1.417232871055603,97.064148,,540.0,,,3740
,58,1779640884.0431557,1.4788596630096436,98.1050473,,550.0,,,3740
,59,1779640885.089461,1.448685884475708,99.1511692,,560.0,,,3740
,60,1779640886.1414192,1.4381500482559204,100.2031876,,570.0,,,3740
,61,1779640887.1943653,1.459202527999878,101.2560946,,580.0,,,3740
,62,1779640888.2344,1.403247594833374,102.2963043,,590.0,,,3740
,63,1779640889.2835362,1.4364665746688843,103.3452508,,600.0,,,3740
,64,1779640890.3269114,1.4365627765655518,104.3886188,,610.0,,,3740
,65,1779640891.3633027,1.3768439292907715,105.4254704,,620.0,,,3740
,66,1779640892.414766,1.3911842107772827,106.4770112,,630.0,,,3740
,67,1779640893.463584,1.4158061742782593,107.5262203,,640.0,,,3740
,68,1779640894.5164478,1.3936526775360107,108.5788445,,650.0,,,3740
,69,1779640895.5658813,1.4080400466918945,109.6276021,,660.0,,,3740
,70,1779640896.6237066,1.3812923431396484,110.685962,,670.0,,,3740
