val/loss,_timestamp,_step,Sample Generation,train/loss,train/step_loss,lr,iter,_runtime,seed
4.103899002075195,1779695475.5456972,0,,4.101020336151123,,9.900990099009901e-06,0.0,16.6774239,2026
,1779695475.7053874,1,,,4.141645431518555,,0.0,16.8366225,2026
,1779695477.0935004,2,,,3.117215633392334,,10.0,18.2251206,2026
,1779695478.4938636,3,,,2.7674307823181152,,20.0,19.6254469,2026
,1779695479.8812995,4,,,2.63470196723938,,30.0,21.0126906,2026
,1779695481.277173,5,,,2.580343246459961,,40.0,22.4084649,2026
,1779695482.667408,6,,,2.529968023300171,,50.0,23.7986398,2026
,1779695484.100396,7,,,2.5169758796691895,,60.0,25.2316322,2026
,1779695485.5712712,8,,,2.4876134395599365,,70.0,26.7025321,2026
,1779695487.0607674,9,,,2.4856653213500977,,80.0,28.1920123,2026
,1779695488.488899,10,,,2.4841506481170654,,90.0,29.620381,2026
,1779695489.913304,11,,,2.4574601650238037,,100.0,31.0455382,2026
,1779695491.337131,12,,,2.4573416709899902,,110.0,32.4684615,2026
,1779695492.7479708,13,,,2.4074931144714355,,120.0,33.879758,2026
,1779695494.1456594,14,,,2.4225966930389404,,130.0,35.2768915,2026
,1779695495.5718765,15,,,2.4127824306488037,,140.0,36.7038688,2026
,1779695497.0155387,16,,,2.3785197734832764,,150.0,38.1467739,2026
,1779695498.4626484,17,,,2.395401954650879,,160.0,39.594349,2026
,1779695499.9079125,18,,,2.348670721054077,,170.0,41.0391854,2026
,1779695501.369952,19,,,2.3187508583068848,,180.0,42.5011828,2026
,1779695502.8998005,20,,,2.2930493354797363,,190.0,44.0310484,2026
,1779695504.4245477,21,,,2.2555923461914062,,200.0,45.555778,2026
,1779695505.9986086,22,,,2.2176358699798584,,210.0,47.1300488,2026
,1779695507.5736752,23,,,2.200376033782959,,220.0,48.7049061,2026
,1779695509.1404238,24,,,2.147132635116577,,230.0,50.2716537,2026
,1779695510.717653,25,,,2.1163976192474365,,240.0,51.8490224,2026
2.116088628768921,1779695528.75049,26,,2.0257680416107178,,0.0009979206008271391,250.0,69.8816292,2026
,1779695528.894907,27,,,2.0763156414031982,,250.0,70.0261394,2026
,1779695530.291301,28,,,2.0432662963867188,,260.0,71.4225342,2026
,1779695531.6870737,29,,,2.0203371047973633,,270.0,72.8183126,2026
,1779695533.2133071,30,,,2.0411429405212402,,280.0,74.3445422,2026
,1779695534.7891982,31,,,1.9818098545074463,,290.0,75.9207179,2026
,1779695536.3665004,32,,,1.9349613189697266,,300.0,77.4979126,2026
,1779695537.9393497,33,,,1.9145865440368652,,310.0,79.0713454,2026
,1779695539.5165727,34,,,1.890523076057434,,320.0,80.647834,2026
,1779695541.0934765,35,,,1.846901774406433,,330.0,82.22471,2026
,1779695542.6696131,36,,,1.829714059829712,,340.0,83.8008446,2026
,1779695544.246857,37,,,1.8035441637039185,,350.0,85.3780897,2026
,1779695545.8226671,38,,,1.7929946184158325,,360.0,86.9539005,2026
,1779695547.3857057,39,,,1.810373306274414,,370.0,88.5169391,2026
,1779695548.9236526,40,,,1.7826629877090454,,380.0,90.0549143,2026
,1779695550.4582083,41,,,1.7967275381088257,,390.0,91.5894401,2026
,1779695551.955004,42,,,1.752664566040039,,400.0,93.086899,2026
,1779695553.4107375,43,,,1.714259147644043,,410.0,94.5420768,2026
,1779695554.8671327,44,,,1.6954129934310913,,420.0,95.9983993,2026
,1779695556.3234334,45,,,1.7192533016204834,,430.0,97.454666,2026
,1779695557.7791457,46,,,1.6810868978500366,,440.0,98.9103789,2026
,1779695559.2360182,47,,,1.6635209321975708,,450.0,100.3674399,2026
,1779695560.6899006,48,,,1.6805840730667114,,460.0,101.8216813,2026
,1779695562.1490366,49,,,1.6375172138214111,,470.0,103.2803844,2026
,1779695563.6061947,50,,,1.6594305038452148,,480.0,104.7374277,2026
,1779695565.063062,51,,,1.585750699043274,,490.0,106.1945163,2026
1.729888916015625,1779695582.349532,52,,1.5360145568847656,,0.0009852826883675631,500.0,123.480786,2026
,1779695582.494597,53,,,1.6058653593063354,,500.0,123.6258278,2026
,1779695583.8985176,54,,,1.6301825046539307,,510.0,125.030003,2026
,1779695585.3254437,55,,,1.5676391124725342,,520.0,126.4566771,2026
,1779695586.8410988,56,,,1.5625519752502441,,530.0,127.9723311,2026
,1779695588.3517282,57,,,1.562084674835205,,540.0,129.4831746,2026
,1779695589.8703172,58,,,1.5848468542099,,550.0,131.0017621,2026
,1779695591.3845835,59,,,1.5278693437576294,,560.0,132.5158183,2026
,1779695592.915988,60,,,1.521224021911621,,570.0,134.0474493,2026
,1779695594.4808097,61,,,1.547845721244812,,580.0,135.6120428,2026
,1779695596.0405247,62,,,1.5559546947479248,,590.0,137.1717587,2026
,1779695597.5978708,63,,,1.5339208841323853,,600.0,138.7291015,2026
,1779695599.155698,64,,,1.5241707563400269,,610.0,140.286931,2026
,1779695600.7131946,65,,,1.5355613231658936,,620.0,141.8444266,2026
,1779695602.2716353,66,,,1.519883155822754,,630.0,143.4029731,2026
,1779695603.8322182,67,,,1.4912116527557373,,640.0,144.9634529,2026
,1779695605.3886757,68,,,1.4762299060821533,,650.0,146.5199081,2026
,1779695606.9026139,69,,,1.4987598657608032,,660.0,148.0338458,2026
,1779695608.386155,70,,,1.4825750589370728,,670.0,149.5176763,2026
,1779695609.8679578,71,,,1.471659779548645,,680.0,150.9993541,2026
,1779695611.3509164,72,,,1.4526828527450562,,690.0,152.4821495,2026
