_timestamp,train/step_loss,iter,Sample Generation,_step,val/loss,lr,_runtime,train/loss,seed
1779718128.1133637,,0.0,,0,4.386557102203369,9.900990099009901e-06,13.6215856,4.396404266357422,6242
1779718128.2198853,4.357059001922607,0.0,,1,,,13.727678000000001,,6242
1779718129.1191068,3.177821636199951,10.0,,2,,,14.6272765,,6242
1779718130.0165243,2.766622543334961,20.0,,3,,,15.5242442,,6242
1779718130.9134302,2.623767614364624,30.0,,4,,,16.4211493,,6242
1779718131.81229,2.554441213607788,40.0,,5,,,17.3200102,,6242
1779718132.7115335,2.5435190200805664,50.0,,6,,,18.2192523,,6242
1779718133.608649,2.500661849975586,60.0,,7,,,19.1168937,,6242
1779718134.5082486,2.504765510559082,70.0,,8,,,20.0159686,,6242
1779718135.405472,2.4969968795776367,80.0,,9,,,20.913868,,6242
1779718136.304524,2.486891031265259,90.0,,10,,,21.8122433,,6242
1779718137.2036347,2.505171537399292,100.0,,11,,,22.7113542,,6242
1779718138.1025271,2.480670213699341,110.0,,12,,,23.6102493,,6242
1779718139.0022316,2.472186803817749,120.0,,13,,,24.5100046,,6242
1779718139.9026406,2.440912961959839,130.0,,14,,,25.4103748,,6242
1779718140.8009677,2.446622133255005,140.0,,15,,,26.3081828,,6242
1779718141.6989043,2.456653356552124,150.0,,16,,,27.206626,,6242
1779718142.595255,2.406160354614258,160.0,,17,,,28.1037438,,6242
1779718143.4948978,2.4076333045959473,170.0,,18,,,29.0026168,,6242
1779718144.392387,2.4273200035095215,180.0,,19,,,29.9003788,,6242
1779718145.2868085,2.3865127563476562,190.0,,20,,,30.794552799999998,,6242
1779718146.1841707,2.3548104763031006,200.0,,21,,,31.6918905,,6242
1779718147.0853217,2.3673171997070312,210.0,,22,,,32.5930448,,6242
1779718147.9834125,2.3176960945129395,220.0,,23,,,33.4911321,,6242
1779718148.879781,2.332207679748535,230.0,,24,,,34.3880455,,6242
1779718149.7785683,2.321378707885742,240.0,,25,,,35.2868363,,6242
1779718163.423899,,250.0,,26,2.276772975921631,0.0009979206008271391,48.9321162,2.2345523834228516,6242
1779718163.5175438,2.307955503463745,250.0,,27,,,49.0259193,,6242
1779718164.4148307,2.2920148372650146,260.0,,28,,,49.9225503,,6242
1779718165.3129241,2.2816708087921143,270.0,,29,,,50.8206432,,6242
1779718166.211088,2.2452592849731445,280.0,,30,,,51.7191565,,6242
1779718167.1266787,2.2594857215881348,290.0,,31,,,52.6344013,,6242
1779718168.0273373,2.21950101852417,300.0,,32,,,53.5350565,,6242
1779718168.926251,2.1756269931793213,310.0,,33,,,54.4339717,,6242
1779718169.8323927,2.197835683822632,320.0,,34,,,55.3401136,,6242
1779718170.7342587,2.1538150310516357,330.0,,35,,,56.2419774,,6242
1779718171.6351492,2.167401075363159,340.0,,36,,,57.1437104,,6242
1779718172.540254,2.109758138656616,350.0,,37,,,58.0481418,,6242
1779718173.4424007,2.125739336013794,360.0,,38,,,58.9502561,,6242
1779718174.3447156,2.107118844985962,370.0,,39,,,59.8528072,,6242
1779718175.2472553,2.0877671241760254,380.0,,40,,,60.7549773,,6242
1779718176.1486394,2.096682071685791,390.0,,41,,,61.6571352,,6242
1779718177.0509624,2.0545594692230225,400.0,,42,,,62.5586858,,6242
1779718177.9487557,2.034959316253662,410.0,,43,,,63.4564796,,6242
1779718178.8498867,2.007887363433838,420.0,,44,,,64.3576088,,6242
1779718179.7580314,1.9898154735565186,430.0,,45,,,65.2660212,,6242
1779718180.660437,1.998081922531128,440.0,,46,,,66.1684627,,6242
1779718181.5672626,1.9718374013900757,450.0,,47,,,67.0758939,,6242
1779718182.4727209,1.9829916954040527,460.0,,48,,,67.9804401,,6242
1779718183.3753955,1.9517899751663208,470.0,,49,,,68.8831175,,6242
1779718184.2824147,1.9655520915985107,480.0,,50,,,69.7910116,,6242
1779718185.1970718,1.9061048030853271,490.0,,51,,,70.7042868,,6242
1779718198.8233697,,500.0,,52,1.9624019861221313,0.0009852826883675631,84.3311961,1.8278913497924805,6242
1779718198.917654,1.946076512336731,500.0,,53,,,84.4253769,,6242
1779718199.8140137,1.8918389081954956,510.0,,54,,,85.3217341,,6242
1779718200.718365,1.9013371467590332,520.0,,55,,,86.2260903,,6242
1779718201.623679,1.8458276987075806,530.0,,56,,,87.1313987,,6242
1779718202.5254452,1.8854173421859741,540.0,,57,,,88.0331656,,6242
1779718203.4399488,1.843568205833435,550.0,,58,,,88.9476727,,6242
1779718204.339274,1.8377236127853394,560.0,,59,,,89.8469946,,6242
1779718205.2475684,1.7898277044296265,570.0,,60,,,90.7552873,,6242
1779718206.152519,1.823913812637329,580.0,,61,,,91.6602413,,6242
1779718207.0590296,1.8231682777404785,590.0,,62,,,92.5672052,,6242
1779718207.967696,1.7871991395950317,600.0,,63,,,93.4756125,,6242
1779718208.8725379,1.766494631767273,610.0,,64,,,94.3802578,,6242
1779718209.77758,1.7735909223556519,620.0,,65,,,95.2853003,,6242
1779718210.6822264,1.755136251449585,630.0,,66,,,96.1901216,,6242
1779718211.587083,1.7878921031951904,640.0,,67,,,97.0953091,,6242
1779718212.5008688,1.7800074815750122,650.0,,68,,,98.0085882,,6242
1779718213.4033408,1.7493118047714233,660.0,,69,,,98.9110601,,6242
1779718214.309298,1.7591450214385986,670.0,,70,,,99.8173585,,6242
1779718215.2134671,1.741251826286316,680.0,,71,,,100.7212996,,6242
1779718216.1186032,1.720898151397705,690.0,,72,,,101.6274034,,6242
1779718217.0264258,1.7277703285217285,700.0,,73,,,102.5344375,,6242
1779718217.937492,1.7018334865570068,710.0,,74,,,103.4453687,,6242
1779718218.8392622,1.6904704570770264,720.0,,75,,,104.3476355,,6242
1779718219.7513478,1.7099437713623047,730.0,,76,,,105.259578,,6242
1779718220.656707,1.667622447013855,740.0,,77,,,106.1649233,,6242
1779718234.2641263,,750.0,,78,1.781671166419983,0.0009614856803571157,119.7717617,1.591497778892517,6242
1779718234.3583472,1.7095540761947632,750.0,,79,,,119.8660664,,6242
1779718235.264229,1.6830604076385498,760.0,,80,,,120.7722213,,6242
1779718236.1679285,1.6580063104629517,770.0,,81,,,121.6756483,,6242
1779718237.0713022,1.6715960502624512,780.0,,82,,,122.5798017,,6242
1779718237.9784384,1.6280262470245361,790.0,,83,,,123.4869271,,6242
1779718238.8833303,1.651595115661621,800.0,,84,,,124.3912663,,6242
1779718239.7891502,1.6565361022949219,810.0,,85,,,125.2968696,,6242
1779718240.6970086,1.678488850593567,820.0,,86,,,126.2048928,,6242
1779718241.6074889,1.645022988319397,830.0,,87,,,127.1162563,,6242
1779718242.5128503,1.6142938137054443,840.0,,88,,,128.0205701,,6242
1779718243.4157028,1.5773842334747314,850.0,,89,,,128.924327,,6242
1779718244.3240464,1.605271339416504,860.0,,90,,,129.8317659,,6242
1779718245.2262204,1.591181755065918,870.0,,91,,,130.7345943,,6242
1779718246.1374264,1.6040022373199463,880.0,,92,,,131.6451463,,6242
1779718247.04736,1.5917173624038696,890.0,,93,,,132.5559954,,6242
1779718247.9559114,1.5846967697143555,900.0,,94,,,133.4636771,,6242
1779718248.8642766,1.5708016157150269,910.0,,95,,,134.3719959,,6242
1779718249.7733295,1.6085516214370728,920.0,,96,,,135.2812267,,6242
1779718250.6817605,1.5645328760147095,930.0,,97,,,136.1904617,,6242
1779718251.5876672,1.5711629390716553,940.0,,98,,,137.0953868,,6242
1779718252.4957347,1.582706093788147,950.0,,99,,,138.0037318,,6242
1779718253.4068043,1.5913504362106323,960.0,,100,,,138.914642,,6242
1779718254.3200142,1.564846158027649,970.0,,101,,,139.8278077,,6242
1779718255.2386463,1.5910844802856445,980.0,,102,,,140.7463667,,6242
1779718256.1511629,1.5663870573043823,990.0,,103,,,141.6591186,,6242
1779718269.7406917,,1000.0,,104,1.6785659790039062,0.0009271396472013282,155.2487565,1.4651904106140137,6242
1779718269.8354995,1.590803623199463,1000.0,,105,,,155.3432209,,6242
1779718270.7449167,1.550279140472412,1010.0,,106,,,156.2526362,,6242
1779718271.6570294,1.5595968961715698,1020.0,,107,,,157.1647512,,6242
1779718272.5639186,1.5730652809143066,1030.0,,108,,,158.0716383,,6242
1779718273.4719768,1.5398081541061401,1040.0,,109,,,158.9797005,,6242
1779718274.37684,1.534002423286438,1050.0,,110,,,159.8849049,,6242
1779718275.2798176,1.5209264755249023,1060.0,,111,,,160.787565,,6242
1779718276.195692,1.5249884128570557,1070.0,,112,,,161.7034114,,6242
1779718277.0996554,1.530387043952942,1080.0,,113,,,162.6073785,,6242
1779718278.0079393,1.502344012260437,1090.0,,114,,,163.5159005,,6242
1779718278.9126391,1.5410313606262207,1100.0,,115,,,164.420403,,6242
1779718279.824901,1.5248535871505737,1110.0,,116,,,165.33272,,6242
1779718280.7362008,1.5075979232788086,1120.0,,117,,,166.2439244,,6242
1779718281.652721,1.515407919883728,1130.0,,118,,,167.1604423,,6242
1779718282.557568,1.5121595859527588,1140.0,,119,,,168.0652887,,6242
1779718283.4678648,1.495872974395752,1150.0,,120,,,168.9762011,,6242
1779718284.380241,1.508976697921753,1160.0,,121,,,169.8879849,,6242
1779718285.2841678,1.487607717514038,1170.0,,122,,,170.7927149,,6242
1779718286.1929853,1.509749412536621,1180.0,,123,,,171.700716,,6242
1779718287.0995376,1.4749943017959595,1190.0,,124,,,172.6072623,,6242
1779718288.0090046,1.4790531396865845,1200.0,,125,,,173.5176822,,6242
