iter,_step,val/loss,Sample Generation,lr,_runtime,train/step_loss,_timestamp,train/loss,seed
0.0,0,4.342796802520752,,9.900990099009901e-06,6.002467,,1779628877.0306153,4.3446831703186035,3242
0.0,1,,,,6.0552417,4.320045471191406,1779628877.0830736,,3242
10.0,2,,,,6.4601821,3.1970090866088867,1779628877.488206,,3242
20.0,3,,,,6.862765,2.742875576019287,1779628877.8908062,,3242
30.0,4,,,,7.2657118,2.630404472351074,1779628878.2940302,,3242
40.0,5,,,,7.6639666,2.5612058639526367,1779628878.6922827,,3242
50.0,6,,,,8.0655223,2.5224978923797607,1779628879.093831,,3242
60.0,7,,,,8.4646635,2.5055277347564697,1779628879.49298,,3242
70.0,8,,,,8.8640082,2.507843255996704,1779628879.8923259,,3242
80.0,9,,,,9.2636039,2.4794435501098633,1779628880.29101,,3242
90.0,10,,,,9.6648522,2.473891019821167,1779628880.69317,,3242
100.0,11,,,,10.0657667,2.4518165588378906,1779628881.0940826,,3242
110.0,12,,,,10.4629118,2.3862035274505615,1779628881.4907858,,3242
120.0,13,,,,10.8627614,2.4063780307769775,1779628881.8901083,,3242
130.0,14,,,,11.2638411,2.3672306537628174,1779628882.2920134,,3242
140.0,15,,,,11.6620961,2.3372678756713867,1779628882.690004,,3242
150.0,16,,,,12.063982,2.314633846282959,1779628883.0922093,,3242
160.0,17,,,,12.4624449,2.262648820877075,1779628883.4907575,,3242
170.0,18,,,,12.8623312,2.189411163330078,1779628883.89023,,3242
180.0,19,,,,13.2832996,2.17946195602417,1779628884.3116171,,3242
190.0,20,,,,13.6852521,2.1583240032196045,1779628884.7135687,,3242
200.0,21,,,,14.0879751,2.1437456607818604,1779628885.116194,,3242
210.0,22,,,,14.490781,2.0829625129699707,1779628885.5190935,,3242
220.0,23,,,,14.8962695,2.050291061401367,1779628885.9237585,,3242
230.0,24,,,,15.2960366,2.0643181800842285,1779628886.3243504,,3242
240.0,25,,,,15.6959888,2.0495755672454834,1779628886.7243054,,3242
250.0,26,2.0469698905944824,,0.0009979206008271391,21.6066322,,1779628892.6347675,1.9472072124481201,3242
250.0,27,,,,21.650092,2.0429158210754395,1779628892.6774209,,3242
260.0,28,,,,22.0523928,1.9966113567352295,1779628893.0804749,,3242
270.0,29,,,,22.4557001,2.0099570751190186,1779628893.4837499,,3242
280.0,30,,,,22.8580848,1.962834358215332,1779628893.886175,,3242
290.0,31,,,,23.2623518,1.9519234895706177,1779628894.2906551,,3242
300.0,32,,,,23.6730949,1.8935737609863281,1779628894.7013893,,3242
310.0,33,,,,24.0784715,1.8760722875595093,1779628895.1067894,,3242
320.0,34,,,,24.4773126,1.9038770198822021,1779628895.50557,,3242
330.0,35,,,,24.8779626,1.8807895183563232,1779628895.9062529,,3242
340.0,36,,,,25.2772844,1.830716609954834,1779628896.3054001,,3242
350.0,37,,,,25.6802802,1.7991526126861572,1779628896.7086437,,3242
360.0,38,,,,26.0788932,1.8227453231811523,1779628897.1077154,,3242
370.0,39,,,,26.4798066,1.8147488832473755,1779628897.5086288,,3242
380.0,40,,,,26.8819006,1.7858374118804932,1779628897.9102197,,3242
390.0,41,,,,27.2844798,1.8298431634902954,1779628898.3127978,,3242
400.0,42,,,,27.6873255,1.7857388257980347,1779628898.7156417,,3242
410.0,43,,,,28.092236,1.767648458480835,1779628899.1205494,,3242
420.0,44,,,,28.4954391,1.7748056650161743,1779628899.5237546,,3242
430.0,45,,,,28.9039812,1.7630139589309692,1779628899.931803,,3242
440.0,46,,,,29.3087724,1.7225738763809204,1779628900.3369684,,3242
450.0,47,,,,29.713711,1.7251979112625122,1779628900.7425332,,3242
460.0,48,,,,30.1184914,1.7525662183761597,1779628901.146809,,3242
470.0,49,,,,30.526878,1.7202240228652954,1779628901.553525,,3242
480.0,50,,,,30.9277896,1.6693179607391357,1779628901.9561064,,3242
490.0,51,,,,31.3380005,1.6838593482971191,1779628902.3663168,,3242
500.0,52,1.8007910251617432,,0.0009852826883675631,37.2603077,,1779628908.2882173,1.629701852798462,3242
500.0,53,,,,37.303227,1.7182244062423706,1779628908.3312738,,3242
510.0,54,,,,37.708897,1.6892380714416504,1779628908.7362149,,3242
520.0,55,,,,38.1210475,1.6758370399475098,1779628909.1480823,,3242
530.0,56,,,,38.5297227,1.670638084411621,1779628909.5580382,,3242
540.0,57,,,,38.9368114,1.670624017715454,1779628909.9651294,,3242
550.0,58,,,,39.3445502,1.651843547821045,1779628910.3728426,,3242
560.0,59,,,,39.7524447,1.655269742012024,1779628910.7807589,,3242
570.0,60,,,,40.1596478,1.695434808731079,1779628911.1879642,,3242
580.0,61,,,,40.5696127,1.648010015487671,1779628911.5979283,,3242
