lr,_runtime,_timestamp,train/loss,train/step_loss,iter,Sample Generation,_step,val/loss,seed
9.900990099009901e-06,23.5850789,1779629220.8248699,4.246151924133301,,0.0,,0,4.242739677429199,3242
,23.7976787,1779629221.0387077,,4.2490715980529785,0.0,,1,,3242
,25.7233975,1779629222.9643962,,3.144294261932373,10.0,,2,,3242
,27.6545752,1779629224.8961215,,2.74462890625,20.0,,3,,3242
,29.591101600000002,1779629226.8326502,,2.5931813716888428,30.0,,4,,3242
,31.5250474,1779629228.7665956,,2.5443570613861084,40.0,,5,,3242
,33.447522,1779629230.6890695,,2.538008213043213,50.0,,6,,3242
,35.3875698,1779629232.6287916,,2.50539493560791,60.0,,7,,3242
,37.323971,1779629234.5655181,,2.487147569656372,70.0,,8,,3242
,39.2669121,1779629236.5084078,,2.4859743118286133,80.0,,9,,3242
,41.1953894,1779629238.4369392,,2.4659461975097656,90.0,,10,,3242
,43.1461609,1779629240.3877087,,2.454789400100708,100.0,,11,,3242
,45.0781907,1779629242.3195693,,2.4481215476989746,110.0,,12,,3242
,47.0948222,1779629244.3363705,,2.4414472579956055,120.0,,13,,3242
,49.0374881,1779629246.2790148,,2.4486186504364014,130.0,,14,,3242
,50.9929734,1779629248.2343893,,2.450242757797241,140.0,,15,,3242
,52.9324586,1779629250.173745,,2.415069580078125,150.0,,16,,3242
,54.8752867,1779629252.1168368,,2.430992841720581,160.0,,17,,3242
,56.80479,1779629254.0463398,,2.406168222427368,170.0,,18,,3242
,58.7496394,1779629255.9911594,,2.383232355117798,180.0,,19,,3242
,60.6802333,1779629257.921783,,2.382394552230835,190.0,,20,,3242
,62.6500732,1779629259.8906322,,2.361034870147705,200.0,,21,,3242
,64.592433,1779629261.8339577,,2.344862699508667,210.0,,22,,3242
,66.5369875,1779629263.7785351,,2.374877452850342,220.0,,23,,3242
,68.4802715,1779629265.7211874,,2.3178443908691406,230.0,,24,,3242
,70.423354,1779629267.66479,,2.28743314743042,240.0,,25,,3242
0.0009979206008271391,95.4081071,1779629292.6486325,2.2138781547546387,,250.0,,26,2.2883810997009277,3242
,95.6040149,1779629292.8451903,,2.279869556427002,250.0,,27,,3242
,97.5524904,1779629294.7934947,,2.2145345211029053,260.0,,28,,3242
,99.4910152,1779629296.7325628,,2.2061827182769775,270.0,,29,,3242
,101.4244884,1779629298.665963,,2.1600334644317627,280.0,,30,,3242
,103.3530061,1779629300.5945494,,2.1563432216644287,290.0,,31,,3242
,105.2880232,1779629302.5287051,,2.1159002780914307,300.0,,32,,3242
,107.2106984,1779629304.4521618,,2.061598539352417,310.0,,33,,3242
,109.1339128,1779629306.3752096,,2.0550482273101807,320.0,,34,,3242
,111.0525487,1779629308.2940965,,2.02756929397583,330.0,,35,,3242
,113.0729766,1779629310.3140798,,2.0235681533813477,340.0,,36,,3242
,115.141188,1779629312.3819935,,1.9598816633224487,350.0,,37,,3242
,117.2580978,1779629314.499037,,1.9326260089874268,360.0,,38,,3242
,119.2574096,1779629316.4989579,,1.912316083908081,370.0,,39,,3242
,121.2551134,1779629318.4966643,,1.8946428298950195,380.0,,40,,3242
,123.2537107,1779629320.4951148,,1.8319337368011475,390.0,,41,,3242
,125.2387145,1779629322.4796987,,1.8332431316375732,400.0,,42,,3242
,127.2098009,1779629324.4513502,,1.8139032125473022,410.0,,43,,3242
,129.2214328,1779629326.4634886,,1.7672102451324463,420.0,,44,,3242
,131.2706426,1779629328.5121891,,1.7468254566192627,430.0,,45,,3242
,133.3500164,1779629330.5915658,,1.719959020614624,440.0,,46,,3242
,135.3320181,1779629332.5735683,,1.7171603441238403,450.0,,47,,3242
,137.282703,1779629334.5241792,,1.7296291589736938,460.0,,48,,3242
,139.2540531,1779629336.4961088,,1.6923811435699463,470.0,,49,,3242
,141.2125409,1779629338.4537315,,1.6719889640808105,480.0,,50,,3242
,143.1747185,1779629340.4162698,,1.648659586906433,490.0,,51,,3242
0.0009852826883675631,168.2584137,1779629365.499804,1.5438123941421509,,500.0,,52,1.7345852851867676,3242
,168.4606701,1779629365.7022116,,1.6482069492340088,500.0,,53,,3242
,170.4467426,1779629367.6887982,,1.6425966024398804,510.0,,54,,3242
,172.431631,1779629369.673183,,1.5667916536331177,520.0,,55,,3242
,174.4164618,1779629371.6577728,,1.5896141529083252,530.0,,56,,3242
,176.3887502,1779629373.6303017,,1.5799651145935059,540.0,,57,,3242
,178.3685505,1779629375.609912,,1.5229393243789673,550.0,,58,,3242
,180.3344743,1779629377.57653,,1.546238899230957,560.0,,59,,3242
,182.3020526,1779629379.54358,,1.526061773300171,570.0,,60,,3242
,184.2679007,1779629381.5099564,,1.5346672534942627,580.0,,61,,3242
,186.2339713,1779629383.4755216,,1.4997228384017944,590.0,,62,,3242
,188.2123581,1779629385.4539094,,1.4956632852554321,600.0,,63,,3242
,190.1920866,1779629387.4336352,,1.4898490905761719,610.0,,64,,3242
,192.2017672,1779629389.442584,,1.5131571292877197,620.0,,65,,3242
,194.2137586,1779629391.4545047,,1.5019139051437378,630.0,,66,,3242
,196.2131829,1779629393.4544988,,1.4559335708618164,640.0,,67,,3242
,198.2491842,1779629395.490739,,1.440002679824829,650.0,,68,,3242
,200.2890528,1779629397.5311086,,1.4340945482254028,660.0,,69,,3242
,202.3197342,1779629399.5612812,,1.4326313734054565,670.0,,70,,3242
,204.3451094,1779629401.5864408,,1.4399086236953735,680.0,,71,,3242
,206.3756093,1779629403.6171608,,1.4301868677139282,690.0,,72,,3242
,208.4751594,1779629405.7167094,,1.4149107933044434,700.0,,73,,3242
,210.5226168,1779629407.7634082,,1.4145019054412842,710.0,,74,,3242
,212.5630195,1779629409.8045433,,1.3777092695236206,720.0,,75,,3242
,214.5926371,1779629411.8331676,,1.396775245666504,730.0,,76,,3242
,216.6170237,1779629413.8577983,,1.4060823917388916,740.0,,77,,3242
0.0009614856803571157,243.7626132,1779629441.0036616,1.3147817850112915,,750.0,,78,1.5623180866241455,3242
,243.9708308,1779629441.2121031,,1.3853800296783447,750.0,,79,,3242
,246.0346436,1779629443.2761912,,1.4020370244979858,760.0,,80,,3242
,248.0918035,1779629445.3326347,,1.3867113590240479,770.0,,81,,3242
,250.1368354,1779629447.3783793,,1.3532512187957764,780.0,,82,,3242
,252.1816743,1779629449.4231799,,1.3721754550933838,790.0,,83,,3242
,254.235689,1779629451.4771085,,1.3718030452728271,800.0,,84,,3242
,256.2753933,1779629453.5159392,,1.36970853805542,810.0,,85,,3242
,258.32425,1779629455.565403,,1.3196167945861816,820.0,,86,,3242
,260.3794295,1779629457.6204123,,1.3154197931289673,830.0,,87,,3242
,262.4166792,1779629459.6571782,,1.328428030014038,840.0,,88,,3242
,264.4604655,1779629461.7018921,,1.3321967124938965,850.0,,89,,3242
,266.485811,1779629463.7272654,,1.3136731386184692,860.0,,90,,3242
,268.526057,1779629465.7673645,,1.3335800170898438,870.0,,91,,3242
,270.5717337,1779629467.8127995,,1.3380206823349,880.0,,92,,3242
,272.6131611,1779629469.8544788,,1.3137810230255127,890.0,,93,,3242
,274.6619506,1779629471.9034684,,1.3009039163589478,900.0,,94,,3242
,276.6901121,1779629473.931295,,1.3067212104797363,910.0,,95,,3242
,278.7227713,1779629475.9640572,,1.3257149457931519,920.0,,96,,3242
,280.7438971,1779629477.984242,,1.314553141593933,930.0,,97,,3242
,282.7822194,1779629480.0237687,,1.3263497352600098,940.0,,98,,3242
,284.809135,1779629482.0505598,,1.3214424848556519,950.0,,99,,3242
,286.846385,1779629484.087946,,1.2932857275009155,960.0,,100,,3242
,288.8726377,1779629486.1135511,,1.2754119634628296,970.0,,101,,3242
,290.9000559,1779629488.1408844,,1.2734317779541016,980.0,,102,,3242
,292.9193456,1779629490.1608946,,1.2965307235717773,990.0,,103,,3242
0.0009271396472013282,319.9668984,1779629517.2080355,1.202249526977539,,1000.0,,104,1.4994146823883057,3242
,320.1774011,1779629517.4188445,,1.2862403392791748,1000.0,,105,,3242
,322.2282256,1779629519.4688559,,1.267590880393982,1010.0,,106,,3242
,324.2651383,1779629521.5061362,,1.2708977460861206,1020.0,,107,,3242
,326.4146151,1779629523.655886,,1.2824106216430664,1030.0,,108,,3242
,328.5495889,1779629525.7902138,,1.2805100679397583,1040.0,,109,,3242
,330.6808369,1779629527.9222238,,1.2543023824691772,1050.0,,110,,3242
,332.7479348,1779629529.9893656,,1.262001633644104,1060.0,,111,,3242
,334.9047294,1779629532.1461313,,1.2558270692825317,1070.0,,112,,3242
,337.0296953,1779629534.2711332,,1.237379550933838,1080.0,,113,,3242
,339.1552069,1779629536.396602,,1.26902174949646,1090.0,,114,,3242
,341.3274497,1779629538.5687497,,1.2610864639282227,1100.0,,115,,3242
