_runtime,val/loss,iter,train/loss,train/step_loss,_step,_timestamp,Sample Generation,lr,seed
13.2689643,4.434079647064209,0.0,4.44244384765625,,0,1779714838.8270187,,9.900990099009901e-06,6242
13.3787191,,0.0,,4.390223503112793,1,1779714838.9365838,,,6242
14.3514954,,10.0,,3.1792330741882324,2,1779714839.9098473,,,6242
15.3208157,,20.0,,2.7471022605895996,3,1779714840.8793662,,,6242
16.2932188,,30.0,,2.618616819381714,4,1779714841.8517642,,,6242
17.2643332,,40.0,,2.5472075939178467,5,1779714842.8233902,,,6242
18.2398034,,50.0,,2.530606269836426,6,1779714843.7983363,,,6242
19.2277853,,60.0,,2.495765447616577,7,1779714844.7863357,,,6242
20.1998414,,70.0,,2.4892525672912598,8,1779714845.7583911,,,6242
21.1590325,,80.0,,2.4824438095092773,9,1779714846.7175832,,,6242
22.1377602,,90.0,,2.4683756828308105,10,1779714847.6963112,,,6242
23.110941,,100.0,,2.4748644828796387,11,1779714848.668878,,,6242
24.0943779,,110.0,,2.468674659729004,12,1779714849.6529286,,,6242
25.0313026,,120.0,,2.451528310775757,13,1779714850.589852,,,6242
25.9331235,,130.0,,2.4186079502105713,14,1779714851.4907296,,,6242
26.8430316,,140.0,,2.408116102218628,15,1779714852.400583,,,6242
27.775464200000002,,150.0,,2.4497156143188477,16,1779714853.3339386,,,6242
28.6816022,,160.0,,2.3617751598358154,17,1779714854.2392778,,,6242
29.6616939,,170.0,,2.361137628555298,18,1779714855.2181458,,,6242
30.639989,,180.0,,2.3422698974609375,19,1779714856.1985414,,,6242
31.5958355,,190.0,,2.2912745475769043,20,1779714857.1543853,,,6242
32.5524945,,200.0,,2.23107647895813,21,1779714858.110899,,,6242
33.4728425,,210.0,,2.2424027919769287,22,1779714859.0313334,,,6242
34.3811257,,220.0,,2.20127010345459,23,1779714859.9396477,,,6242
35.3208659,,230.0,,2.183241605758667,24,1779714860.8788397,,,6242
36.2551917,,240.0,,2.165526866912842,25,1779714861.813743,,,6242
49.5900437,2.1402089595794678,250.0,2.0538268089294434,,26,1779714875.148101,,0.0009979206008271391,6242
49.6922662,,250.0,,2.1454386711120605,27,1779714875.2508187,,,6242
50.7089556,,260.0,,2.0894477367401123,28,1779714876.2675014,,,6242
51.7381056,,270.0,,2.0688343048095703,29,1779714877.295602,,,6242
52.7176714,,280.0,,2.0153648853302,30,1779714878.276222,,,6242
53.6648454,,290.0,,2.032743215560913,31,1779714879.223396,,,6242
54.619309,,300.0,,1.9720888137817383,32,1779714880.177412,,,6242
55.5660314,,310.0,,1.8998826742172241,33,1779714881.1240907,,,6242
56.5043762,,320.0,,1.9213624000549316,34,1779714882.0623488,,,6242
57.4372522,,330.0,,1.8843989372253418,35,1779714882.9953692,,,6242
58.3770495,,340.0,,1.8799302577972412,36,1779714883.9349613,,,6242
59.322212,,350.0,,1.8184030055999756,37,1779714884.880726,,,6242
60.2657846,,360.0,,1.8352607488632202,38,1779714885.824334,,,6242
61.2095124,,370.0,,1.812406301498413,39,1779714886.7680616,,,6242
62.1434893,,380.0,,1.775294542312622,40,1779714887.7010407,,,6242
63.0831498,,390.0,,1.793124794960022,41,1779714888.6412508,,,6242
64.0109454,,400.0,,1.7441749572753906,42,1779714889.569495,,,6242
64.9394229,,410.0,,1.7362887859344482,43,1779714890.497966,,,6242
65.8780134,,420.0,,1.7091618776321411,44,1779714891.436181,,,6242
66.8288309,,430.0,,1.6897152662277222,45,1779714892.3873813,,,6242
67.7569642,,440.0,,1.6931440830230713,46,1779714893.3154097,,,6242
68.7084698,,450.0,,1.6562620401382446,47,1779714894.2670217,,,6242
69.6427781,,460.0,,1.682560682296753,48,1779714895.2003305,,,6242
70.5764848,,470.0,,1.654181957244873,49,1779714896.1350307,,,6242
71.5102109,,480.0,,1.6718724966049194,50,1779714897.0681572,,,6242
72.4507565,,490.0,,1.6115065813064575,51,1779714898.0093062,,,6242
85.6273001,1.7149354219436646,500.0,1.543442964553833,,52,1779714911.1856697,,0.0009852826883675631,6242
85.7281617,,500.0,,1.6481760740280151,53,1779714911.2867098,,,6242
86.6905086,,510.0,,1.605819582939148,54,1779714912.2483335,,,6242
87.6698053,,520.0,,1.6130180358886719,55,1779714913.2283552,,,6242
88.6357166,,530.0,,1.5477442741394043,56,1779714914.1942673,,,6242
89.5785675,,540.0,,1.5948644876480103,57,1779714915.1367145,,,6242
90.5271525,,550.0,,1.5383248329162598,58,1779714916.0856805,,,6242
91.483464,,560.0,,1.5510483980178833,59,1779714917.0415242,,,6242
92.4428278,,570.0,,1.5043861865997314,60,1779714918.0008793,,,6242
93.3944746,,580.0,,1.5489381551742554,61,1779714918.953025,,,6242
94.3609391,,590.0,,1.5424141883850098,62,1779714919.918549,,,6242
95.3160034,,600.0,,1.5006234645843506,63,1779714920.8737607,,,6242
96.269026,,610.0,,1.4926649332046509,64,1779714921.8272007,,,6242
97.221823,,620.0,,1.5003975629806519,65,1779714922.7795277,,,6242
98.1706096,,630.0,,1.4767268896102905,66,1779714923.7291605,,,6242
99.1258325,,640.0,,1.4966059923171997,67,1779714924.6842473,,,6242
100.0846522,,650.0,,1.49262273311615,68,1779714925.6432037,,,6242
101.0511754,,660.0,,1.471524715423584,69,1779714926.6097257,,,6242
102.0134565,,670.0,,1.4735908508300781,70,1779714927.571428,,,6242
102.9894359,,680.0,,1.4637773036956787,71,1779714928.5479352,,,6242
103.9475946,,690.0,,1.4462043046951294,72,1779714929.5052779,,,6242
