_step,val/loss,train/step_loss,iter,train/loss,Sample Generation,lr,_runtime,_timestamp,seed
0,4.099589824676514,,0.0,4.096554756164551,,9.900990099009901e-06,14.3485951,1779697427.1919522,2026
1,,4.137907981872559,0.0,,,,14.5303253,1779697427.373485,2026
2,,3.1180920600891113,10.0,,,,15.6864738,1779697428.5302618,2026
3,,2.764047145843506,20.0,,,,16.8029192,1779697429.6461592,2026
4,,2.6322882175445557,30.0,,,,17.9091987,1779697430.75279,2026
5,,2.5730042457580566,40.0,,,,19.0096702,1779697431.853389,2026
6,,2.525775909423828,50.0,,,,20.1122012,1779697432.9559953,2026
7,,2.510740280151367,60.0,,,,21.2282892,1779697434.0720832,2026
8,,2.4972376823425293,70.0,,,,22.3273567,1779697435.1711495,2026
9,,2.488469362258911,80.0,,,,23.4417533,1779697436.2846847,2026
10,,2.486544132232666,90.0,,,,24.5481823,1779697437.3919725,2026
11,,2.4611847400665283,100.0,,,,25.6488338,1779697438.4924073,2026
12,,2.457929849624634,110.0,,,,26.7912067,1779697439.6342878,2026
13,,2.4139935970306396,120.0,,,,27.9767022,1779697440.8204944,2026
14,,2.4261481761932373,130.0,,,,29.1347729,1779697441.9785635,2026
15,,2.3912436962127686,140.0,,,,30.2591398,1779697443.1029322,2026
16,,2.354402542114258,150.0,,,,31.3651007,1779697444.208894,2026
17,,2.335688591003418,160.0,,,,32.4720587,1779697445.315851,2026
18,,2.272383451461792,170.0,,,,33.5889117,1779697446.4324193,2026
19,,2.2374255657196045,180.0,,,,34.7048087,1779697447.5477815,2026
20,,2.206517219543457,190.0,,,,35.8040036,1779697448.6476977,2026
21,,2.169542074203491,200.0,,,,36.9690566,1779697449.812849,2026
22,,2.14668607711792,210.0,,,,38.1963249,1779697451.0395505,2026
23,,2.1337671279907227,220.0,,,,39.4645852,1779697452.3076825,2026
24,,2.0933120250701904,230.0,,,,40.7139763,1779697453.5577672,2026
25,,2.0685291290283203,240.0,,,,41.8661193,1779697454.7099133,2026
26,2.055734634399414,,250.0,1.9505276679992676,,0.0009979206008271391,56.3427226,1779697469.185676,2026
27,,2.0560758113861084,250.0,,,,56.4611506,1779697469.3046994,2026
28,,2.0261950492858887,260.0,,,,57.5863677,1779697470.430087,2026
29,,2.0144143104553223,270.0,,,,58.6981386,1779697471.5416532,2026
30,,2.0576090812683105,280.0,,,,59.8228058,1779697472.665954,2026
31,,2.0214433670043945,290.0,,,,60.9847234,1779697473.8285155,2026
32,,1.9925764799118042,300.0,,,,62.213338,1779697475.0570858,2026
33,,1.9787836074829102,310.0,,,,63.4337467,1779697476.2775095,2026
34,,1.972543478012085,320.0,,,,64.587243,1779697477.4310367,2026
35,,1.9276553392410278,330.0,,,,65.7237945,1779697478.5675876,2026
36,,1.9073708057403564,340.0,,,,66.8608278,1779697479.704533,2026
37,,1.9003595113754272,350.0,,,,67.9995887,1779697480.8433797,2026
38,,1.8927810192108154,360.0,,,,69.1405549,1779697481.9843442,2026
39,,1.8935967683792114,370.0,,,,70.3188238,1779697483.1625926,2026
40,,1.904842495918274,380.0,,,,71.5507119,1779697484.3945048,2026
41,,1.9051568508148193,390.0,,,,72.8514386,1779697485.6952307,2026
42,,1.8828518390655518,400.0,,,,74.0903743,1779697486.9338088,2026
43,,1.8406623601913452,410.0,,,,75.3037759,1779697488.1473682,2026
44,,1.8453623056411743,420.0,,,,76.4174378,1779697489.2611034,2026
45,,1.8455970287322998,430.0,,,,77.528664,1779697490.3723662,2026
46,,1.8251217603683472,440.0,,,,78.6434822,1779697491.4872773,2026
47,,1.8097182512283325,450.0,,,,79.7573733,1779697492.6006699,2026
48,,1.822634220123291,460.0,,,,80.8777675,1779697493.7215598,2026
49,,1.787447214126587,470.0,,,,82.00101,1779697494.8447962,2026
50,,1.8102091550827026,480.0,,,,83.1018085,1779697495.944596,2026
51,,1.7397193908691406,490.0,,,,84.2694398,1779697497.1132321,2026
52,1.7906039953231812,,500.0,1.6185001134872437,,0.0009852826883675631,98.9794396,1779697511.8220966,2026
53,,1.77317476272583,500.0,,,,99.097396,1779697511.9411914,2026
54,,1.787225365638733,510.0,,,,100.223323,1779697513.067096,2026
55,,1.7199933528900146,520.0,,,,101.3835684,1779697514.22736,2026
56,,1.722263216972351,530.0,,,,102.5052695,1779697515.3490615,2026
57,,1.7174367904663086,540.0,,,,103.6175677,1779697516.461272,2026
58,,1.7376737594604492,550.0,,,,104.76119,1779697517.6048384,2026
