val/loss,_timestamp,train/loss,Sample Generation,lr,_step,_runtime,train/step_loss,iter,seed
4.307615280151367,1779709402.1122916,4.313275337219238,,9.900990099009901e-06,0,14.4409598,,0.0,6242
,1779709402.251664,,,,1,14.5806063,4.306177139282227,0.0,6242
,1779709403.4618394,,,,2,15.7910308,3.119375467300415,10.0,6242
,1779709404.669999,,,,3,16.9989134,2.757340431213379,20.0,6242
,1779709405.8736799,,,,4,18.2021464,2.6183247566223145,30.0,6242
,1779709407.080277,,,,5,19.4090768,2.5450968742370605,40.0,6242
,1779709408.2883775,,,,6,20.6168471,2.5293900966644287,50.0,6242
,1779709409.495168,,,,7,21.8236327,2.495413303375244,60.0,6242
,1779709410.704626,,,,8,23.0331261,2.488065719604492,70.0,6242
,1779709411.9112651,,,,9,24.239731,2.4846792221069336,80.0,6242
,1779709413.1200693,,,,10,25.4492594,2.4772839546203613,90.0,6242
,1779709414.3284218,,,,11,26.6568969,2.4805586338043213,100.0,6242
,1779709415.5342786,,,,12,27.8628892,2.471536874771118,110.0,6242
,1779709416.7409692,,,,13,29.0704334,2.453915596008301,120.0,6242
,1779709417.9480321,,,,14,30.2765038,2.4103522300720215,130.0,6242
,1779709419.1527352,,,,15,31.4820536,2.4169602394104004,140.0,6242
,1779709420.3595805,,,,16,32.6880474,2.41391921043396,150.0,6242
,1779709421.5677276,,,,17,33.8970083,2.3612232208251953,160.0,6242
,1779709422.7736952,,,,18,35.10296,2.3562426567077637,170.0,6242
,1779709423.9836009,,,,19,36.3121809,2.3364779949188232,180.0,6242
,1779709425.1907392,,,,20,37.5201454,2.2983927726745605,190.0,6242
,1779709426.3964055,,,,21,38.7257734,2.2292096614837646,200.0,6242
,1779709427.6027722,,,,22,39.9307314,2.2282142639160156,210.0,6242
,1779709428.808077,,,,23,41.1366007,2.179090738296509,220.0,6242
,1779709430.0116227,,,,24,42.340088,2.163921594619751,230.0,6242
,1779709431.2179577,,,,25,43.546423,2.1345324516296387,240.0,6242
2.118171453475952,1779709446.0306108,2.024888515472412,,0.0009979206008271391,26,58.3595697,,250.0,6242
,1779709446.1546793,,,,27,58.4832479,2.1110832691192627,250.0,6242
,1779709447.3563294,,,,28,59.6852917,2.050112009048462,260.0,6242
,1779709448.5655801,,,,29,60.8945389,2.041095733642578,270.0,6242
,1779709449.7672205,,,,30,62.0963187,1.9845510721206665,280.0,6242
,1779709450.9720309,,,,31,63.3016021,1.9975792169570923,290.0,6242
,1779709452.180975,,,,32,64.5094406,1.9454915523529053,300.0,6242
,1779709453.387493,,,,33,65.716696,1.8708388805389404,310.0,6242
,1779709454.5951483,,,,34,66.9242056,1.8922399282455444,320.0,6242
,1779709455.8023674,,,,35,68.1308557,1.8518396615982056,330.0,6242
,1779709457.0072978,,,,36,69.3359662,1.8583070039749146,340.0,6242
,1779709458.214293,,,,37,70.5437341,1.8068623542785645,350.0,6242
