_timestamp,train/step_loss,Sample Generation,lr,iter,_step,val/loss,train/loss,_runtime,seed
1779706462.7348945,,,9.900990099009901e-06,0.0,0,4.265644073486328,4.272439002990723,12.3790121,6242
1779706462.8390222,4.262314796447754,,,0.0,1,,,12.4832923,6242
1779706463.7275183,3.00982666015625,,,10.0,2,,,13.3717901,6242
1779706464.6122043,2.6964821815490723,,,20.0,3,,,14.2574915,6242
1779706465.5026274,2.598834991455078,,,30.0,4,,,15.1475513,6242
1779706466.4026678,2.5230226516723633,,,40.0,5,,,16.0469433,6242
1779706467.3169682,2.514716148376465,,,50.0,6,,,16.9615517,6242
1779706468.2244592,2.5124619007110596,,,60.0,7,,,17.8693193,6242
1779706469.117928,2.497112989425659,,,70.0,8,,,18.7627754,6242
1779706470.0051632,2.481630325317383,,,80.0,9,,,19.6494324,6242
1779706470.902773,2.4689199924468994,,,90.0,10,,,20.5470453,6242
1779706471.8094707,2.4485433101654053,,,100.0,11,,,21.4539864,6242
1779706472.7287407,2.4614882469177246,,,110.0,12,,,22.3733,6242
1779706473.6530948,2.435727834701538,,,120.0,13,,,23.2981507,6242
1779706474.555213,2.4434468746185303,,,130.0,14,,,24.199486,6242
1779706475.4433417,2.436272144317627,,,140.0,15,,,25.0881574,6242
1779706476.3553123,2.3985769748687744,,,150.0,16,,,25.999795,6242
1779706477.271722,2.3946027755737305,,,160.0,17,,,26.9160003,6242
1779706478.168431,2.395601749420166,,,170.0,18,,,27.81364,6242
1779706479.075993,2.398433208465576,,,180.0,19,,,28.7205419,6242
1779706479.972565,2.3786773681640625,,,190.0,20,,,29.616836,6242
1779706480.871046,2.3779542446136475,,,200.0,21,,,30.5153256,6242
1779706481.7670207,2.339939594268799,,,210.0,22,,,31.4112909,6242
1779706482.6836555,2.358124256134033,,,220.0,23,,,32.3279278,6242
1779706483.6090121,2.3282811641693115,,,230.0,24,,,33.2538868,6242
1779706484.5197942,2.356384038925171,,,240.0,25,,,34.164064,6242
1779706497.230728,,,0.0009979206008271391,250.0,26,2.3647305965423584,2.278310537338257,46.874999700000004,6242
1779706497.323905,2.343574285507202,,,250.0,27,,,46.9681762,6242
1779706498.2179778,2.297750234603882,,,260.0,28,,,47.8622494,6242
1779706499.1306002,2.3125977516174316,,,270.0,29,,,48.7750611,6242
1779706500.0427468,2.29059100151062,,,280.0,30,,,49.687092,6242
1779706500.9511237,2.2761917114257812,,,290.0,31,,,50.5963078,6242
1779706501.8764725,2.226367950439453,,,300.0,32,,,51.5217483,6242
1779706502.7822769,2.2152774333953857,,,310.0,33,,,52.4270049,6242
1779706503.685689,2.2369513511657715,,,320.0,34,,,53.3305793,6242
1779706504.599162,2.2205145359039307,,,330.0,35,,,54.2434328,6242
1779706505.5180008,2.154916286468506,,,340.0,36,,,55.1622734,6242
1779706506.4290683,2.141737461090088,,,350.0,37,,,56.0735948,6242
1779706507.3395123,2.1221323013305664,,,360.0,38,,,56.9837847,6242
1779706508.2496967,2.104807138442993,,,370.0,39,,,57.8945585,6242
1779706509.1688185,2.0932271480560303,,,380.0,40,,,58.8131501,6242
1779706510.0752206,2.078260898590088,,,390.0,41,,,59.7194904,6242
1779706510.9865208,2.058288097381592,,,400.0,42,,,60.6307943,6242
1779706511.8945615,2.022611379623413,,,410.0,43,,,61.5398311,6242
1779706512.8064287,1.9981052875518799,,,420.0,44,,,62.4507235,6242
1779706513.714749,2.0162622928619385,,,430.0,45,,,63.3592817,6242
1779706514.6284251,1.9811567068099976,,,440.0,46,,,64.2727693,6242
1779706515.541412,2.021408796310425,,,450.0,47,,,65.1856935,6242
1779706516.4535356,1.9650709629058838,,,460.0,48,,,66.0980732,6242
1779706517.3698568,1.9592788219451904,,,470.0,49,,,67.0143818,6242
1779706518.2832382,1.9456701278686523,,,480.0,50,,,67.9275085,6242
1779706519.2011018,1.9191830158233643,,,490.0,51,,,68.844867,6242
1779706532.003506,,,0.0009852826883675631,500.0,52,1.9560033082962036,1.799013376235962,81.6487231,6242
1779706532.10051,1.9053120613098145,,,500.0,53,,,81.7449869,6242
1779706533.0237238,1.8726580142974854,,,510.0,54,,,82.6679951,6242
1779706533.9393797,1.8941768407821655,,,520.0,55,,,83.583793,6242
1779706534.878523,1.8355265855789185,,,530.0,56,,,84.5228426,6242
1779706535.7873259,1.83742356300354,,,540.0,57,,,85.4315948,6242
1779706536.6980753,1.845833659172058,,,550.0,58,,,86.3423476,6242
1779706537.6163838,1.8397258520126343,,,560.0,59,,,87.2608127,6242
1779706538.5306396,1.8160361051559448,,,570.0,60,,,88.174912,6242
1779706539.4584763,1.7792091369628906,,,580.0,61,,,89.1027477,6242
1779706540.384356,1.781078577041626,,,590.0,62,,,90.0286417,6242
1779706541.3040514,1.7685317993164062,,,600.0,63,,,90.9488053,6242
1779706542.2322683,1.7908560037612915,,,610.0,64,,,91.8772608,6242
1779706543.144279,1.790523886680603,,,620.0,65,,,92.7880441,6242
1779706544.0664704,1.7461049556732178,,,630.0,66,,,93.711321,6242
1779706544.986842,1.7324858903884888,,,640.0,67,,,94.6318012,6242
1779706545.9046707,1.7366207838058472,,,650.0,68,,,95.5489441,6242
1779706546.8342092,1.739597201347351,,,660.0,69,,,96.478553,6242
1779706547.7530892,1.7108980417251587,,,670.0,70,,,97.397362,6242
1779706548.6681292,1.717655897140503,,,680.0,71,,,98.3124018,6242
1779706549.5829568,1.6974208354949951,,,690.0,72,,,99.2272288,6242
1779706550.5003746,1.696300983428955,,,700.0,73,,,100.1449404,6242
1779706551.4206982,1.6683140993118286,,,710.0,74,,,101.064968,6242
1779706552.3469503,1.68448805809021,,,720.0,75,,,101.9912495,6242
1779706553.2685046,1.6645350456237793,,,730.0,76,,,102.9127793,6242
1779706554.1816816,1.6862311363220215,,,740.0,77,,,103.8259523,6242
1779706567.0542307,,,0.0009614856803571157,750.0,78,1.7617897987365723,1.5562233924865723,116.6989186,6242
1779706567.1492076,1.630676507949829,,,750.0,79,,,116.7934783,6242
1779706568.0475893,1.623407006263733,,,760.0,80,,,117.691862,6242
1779706568.9721704,1.6418323516845703,,,770.0,81,,,118.6164522,6242
1779706569.8936975,1.6269454956054688,,,780.0,82,,,119.5379701,6242
1779706570.8070364,1.6525309085845947,,,790.0,83,,,120.451308,6242
1779706571.7201333,1.596358299255371,,,800.0,84,,,121.3644055,6242
1779706572.636118,1.6029839515686035,,,810.0,85,,,122.2803888,6242
1779706573.5477648,1.6527736186981201,,,820.0,86,,,123.1920351,6242
1779706574.4662378,1.612156629562378,,,830.0,87,,,124.1104068,6242
1779706575.3864388,1.5977916717529297,,,840.0,88,,,125.0311297,6242
1779706576.2965252,1.5988755226135254,,,850.0,89,,,125.9409574,6242
1779706577.213796,1.5656547546386719,,,860.0,90,,,126.8580657,6242
1779706578.1185522,1.5773024559020996,,,870.0,91,,,127.7628241,6242
1779706579.0524938,1.6105295419692993,,,880.0,92,,,128.6969371,6242
1779706579.993391,1.5957311391830444,,,890.0,93,,,129.6381564,6242
1779706580.9127247,1.590986728668213,,,900.0,94,,,130.5569986,6242
1779706581.8169684,1.5456935167312622,,,910.0,95,,,131.4612426,6242
1779706582.7413683,1.5717757940292358,,,920.0,96,,,132.3856391,6242
1779706583.653868,1.5801270008087158,,,930.0,97,,,133.2981391,6242
1779706584.5601168,1.5548843145370483,,,940.0,98,,,134.205019,6242
1779706585.4716952,1.5529899597167969,,,950.0,99,,,135.1159847,6242
1779706586.3905077,1.5552066564559937,,,960.0,100,,,136.0347827,6242
1779706587.305998,1.5230454206466675,,,970.0,101,,,136.9502706,6242
1779706588.2224786,1.547621726989746,,,980.0,102,,,137.8668339,6242
1779706589.1369314,1.540988802909851,,,990.0,103,,,138.7816612,6242
1779706602.0627196,,,0.0009271396472013282,1000.0,104,1.6504261493682861,1.4328527450561523,151.7074839,6242
1779706602.1565845,1.5129891633987427,,,1000.0,105,,,151.8003496,6242
1779706603.0826628,1.5521403551101685,,,1010.0,106,,,152.7273459,6242
1779706604.0067568,1.537408709526062,,,1020.0,107,,,153.6517532,6242
1779706604.9363356,1.4794238805770874,,,1030.0,108,,,154.5812148,6242
1779706605.8736963,1.4815373420715332,,,1040.0,109,,,155.5187092,6242
1779706606.7897303,1.5308045148849487,,,1050.0,110,,,156.4348131,6242
1779706607.7000089,1.5438166856765747,,,1060.0,111,,,157.3442826,6242
1779706608.6135664,1.5132215023040771,,,1070.0,112,,,158.257842,6242
1779706609.5272522,1.4855674505233765,,,1080.0,113,,,159.17142,6242
1779706610.4425173,1.5002365112304688,,,1090.0,114,,,160.0869165,6242
1779706611.4055498,1.523110270500183,,,1100.0,115,,,161.0498221,6242
1779706612.378449,1.5030789375305176,,,1110.0,116,,,162.0227193,6242
1779706613.337668,1.5202616453170776,,,1120.0,117,,,162.98234,6242
1779706614.307969,1.4927253723144531,,,1130.0,118,,,163.9532527,6242
1779706615.3267615,1.5050421953201294,,,1140.0,119,,,164.9712801,6242
1779706616.3347075,1.517133116722107,,,1150.0,120,,,165.9797202,6242
1779706617.3533404,1.4909263849258423,,,1160.0,121,,,166.9977372,6242
1779706618.2966037,1.46271812915802,,,1170.0,122,,,167.9408746,6242
1779706619.2676036,1.4479894638061523,,,1180.0,123,,,168.9118758,6242
1779706620.2150717,1.482974648475647,,,1190.0,124,,,169.8599438,6242
1779706621.159271,1.4942091703414917,,,1200.0,125,,,170.8050783,6242
1779706622.0921264,1.4825752973556519,,,1210.0,126,,,171.7373974,6242
1779706623.0236018,1.481671929359436,,,1220.0,127,,,172.6680367,6242
1779706623.9501925,1.475733757019043,,,1230.0,128,,,173.5944632,6242
