lr,_step,iter,train/loss,train/step_loss,Sample Generation,_runtime,val/loss,_timestamp,seed
9.900990099009901e-06,0,0.0,4.247918605804443,,,13.8248507,4.242070198059082,1779714035.323515,6242
,1,0.0,,4.25661563873291,,13.9516129,,1779714035.4496076,6242
,2,10.0,,3.323493480682373,,14.9408597,,1779714036.439782,6242
,3,20.0,,2.950739622116089,,16.0370499,,1779714037.5361502,6242
,4,30.0,,2.673816680908203,,17.0403602,,1779714038.5389888,6242
,5,40.0,,2.544740676879883,,18.0247451,,1779714039.5238755,6242
,6,50.0,,2.505540132522583,,19.0329554,,1779714040.5320876,6242
,7,60.0,,2.48946475982666,,20.0457605,,1779714041.5453906,6242
,8,70.0,,2.472336769104004,,21.0896133,,1779714042.5887198,6242
,9,80.0,,2.4689383506774902,,22.0940596,,1779714043.59302,6242
,10,90.0,,2.4287211894989014,,23.1237758,,1779714044.6228995,6242
,11,100.0,,2.4186010360717773,,24.2354644,,1779714045.734551,6242
,12,110.0,,2.4132206439971924,,25.3686344,,1779714046.8677645,6242
,13,120.0,,2.3921241760253906,,26.467368,,1779714047.9666605,6242
,14,130.0,,2.367567777633667,,27.54501,,1779714049.044139,6242
,15,140.0,,2.324017286300659,,28.5833654,,1779714050.0824938,6242
,16,150.0,,2.3356266021728516,,29.7005689,,1779714051.1987014,6242
,17,160.0,,2.298842430114746,,30.7711953,,1779714052.2703264,6242
,18,170.0,,2.2802555561065674,,31.9120786,,1779714053.411082,6242
,19,180.0,,2.2212910652160645,,32.997861,,1779714054.4969902,6242
,20,190.0,,2.1773180961608887,,34.1905239,,1779714055.6896453,6242
,21,200.0,,2.141481637954712,,35.2472811,,1779714056.7462022,6242
,22,210.0,,2.112914800643921,,36.288158,,1779714057.7872822,6242
,23,220.0,,2.0435280799865723,,37.313554,,1779714058.8126788,6242
,24,230.0,,2.026528835296631,,38.3414575,,1779714059.8401031,6242
,25,240.0,,1.9537283182144165,,39.4560005,,1779714060.95513,6242
0.0009979206008271391,26,250.0,1.8716784715652466,,,54.2124355,2.012183904647827,1779714075.7105658,6242
,27,250.0,,1.9142202138900757,,54.3220234,,1779714075.8211544,6242
,28,260.0,,1.9143755435943604,,55.4753479,,1779714076.9742284,6242
,29,270.0,,1.9324030876159668,,56.5875239,,1779714078.0866356,6242
,30,280.0,,1.8408246040344238,,57.6459703,,1779714079.1450946,6242
,31,290.0,,1.826770305633545,,58.6711001,,1779714080.170226,6242
,32,300.0,,1.815578818321228,,59.7006092,,1779714081.2002394,6242
,33,310.0,,1.7995102405548096,,60.720648,,1779714082.2186222,6242
,34,320.0,,1.7749896049499512,,61.7496139,,1779714083.2487378,6242
,35,330.0,,1.771270513534546,,62.7766719,,1779714084.2757962,6242
,36,340.0,,1.74685537815094,,63.8022654,,1779714085.3011913,6242
,37,350.0,,1.7308008670806885,,64.8048824,,1779714086.3038816,6242
,38,360.0,,1.6939677000045776,,65.8130665,,1779714087.3121881,6242
,39,370.0,,1.675648808479309,,66.8254043,,1779714088.3239894,6242
,40,380.0,,1.6656150817871094,,67.8524359,,1779714089.3513935,6242
,41,390.0,,1.6405529975891113,,68.8676282,,1779714090.3667507,6242
,42,400.0,,1.6274712085723877,,69.8934971,,1779714091.3924048,6242
,43,410.0,,1.6420060396194458,,70.9116275,,1779714092.4104724,6242
,44,420.0,,1.6405094861984253,,71.9384741,,1779714093.4375958,6242
,45,430.0,,1.6391736268997192,,72.9787103,,1779714094.4769456,6242
,46,440.0,,1.5988823175430298,,74.003939,,1779714095.5035691,6242
,47,450.0,,1.5880591869354248,,75.0250616,,1779714096.5237703,6242
,48,460.0,,1.5391472578048706,,76.0404868,,1779714097.5396044,6242
,49,470.0,,1.5600450038909912,,77.078077,,1779714098.5772002,6242
,50,480.0,,1.5490232706069946,,78.1199881,,1779714099.6191127,6242
,51,490.0,,1.5213068723678589,,79.1693784,,1779714100.6680498,6242
0.0009852826883675631,52,500.0,1.4650808572769165,,,93.3728308,1.6749753952026367,1779714114.87165,6242
,53,500.0,,1.5004470348358154,,93.4912975,,1779714114.9904184,6242
,54,510.0,,1.4992567300796509,,94.5114878,,1779714116.010612,6242
,55,520.0,,1.4983350038528442,,95.5536275,,1779714117.0525942,6242
,56,530.0,,1.514685869216919,,96.5867636,,1779714118.0853066,6242
,57,540.0,,1.4977611303329468,,97.641393,,1779714119.1402912,6242
,58,550.0,,1.4673290252685547,,98.6634864,,1779714120.1625845,6242
,59,560.0,,1.4491887092590332,,99.6790747,,1779714121.177763,6242
,60,570.0,,1.4690654277801514,,100.6973866,,1779714122.1965091,6242
,61,580.0,,1.476778507232666,,101.7134701,,1779714123.2125921,6242
