lr,train/loss,val/loss,_timestamp,Sample Generation,train/step_loss,iter,_step,_runtime,seed
9.900990099009901e-06,4.3824849128723145,4.37666654586792,1779627431.950687,,,0.0,0,12.3765038,3242
,,,1779627432.061403,,4.341386318206787,0.0,1,12.4866478,3242
,,,1779627432.9972086,,3.208728313446045,10.0,2,13.4229296,3242
,,,1779627433.928837,,2.762279987335205,20.0,3,14.3536855,3242
,,,1779627434.858922,,2.6162266731262207,30.0,4,15.2843215,3242
,,,1779627435.7952058,,2.553377389907837,40.0,5,16.2200539,3242
,,,1779627436.7351449,,2.5390353202819824,50.0,6,17.1600033,3242
,,,1779627437.671099,,2.4944064617156982,60.0,7,18.0962564,3242
,,,1779627438.6187797,,2.5022268295288086,70.0,8,19.0436279,3242
,,,1779627439.568823,,2.48972749710083,80.0,9,19.9936734,3242
,,,1779627440.5118368,,2.4870946407318115,90.0,10,20.9376943,3242
,,,1779627441.4558735,,2.463355302810669,100.0,11,21.8816523,3242
,,,1779627442.3962128,,2.4623212814331055,110.0,12,22.8213108,3242
,,,1779627443.341524,,2.450519561767578,120.0,13,23.7673591,3242
,,,1779627444.2807279,,2.432528495788574,130.0,14,24.7055756,3242
,,,1779627445.219327,,2.3991777896881104,140.0,15,25.6446744,3242
,,,1779627446.1570072,,2.37347412109375,150.0,16,26.5823866,3242
,,,1779627447.0988014,,2.375715732574463,160.0,17,27.5240315,3242
,,,1779627448.036563,,2.3637959957122803,170.0,18,28.4614685,3242
,,,1779627448.9831774,,2.3165335655212402,180.0,19,29.4083264,3242
,,,1779627449.9197829,,2.27786922454834,190.0,20,30.3446308,3242
,,,1779627450.8664992,,2.2958412170410156,200.0,21,31.291348,3242
,,,1779627451.809411,,2.2524566650390625,210.0,22,32.2342853,3242
,,,1779627452.7566779,,2.2190988063812256,220.0,23,33.1822954,3242
,,,1779627453.7070622,,2.175020217895508,230.0,24,34.1319167,3242
,,,1779627454.6419094,,2.1559178829193115,240.0,25,35.0667605,3242
0.0009979206008271391,2.038562536239624,2.1309313774108887,1779627467.5500865,,,250.0,26,47.9752134,3242
,,,1779627467.6500573,,2.104271650314331,250.0,27,48.0749062,3242
,,,1779627468.5891848,,2.080144166946411,260.0,28,49.0140325,3242
,,,1779627469.5252662,,2.049017906188965,270.0,29,49.9501211,3242
,,,1779627470.4964411,,1.9943921566009521,280.0,30,50.9213572,3242
,,,1779627471.4589398,,2.000033378601074,290.0,31,51.8840528,3242
,,,1779627472.4485037,,1.9857902526855469,300.0,32,52.873351,3242
,,,1779627473.3935163,,1.9362133741378784,310.0,33,53.8178598,3242
,,,1779627474.329276,,1.8792741298675537,320.0,34,54.754124,3242
,,,1779627475.2747328,,1.8652771711349487,330.0,35,55.6996635,3242
,,,1779627476.227433,,1.8730944395065308,340.0,36,56.6524603,3242
,,,1779627477.1609619,,1.8396506309509277,350.0,37,57.5861625,3242
,,,1779627478.0957553,,1.8385658264160156,360.0,38,58.5206033,3242
,,,1779627479.02902,,1.7839785814285278,370.0,39,59.4538672,3242
,,,1779627479.956361,,1.7580957412719727,380.0,40,60.3812079,3242
,,,1779627480.928349,,1.7975895404815674,390.0,41,61.3531969,3242
,,,1779627481.8616302,,1.7425975799560547,400.0,42,62.2864794,3242
,,,1779627482.7983766,,1.7176530361175537,410.0,43,63.2232265,3242
,,,1779627483.7422194,,1.6939548254013062,420.0,44,64.1671646,3242
,,,1779627484.6746488,,1.701651930809021,430.0,45,65.1003764,3242
,,,1779627485.6167514,,1.6527494192123413,440.0,46,66.0421353,3242
,,,1779627486.5551567,,1.6526097059249878,450.0,47,66.9800105,3242
,,,1779627487.4830272,,1.674756646156311,460.0,48,67.9078778,3242
,,,1779627488.419742,,1.6650532484054565,470.0,49,68.844643,3242
,,,1779627489.3572433,,1.6511479616165161,480.0,50,69.7821277,3242
,,,1779627490.2925587,,1.6416062116622925,490.0,51,70.7174278,3242
0.0009852826883675631,1.5264112949371338,1.7195935249328613,1779627503.1848168,,,500.0,52,83.6109117,3242
