val/loss,_timestamp,train/loss,Sample Generation,lr,iter,train/step_loss,_step,_runtime,seed
4.090640068054199,1779699853.4815023,4.086418628692627,,9.900990099009901e-06,0.0,,0,12.3691875,2026
,1779699853.588224,,,,0.0,4.115878105163574,1,12.4760041,2026
,1779699854.4589305,,,,10.0,3.259459972381592,2,13.3469139,2026
,1779699855.3296754,,,,20.0,2.889338493347168,3,14.2175006,2026
,1779699856.2000468,,,,30.0,2.672485589981079,4,15.0878621,2026
,1779699857.0712714,,,,40.0,2.598508596420288,5,15.9596158,2026
,1779699857.9441304,,,,50.0,2.535900354385376,6,16.8319123,2026
,1779699858.8146443,,,,60.0,2.516371965408325,7,17.7027915,2026
,1779699859.6856408,,,,70.0,2.49212908744812,8,18.5734234,2026
,1779699860.5555322,,,,80.0,2.478048324584961,9,19.4440881,2026
,1779699861.4261887,,,,90.0,2.48065185546875,10,20.313997,2026
,1779699862.3006203,,,,100.0,2.447406530380249,11,21.1885481,2026
,1779699863.1709166,,,,110.0,2.451334238052368,12,22.058696,2026
,1779699864.0419621,,,,120.0,2.407498836517334,13,22.9297438,2026
,1779699864.9122221,,,,130.0,2.433034658432007,14,23.8000014,2026
,1779699865.7806804,,,,140.0,2.3942441940307617,15,24.6694606,2026
,1779699866.65128,,,,150.0,2.3605265617370605,16,25.539111,2026
,1779699867.5226467,,,,160.0,2.3634772300720215,17,26.4104289,2026
,1779699868.3934917,,,,170.0,2.3380489349365234,18,27.2812739,2026
,1779699869.2660275,,,,180.0,2.3060147762298584,19,28.1540525,2026
,1779699870.2029517,,,,190.0,2.26135516166687,20,29.0907365,2026
,1779699871.0971403,,,,200.0,2.2227210998535156,21,29.9850983,2026
,1779699871.9771242,,,,210.0,2.199321985244751,22,30.8649035,2026
,1779699872.8784225,,,,220.0,2.1667885780334473,23,31.7662052,2026
,1779699873.7879124,,,,230.0,2.0995521545410156,24,32.6756969,2026
,1779699874.6772287,,,,240.0,2.0633022785186768,25,33.5650365,2026
2.0800962448120117,1779699887.1379004,1.975266456604004,,0.0009979206008271391,250.0,,26,46.0267156,2026
,1779699887.2332916,,,,250.0,2.022350311279297,27,46.1210771,2026
,1779699888.1530797,,,,260.0,1.9784072637557983,28,47.0413817,2026
,1779699889.0898983,,,,270.0,1.9494822025299072,29,47.978691,2026
,1779699890.011166,,,,280.0,1.9770818948745728,30,48.8989487,2026
,1779699890.9164999,,,,290.0,1.9230972528457642,31,49.8052813,2026
,1779699891.7985113,,,,300.0,1.8690035343170166,32,50.6864956,2026
,1779699892.6764264,,,,310.0,1.859479308128357,33,51.5642331,2026
,1779699893.5559168,,,,320.0,1.8354806900024414,34,52.4442404,2026
,1779699894.4345448,,,,330.0,1.784127950668335,35,53.322523,2026
,1779699895.3136086,,,,340.0,1.760226845741272,36,54.2013885,2026
,1779699896.1878383,,,,350.0,1.7396663427352905,37,55.0758232,2026
,1779699897.0578673,,,,360.0,1.7434622049331665,38,55.9463363,2026
,1779699897.930377,,,,370.0,1.7501065731048584,39,56.8181599,2026
