lr,_step,val/loss,train/loss,train/step_loss,Sample Generation,iter,_runtime,_timestamp,seed
9.900990099009901e-06,0,4.273672580718994,4.280604839324951,,,0.0,6.1922586,1779716254.3594494,6242
,1,,,4.290824890136719,,0.0,6.2459889,1779716254.4133952,6242
,2,,,3.156820297241211,,10.0,6.6426273,1779716254.8102965,6242
,3,,,2.760650873184204,,20.0,7.0365679,1779716255.2038274,6242
,4,,,2.622335433959961,,30.0,7.4330526,1779716255.6007268,6242
,5,,,2.5549497604370117,,40.0,7.8324867000000005,1779716255.9999142,6242
,6,,,2.5221333503723145,,50.0,8.2265881,1779716256.3939877,6242
,7,,,2.5255868434906006,,60.0,8.6225882,1779716256.7898574,6242
,8,,,2.476776599884033,,70.0,9.0258743,1779716257.1935406,6242
,9,,,2.47786545753479,,80.0,9.4292282,1779716257.5968995,6242
,10,,,2.4483532905578613,,90.0,9.8239204,1779716257.990806,6242
,11,,,2.460432767868042,,100.0,10.2199068,1779716258.387565,6242
,12,,,2.424316167831421,,110.0,10.6221095,1779716258.7890804,6242
,13,,,2.382669448852539,,120.0,11.0190436,1779716259.1867156,6242
,14,,,2.3834643363952637,,130.0,11.4159317,1779716259.5836022,6242
,15,,,2.373164176940918,,140.0,11.8149212,1779716259.9825299,6242
,16,,,2.3276562690734863,,150.0,12.2176712,1779716260.384606,6242
,17,,,2.253619909286499,,160.0,12.6145294,1779716260.7822025,6242
,18,,,2.2706496715545654,,170.0,13.0132588,1779716261.1804278,6242
,19,,,2.192312002182007,,180.0,13.4089318,1779716261.5766034,6242
,20,,,2.1380414962768555,,190.0,13.8066814,1779716261.9740686,6242
,21,,,2.108092784881592,,200.0,14.2051468,1779716262.3728197,6242
,22,,,2.0907158851623535,,210.0,14.6017735,1779716262.7694464,6242
,23,,,2.0940439701080322,,220.0,15.0045623,1779716263.1716926,6242
,24,,,2.036717176437378,,230.0,15.4017538,1779716263.5694253,6242
,25,,,2.0253260135650635,,240.0,15.801332500000001,1779716263.968792,6242
0.0009979206008271391,26,2.0364208221435547,1.938220500946045,,,250.0,21.8374195,1779716270.0052078,6242
,27,,,2.0188663005828857,,250.0,21.8802739,1779716270.0479448,6242
,28,,,2.0014054775238037,,260.0,22.2828522,1779716270.4501653,6242
,29,,,1.9437472820281982,,270.0,22.6831194,1779716270.850784,6242
,30,,,1.9322701692581177,,280.0,23.0792959,1779716271.2462082,6242
,31,,,1.961665153503418,,290.0,23.4834234,1779716271.6510906,6242
,32,,,1.8669730424880981,,300.0,23.8823934,1779716272.0500665,6242
,33,,,1.8584805727005005,,310.0,24.2841326,1779716272.4518042,6242
