train/step_loss,lr,_step,Sample Generation,iter,_runtime,val/loss,_timestamp,train/loss,seed
,9.900990099009901e-06,0,,0.0,11.4969746,4.32778787612915,1779642350.892085,4.334183216094971,3740
4.307707786560059,,1,,0.0,11.5987518,,1779642350.994005,,3740
3.386383533477783,,2,,10.0,12.4776548,,1779642351.8739119,,3740
3.3561320304870605,,3,,20.0,13.3639731,,1779642352.7601151,,3740
3.3226399421691895,,4,,30.0,14.2409116,,1779642353.6369872,,3740
3.30399751663208,,5,,40.0,15.1212272,,1779642354.5174801,,3740
3.333022117614746,,6,,50.0,16.0104336,,1779642355.4066908,,3740
3.312946319580078,,7,,60.0,16.8928378,,1779642356.2891588,,3740
3.307607650756836,,8,,70.0,17.7714303,,1779642357.1676836,,3740
3.3326125144958496,,9,,80.0,18.661596199999998,,1779642358.0578527,,3740
3.309634208679199,,10,,90.0,19.5378834,,1779642358.9340918,,3740
3.343705654144287,,11,,100.0,20.4165528,,1779642359.8127885,,3740
3.3183369636535645,,12,,110.0,21.3144956,,1779642360.7107527,,3740
3.327493667602539,,13,,120.0,22.192486,,1779642361.5887392,,3740
3.3215432167053223,,14,,130.0,23.0767237,,1779642362.4727888,,3740
3.308709144592285,,15,,140.0,23.9576602,,1779642363.353291,,3740
3.304229736328125,,16,,150.0,24.8529641,,1779642364.2486768,,3740
3.3195533752441406,,17,,160.0,25.7409742,,1779642365.1369462,,3740
3.290229320526123,,18,,170.0,26.6298673,,1779642366.026106,,3740
3.3369741439819336,,19,,180.0,27.512214,,1779642366.9083254,,3740
3.285313129425049,,20,,190.0,28.3979172,,1779642367.794099,,3740
3.3412728309631348,,21,,200.0,29.2818121,,1779642368.6785738,,3740
3.29953670501709,,22,,210.0,30.1658927,,1779642369.5621305,,3740
3.3156485557556152,,23,,220.0,31.0682734,,1779642370.4641964,,3740
3.305697441101074,,24,,230.0,31.9433175,,1779642371.3395746,,3740
3.298032283782959,,25,,240.0,32.82246,,1779642372.218574,,3740
,0.0009979206008271391,26,,250.0,44.6840955,3.364905595779419,1779642384.0792165,3.317302942276001,3740
3.3334732055664062,,27,,250.0,44.7763704,,1779642384.1726265,,3740
3.334847927093506,,28,,260.0,45.6609926,,1779642385.0574539,,3740
3.336524486541748,,29,,270.0,46.5465696,,1779642385.9426844,,3740
3.306424617767334,,30,,280.0,47.425798,,1779642386.821489,,3740
3.3156275749206543,,31,,290.0,48.3158685,,1779642387.7110567,,3740
3.319039821624756,,32,,300.0,49.2155756,,1779642388.6118317,,3740
3.3479056358337402,,33,,310.0,50.1068736,,1779642389.5029187,,3740
3.302183151245117,,34,,320.0,50.9923566,,1779642390.3880763,,3740
3.3015475273132324,,35,,330.0,51.8740042,,1779642391.2701533,,3740
3.313680648803711,,36,,340.0,52.761145,,1779642392.1571474,,3740
3.3137121200561523,,37,,350.0,53.6547176,,1779642393.050972,,3740
3.301487445831299,,38,,360.0,54.5680008,,1779642393.964039,,3740
3.302767753601074,,39,,370.0,55.4864221,,1779642394.8826768,,3740
3.345534324645996,,40,,380.0,56.3804333,,1779642395.777195,,3740
