Sample Generation,train/step_loss,lr,iter,val/loss,_step,_runtime,_timestamp,train/loss,seed
,,9.900990099009901e-06,0.0,4.193165302276611,0,23.9814141,1779620995.5026681,4.1996965408325195,3242
,4.199650764465332,,0.0,,1,24.1655252,1779620995.6867764,,3242
,3.033616542816162,,10.0,,2,25.8570191,1779620997.3782666,,3242
,2.5997395515441895,,20.0,,3,27.5538167,1779620999.074102,,3242
,2.4685006141662598,,30.0,,4,29.2461225,1779621000.7673564,,3242
,2.3788766860961914,,40.0,,5,30.953403,1779621002.4739172,,3242
,2.279353141784668,,50.0,,6,32.7189809,1779621004.2400496,,3242
,2.213348627090454,,60.0,,7,34.4046336,1779621005.925883,,3242
,2.189260721206665,,70.0,,8,36.0571123,1779621007.5783632,,3242
,2.131633996963501,,80.0,,9,37.7044907,1779621009.2257416,,3242
,2.109438180923462,,90.0,,10,39.334793,1779621010.855232,,3242
,2.0837807655334473,,100.0,,11,40.9729825,1779621012.4932692,,3242
,2.0407955646514893,,110.0,,12,42.6942563,1779621014.2154863,,3242
,2.01235032081604,,120.0,,13,44.3945953,1779621015.9156377,,3242
,1.9856712818145752,,130.0,,14,46.0249528,1779621017.5462058,,3242
,1.9194382429122925,,140.0,,15,47.7175966,1779621019.2388456,,3242
,1.9347546100616455,,150.0,,16,49.4955827,1779621021.0162146,,3242
,1.8846007585525513,,160.0,,17,51.2848747,1779621022.8054643,,3242
,1.8720479011535645,,170.0,,18,53.1092896,1779621024.6303205,,3242
,1.8437494039535522,,180.0,,19,54.9704163,1779621026.4916644,,3242
,1.8238524198532104,,190.0,,20,56.7595757,1779621028.2798622,,3242
,1.8127692937850952,,200.0,,21,58.540299,1779621030.0606527,,3242
,1.7758703231811523,,210.0,,22,60.3247102,1779621031.8459601,,3242
,1.7800170183181763,,220.0,,23,62.1066095,1779621033.6278603,,3242
,1.7379209995269775,,230.0,,24,63.891216299999996,1779621035.4124107,,3242
,1.7524274587631226,,240.0,,25,65.6707951,1779621037.1920445,,3242
,,0.0009979206008271391,250.0,1.7935034036636353,26,92.1391379,1779621063.6593487,1.6101429462432861,3242
,1.749790906906128,,250.0,,27,92.318614,1779621063.8398619,,3242
,1.6903526782989502,,260.0,,28,94.0813489,1779621065.6015978,,3242
,1.693092942237854,,270.0,,29,95.7496759,1779621067.2709289,,3242
,1.687612771987915,,280.0,,30,97.4405719,1779621068.9616327,,3242
,1.6472561359405518,,290.0,,31,99.1295048,1779621070.650466,,3242
,1.6589314937591553,,300.0,,32,100.7705958,1779621072.291613,,3242
,1.6310665607452393,,310.0,,33,102.4226256,1779621073.943695,,3242
,1.6322576999664307,,320.0,,34,104.0585117,1779621075.5797534,,3242
,1.5945008993148804,,330.0,,35,105.7049077,1779621077.2257552,,3242
,1.6005510091781616,,340.0,,36,107.3270109,1779621078.8482528,,3242
,1.6061967611312866,,350.0,,37,108.9671283,1779621080.487756,,3242
,1.556626796722412,,360.0,,38,110.6069154,1779621082.1281326,,3242
