_step,Sample Generation,train/step_loss,iter,val/loss,_timestamp,lr,_runtime,train/loss,seed
0,,,0.0,4.217137336730957,1779625972.0929363,9.900990099009901e-06,12.0606452,4.213129043579102,3242
1,,4.213736534118652,0.0,,1779625972.197543,,12.1644509,,3242
2,,3.3078508377075195,10.0,,1779625973.0483782,,13.0159243,,3242
3,,2.859367847442627,20.0,,1779625973.9019308,,13.8689014,,3242
4,,2.644989490509033,30.0,,1779625974.752534,,14.7194353,,3242
5,,2.5646376609802246,40.0,,1779625975.602896,,15.5698703,,3242
6,,2.5412895679473877,50.0,,1779625976.452746,,16.4196462,,3242
7,,2.491675853729248,60.0,,1779625977.303283,,17.2707917,,3242
8,,2.4862637519836426,70.0,,1779625978.1541889,,18.121636,,3242
9,,2.472522735595703,80.0,,1779625979.0046232,,18.97102,,3242
10,,2.480405569076538,90.0,,1779625979.857301,,19.824354,,3242
11,,2.4584097862243652,100.0,,1779625980.70755,,20.6744519,,3242
12,,2.4533498287200928,110.0,,1779625981.559394,,21.5262992,,3242
13,,2.4419920444488525,120.0,,1779625982.4106028,,22.3785397,,3242
14,,2.4341864585876465,130.0,,1779625983.2643037,,23.2322871,,3242
15,,2.399505138397217,140.0,,1779625984.115318,,24.0823669,,3242
16,,2.3646583557128906,150.0,,1779625984.963928,,24.9314565,,3242
17,,2.367753744125366,160.0,,1779625985.816111,,25.784059,,3242
18,,2.3294668197631836,170.0,,1779625986.6688235,,26.6364056,,3242
19,,2.3025307655334473,180.0,,1779625987.5187688,,27.4861561,,3242
20,,2.2458114624023438,190.0,,1779625988.3700223,,28.3378661,,3242
21,,2.223867893218994,200.0,,1779625989.2217047,,29.1886069,,3242
22,,2.1797854900360107,210.0,,1779625990.0739415,,30.0408692,,3242
23,,2.1736960411071777,220.0,,1779625990.9253101,,30.8922152,,3242
24,,2.1113734245300293,230.0,,1779625991.7777596,,31.7452241,,3242
25,,2.0811550617218018,240.0,,1779625992.6275234,,32.594424599999996,,3242
26,,,250.0,2.064716339111328,1779626004.727529,0.0009979206008271391,44.6946497,1.9557989835739136,3242
27,,2.0354158878326416,250.0,,1779626004.8170738,,44.7845676,,3242
28,,2.00604510307312,260.0,,1779626005.6644993,,45.6314912,,3242
29,,1.9700111150741577,270.0,,1779626006.5124109,,46.4801857,,3242
30,,1.9210870265960693,280.0,,1779626007.3644307,,47.3313316,,3242
31,,1.9362586736679077,290.0,,1779626008.2195098,,48.1872247,,3242
32,,1.9138692617416382,300.0,,1779626009.0576453,,49.0245971,,3242
33,,1.8588191270828247,310.0,,1779626009.8972416,,49.8642733,,3242
34,,1.8149490356445312,320.0,,1779626010.7371259,,50.7047877,,3242
35,,1.8011956214904785,330.0,,1779626011.5775168,,51.5445133,,3242
36,,1.8166007995605469,340.0,,1779626012.4183218,,52.3853215,,3242
37,,1.7831007242202759,350.0,,1779626013.2581935,,53.2254444,,3242
38,,1.7891217470169067,360.0,,1779626014.0978112,,54.0647155,,3242
39,,1.726668119430542,370.0,,1779626014.9368875,,54.9048342,,3242
40,,1.7090063095092773,380.0,,1779626015.7763143,,55.7435153,,3242
41,,1.7445335388183594,390.0,,1779626016.6175115,,56.5855565,,3242
42,,1.6866381168365479,400.0,,1779626017.4560006,,57.4229039,,3242
43,,1.667345404624939,410.0,,1779626018.2933993,,58.2606652,,3242
44,,1.644781231880188,420.0,,1779626019.1322134,,59.099349,,3242
45,,1.6544785499572754,430.0,,1779626019.9725418,,59.9396027,,3242
46,,1.614973783493042,440.0,,1779626020.8105023,,60.7777078,,3242
47,,1.619839072227478,450.0,,1779626021.654704,,61.6216068,,3242
