_runtime,_timestamp,train/loss,train/step_loss,Sample Generation,val/loss,lr,iter,_step,seed
26.7419242,1779693931.7089367,4.268057823181152,,,4.260388374328613,9.900990099009901e-06,0.0,0,2026
26.9649512,1779693931.9322753,,4.261457443237305,,,,0.0,1,2026
28.9869038,1779693933.9543183,,3.0367064476013184,,,,10.0,2,2026
31.0123862,1779693935.9797978,,2.611286163330078,,,,20.0,3,2026
33.03643,1779693938.003575,,2.454451560974121,,,,30.0,4,2026
35.0596685,1779693940.0269868,,2.3464930057525635,,,,40.0,5,2026
37.0823157,1779693942.0496624,,2.3105132579803467,,,,50.0,6,2026
39.0263714,1779693943.9937441,,2.2667315006256104,,,,60.0,7,2026
41.0452399,1779693946.0126514,,2.186558246612549,,,,70.0,8,2026
43.0668224,1779693948.0347438,,2.147071361541748,,,,80.0,9,2026
45.0914626,1779693950.0588717,,2.135348081588745,,,,90.0,10,2026
47.1148254,1779693952.0827465,,2.084916830062866,,,,100.0,11,2026
49.1391841,1779693954.1065934,,2.0262720584869385,,,,110.0,12,2026
51.1599528,1779693956.1271594,,2.0076143741607666,,,,120.0,13,2026
53.1823564,1779693958.1496098,,1.9680418968200684,,,,130.0,14,2026
55.2052451,1779693960.1726606,,1.937195897102356,,,,140.0,15,2026
57.234432,1779693962.2018375,,1.927375316619873,,,,150.0,16,2026
59.2541756,1779693964.2216637,,1.8823204040527344,,,,160.0,17,2026
61.2816303,1779693966.2490437,,1.838118076324463,,,,170.0,18,2026
63.3049236,1779693968.2723303,,1.8312206268310547,,,,180.0,19,2026
65.3274359,1779693970.2948496,,1.821132779121399,,,,190.0,20,2026
67.3511208,1779693972.318451,,1.7958029508590698,,,,200.0,21,2026
69.3758689,1779693974.3432744,,1.7702912092208862,,,,210.0,22,2026
71.3967592,1779693976.364164,,1.7601391077041626,,,,220.0,23,2026
73.4214078,1779693978.3887987,,1.7299927473068237,,,,230.0,24,2026
75.4454318,1779693980.4128468,,1.7289637327194214,,,,240.0,25,2026
103.6272715,1779694008.5937443,1.6089168787002563,,,1.7853343486785889,0.0009979206008271391,250.0,26,2026
103.8198436,1779694008.7864697,,1.7050161361694336,,,,250.0,27,2026
105.6812879,1779694010.6486952,,1.708013653755188,,,,260.0,28,2026
107.6973316,1779694012.6647022,,1.687063217163086,,,,270.0,29,2026
109.7200945,1779694014.688016,,1.689067006111145,,,,280.0,30,2026
111.7449307,1779694016.7123418,,1.6590908765792847,,,,290.0,31,2026
113.7647571,1779694018.732076,,1.682638168334961,,,,300.0,32,2026
115.7891691,1779694020.7565434,,1.6770561933517456,,,,310.0,33,2026
117.8118605,1779694022.7791367,,1.600972056388855,,,,320.0,34,2026
119.8316147,1779694024.7990136,,1.6040719747543335,,,,330.0,35,2026
121.8547329,1779694026.8221343,,1.5786559581756592,,,,340.0,36,2026
123.876632,1779694028.8440247,,1.5971013307571411,,,,350.0,37,2026
125.8970772,1779694030.8644876,,1.5757337808609009,,,,360.0,38,2026
127.9208577,1779694032.888268,,1.5699379444122314,,,,370.0,39,2026
129.9440686,1779694034.91147,,1.5322518348693848,,,,380.0,40,2026
