Sample Generation,_step,iter,val/loss,_timestamp,train/step_loss,train/loss,lr,_runtime,seed
,0,0.0,5.560803413391113,1779623158.2341318,,5.576526641845703,9.900990099009901e-06,12.452959,3242
,1,0.0,,1779623158.3360684,5.181607723236084,,,12.5502752,3242
,2,10.0,,1779623159.2092364,4.291392803192139,,,13.4234442,3242
,3,20.0,,1779623160.0786366,3.336176872253418,,,14.2931384,3242
,4,30.0,,1779623160.9543052,3.3188529014587402,,,15.168516,3242
,5,40.0,,1779623161.8169267,3.298583984375,,,16.0314822,3242
,6,50.0,,1779623162.6819093,3.6513168811798096,,,16.8967856,3242
,7,60.0,,1779623163.5496502,2.750520706176758,,,17.763862,3242
,8,70.0,,1779623164.440281,2.61350154876709,,,18.6544889,3242
,9,80.0,,1779623165.3760383,2.5628819465637207,,,19.5905145,3242
,10,90.0,,1779623166.2840686,2.540316343307495,,,20.4982816,3242
,11,100.0,,1779623167.1928694,2.512359619140625,,,21.407338,3242
,12,110.0,,1779623168.0755067,2.505643606185913,,,22.2902116,3242
,13,120.0,,1779623168.9415073,2.491405487060547,,,23.1557175,3242
,14,130.0,,1779623169.8065577,2.4683737754821777,,,24.0209054,3242
,15,140.0,,1779623170.6830573,2.4427337646484375,,,24.8972676,3242
,16,150.0,,1779623171.5661445,2.4045088291168213,,,25.7807738,3242
,17,160.0,,1779623172.4434419,2.403491973876953,,,26.6576484,3242
,18,170.0,,1779623173.314723,2.383647918701172,,,27.5295631,3242
,19,180.0,,1779623174.1855922,2.35067081451416,,,28.4000498,3242
,20,190.0,,1779623175.0545795,2.302703619003296,,,29.2690292,3242
,21,200.0,,1779623175.9819067,2.2902021408081055,,,30.1961185,3242
,22,210.0,,1779623176.9000833,2.271327495574951,,,31.1142933,3242
,23,220.0,,1779623177.832128,2.250983715057373,,,32.0464605,3242
,24,230.0,,1779623178.7285652,2.212754487991333,,,32.9427748,3242
,25,240.0,,1779623179.6096845,2.199301242828369,,,33.8240822,3242
,26,250.0,2.1683571338653564,1779623192.1338403,,2.090217113494873,0.0009979206008271391,46.3480473,3242
,27,250.0,,1779623192.2236857,2.159421682357788,,,46.4378917,3242
,28,260.0,,1779623193.094554,2.1416444778442383,,,47.309166,3242
,29,270.0,,1779623193.9709027,2.114485263824463,,,48.1862102,3242
,30,280.0,,1779623194.845991,2.0745394229888916,,,49.0596932,3242
,31,290.0,,1779623195.7192764,2.069324016571045,,,49.9337218,3242
,32,300.0,,1779623196.5777676,2.059797525405884,,,50.7922165,3242
,33,310.0,,1779623197.4478838,2.0048887729644775,,,51.6620941,3242
,34,320.0,,1779623198.3754969,1.9655537605285645,,,52.5909274,3242
,35,330.0,,1779623199.2901096,1.9423456192016602,,,53.5052248,3242
,36,340.0,,1779623200.1890304,1.9449454545974731,,,54.4041064,3242
,37,350.0,,1779623201.0822535,1.9126536846160889,,,55.297188,3242
,38,360.0,,1779623201.955558,1.9155728816986084,,,56.1707091,3242
,39,370.0,,1779623202.8288195,1.8666572570800781,,,57.0433306,3242
,40,380.0,,1779623203.7046053,1.8352854251861572,,,57.9194836,3242
,41,390.0,,1779623204.573456,1.873288631439209,,,58.7886694,3242
,42,400.0,,1779623205.465067,1.8141562938690186,,,59.6793538,3242
,43,410.0,,1779623206.3318024,1.801905870437622,,,60.5460131,3242
,44,420.0,,1779623207.1944914,1.7713075876235962,,,61.4095523,3242
,45,430.0,,1779623208.058051,1.7770262956619263,,,62.2728232,3242
,46,440.0,,1779623208.9252644,1.7378512620925903,,,63.1393004,3242
,47,450.0,,1779623209.7797532,1.741429090499878,,,63.9941694,3242
,48,460.0,,1779623210.6408734,1.759912133216858,,,64.8550855,3242
,49,470.0,,1779623211.508334,1.7441328763961792,,,65.7227829,3242
,50,480.0,,1779623212.3626244,1.7377644777297974,,,66.5773942,3242
,51,490.0,,1779623213.226005,1.7231805324554443,,,67.4404392,3242
,52,500.0,1.795101284980774,1779623225.6939485,,1.605334758758545,0.0009852826883675631,79.9086506,3242
,53,500.0,,1779623225.7841983,1.6737213134765625,,,79.998404,3242
,54,510.0,,1779623226.6503735,1.695518970489502,,,80.8649554,3242
,55,520.0,,1779623227.5190132,1.667196273803711,,,81.733262,3242
,56,530.0,,1779623228.3863244,1.6678800582885742,,,82.6005333,3242
,57,540.0,,1779623229.2452078,1.6448942422866821,,,83.459435,3242
,58,550.0,,1779623230.112188,1.664016842842102,,,84.3263982,3242
,59,560.0,,1779623230.9930334,1.6127874851226807,,,85.2072403,3242
,60,570.0,,1779623231.9328437,1.620335340499878,,,86.1476708,3242
,61,580.0,,1779623232.8623593,1.606778860092163,,,87.0767349,3242
,62,590.0,,1779623233.7878149,1.6230984926223755,,,88.0020212,3242
,63,600.0,,1779623234.6590023,1.5792819261550903,,,88.8734109,3242
,64,610.0,,1779623235.5459144,1.606533408164978,,,89.7601203,3242
,65,620.0,,1779623236.4150796,1.5513520240783691,,,90.629887,3242
,66,630.0,,1779623237.2884946,1.591029405593872,,,91.5029998,3242
,67,640.0,,1779623238.16079,1.5613914728164673,,,92.3750014,3242
,68,650.0,,1779623239.041201,1.5777561664581299,,,93.2554093,3242
,69,660.0,,1779623239.9061515,1.5519815683364868,,,94.1207222,3242
,70,670.0,,1779623240.7752984,1.5459320545196533,,,94.9903677,3242
,71,680.0,,1779623241.6411948,1.5589535236358643,,,95.8565738,3242
,72,690.0,,1779623242.5231407,1.535449504852295,,,96.7373511,3242
,73,700.0,,1779623243.4658983,1.5667229890823364,,,97.6801435,3242
,74,710.0,,1779623244.3974028,1.5332401990890503,,,98.6116119,3242
,75,720.0,,1779623245.3236587,1.5028269290924072,,,99.5378679,3242
,76,730.0,,1779623246.1966517,1.5204523801803589,,,100.4108606,3242
,77,740.0,,1779623247.066457,1.5202447175979614,,,101.2806633,3242
,78,750.0,1.6540828943252563,1779623259.3150332,,1.4257909059524536,0.0009614856803571157,113.5297638,3242
,79,750.0,,1779623259.4058828,1.5369211435317993,,,113.6201536,3242
,80,760.0,,1779623260.2694647,1.5037871599197388,,,114.4839941,3242
,81,770.0,,1779623261.1311324,1.4822449684143066,,,115.3457386,3242
,82,780.0,,1779623261.992014,1.4739792346954346,,,116.2062204,3242
,83,790.0,,1779623262.857697,1.505630612373352,,,117.0719041,3242
,84,800.0,,1779623263.7207599,1.5168743133544922,,,117.9351243,3242
,85,810.0,,1779623264.6237586,1.4963310956954956,,,118.8382191,3242
,86,820.0,,1779623265.5596497,1.5115182399749756,,,119.7738578,3242
,87,830.0,,1779623266.478262,1.49019193649292,,,120.6924687,3242
,88,840.0,,1779623267.3904223,1.4780787229537964,,,121.6046314,3242
,89,850.0,,1779623268.2638633,1.48020601272583,,,122.4780989,3242
,90,860.0,,1779623269.1349394,1.459654688835144,,,123.350147,3242
,91,870.0,,1779623270.0056977,1.4461878538131714,,,124.2205628,3242
,92,880.0,,1779623270.8869011,1.4464762210845947,,,125.101672,3242
,93,890.0,,1779623271.7542143,1.4538103342056274,,,125.9684243,3242
,94,900.0,,1779623272.6194634,1.4418638944625854,,,126.833728,3242
,95,910.0,,1779623273.4793916,1.4728078842163086,,,127.6935985,3242
,96,920.0,,1779623274.3362455,1.4533522129058838,,,128.5514628,3242
,97,930.0,,1779623275.2094495,1.4316685199737549,,,129.4236563,3242
,98,940.0,,1779623276.143302,1.4365267753601074,,,130.3575122,3242
,99,950.0,,1779623277.0725343,1.4263882637023926,,,131.2867701,3242
,100,960.0,,1779623278.005941,1.412529706954956,,,132.2206513,3242
,101,970.0,,1779623278.9095733,1.4084692001342773,,,133.1239227,3242
,102,980.0,,1779623279.788234,1.372787594795227,,,134.0026156,3242
,103,990.0,,1779623280.6552725,1.4006495475769043,,,134.8702211,3242
,104,1000.0,1.5759598016738892,1779623293.153889,,1.3359695672988892,0.0009271396472013282,147.3691158,3242
,105,1000.0,,1779623293.2468,1.4152191877365112,,,147.4617508,3242
,106,1010.0,,1779623294.1140375,1.4156389236450195,,,148.3287791,3242
,107,1020.0,,1779623294.988714,1.4267021417617798,,,149.2029212,3242
,108,1030.0,,1779623295.8510046,1.4170033931732178,,,150.0652117,3242
,109,1040.0,,1779623296.720562,1.4143407344818115,,,150.9356503,3242
,110,1050.0,,1779623297.5887582,1.4089810848236084,,,151.8031381,3242
,111,1060.0,,1779623298.515158,1.410036563873291,,,152.7295501,3242
