iter,_runtime,_timestamp,lr,_step,val/loss,train/loss,train/step_loss,Sample Generation,seed
0.0,14.2005992,1779630766.2420068,9.900990099009901e-06,0,4.367709159851074,4.374972820281982,,,3242
0.0,14.3150023,1779630766.356352,,1,,,4.340067386627197,,3242
10.0,15.2607285,1779630767.3021135,,2,,,3.2030582427978516,,3242
20.0,16.2133443,1779630768.2542357,,3,,,2.7651493549346924,,3242
30.0,17.1644044,1779630769.2057667,,4,,,2.6186535358428955,,3242
40.0,18.1147023,1779630770.1560879,,5,,,2.5607032775878906,,3242
50.0,19.0666837,1779630771.1073194,,6,,,2.5449044704437256,,3242
60.0,20.0194972,1779630772.0598822,,7,,,2.4960954189300537,,3242
70.0,20.9760904,1779630773.0174756,,8,,,2.5036656856536865,,3242
80.0,21.932939,1779630773.9739985,,9,,,2.4990735054016113,,3242
90.0,22.8909372,1779630774.93214,,10,,,2.5020580291748047,,3242
100.0,23.8474646,1779630775.888846,,11,,,2.4968819618225098,,3242
110.0,24.8013948,1779630776.8427796,,12,,,2.4853501319885254,,3242
120.0,25.7487211,1779630777.7906125,,13,,,2.474912405014038,,3242
130.0,26.6685708,1779630778.7099547,,14,,,2.465480327606201,,3242
140.0,27.6147834,1779630779.65585,,15,,,2.4442903995513916,,3242
150.0,28.5775388,1779630780.6189232,,16,,,2.4171717166900635,,3242
160.0,29.5362308,1779630781.5775998,,17,,,2.428388833999634,,3242
170.0,30.5036612,1779630782.5455527,,18,,,2.4198641777038574,,3242
180.0,31.4570829,1779630783.4984674,,19,,,2.3979721069335938,,3242
190.0,32.432787,1779630784.474171,,20,,,2.390275478363037,,3242
200.0,33.3929242,1779630785.434306,,21,,,2.3731648921966553,,3242
210.0,34.359192,1779630786.400576,,22,,,2.352062940597534,,3242
220.0,35.3271154,1779630787.368502,,23,,,2.35791015625,,3242
230.0,36.3007096,1779630788.3415205,,24,,,2.3244316577911377,,3242
240.0,37.2724808,1779630789.3131874,,25,,,2.314851999282837,,3242
250.0,51.3645013,1779630803.4041743,0.0009979206008271391,26,2.281588554382324,2.2380685806274414,,,3242
250.0,51.4606779,1779630803.5020654,,27,,,2.3015525341033936,,3242
260.0,52.3756757,1779630804.41606,,28,,,2.2788286209106445,,3242
270.0,53.2916418,1779630805.3329785,,29,,,2.2622487545013428,,3242
280.0,54.2065685,1779630806.2464142,,30,,,2.2282025814056396,,3242
290.0,55.1175132,1779630807.15788,,31,,,2.235337734222412,,3242
300.0,56.0412576,1779630808.0826418,,32,,,2.248868465423584,,3242
310.0,56.9558632,1779630808.9967556,,33,,,2.1995744705200195,,3242
320.0,57.8713288,1779630809.9126158,,34,,,2.1585569381713867,,3242
330.0,58.8251979,1779630810.8664372,,35,,,2.155880928039551,,3242
340.0,59.7807744,1779630811.822159,,36,,,2.1533384323120117,,3242
350.0,60.7451699,1779630812.7861905,,37,,,2.1347715854644775,,3242
360.0,61.7046884,1779630813.7460744,,38,,,2.137425661087036,,3242
370.0,62.6677404,1779630814.7091267,,39,,,2.093418836593628,,3242
380.0,63.6237236,1779630815.6650167,,40,,,2.049427032470703,,3242
390.0,64.587405,1779630816.6285815,,41,,,2.092125654220581,,3242
400.0,65.5488988,1779630817.590284,,42,,,2.0476155281066895,,3242
410.0,66.5160753,1779630818.557967,,43,,,2.0218684673309326,,3242
420.0,67.4806566,1779630819.5218987,,44,,,2.0070061683654785,,3242
430.0,68.4470777,1779630820.4874635,,45,,,2.017664909362793,,3242
440.0,69.4139786,1779630821.4547434,,46,,,1.9567583799362183,,3242
450.0,70.338411,1779630822.378894,,47,,,1.970715880393982,,3242
460.0,71.2492621,1779630823.2906446,,48,,,1.9676785469055176,,3242
470.0,72.1861555,1779630824.2275393,,49,,,1.9726977348327637,,3242
480.0,73.1532923,1779630825.1945577,,50,,,1.9587260484695435,,3242
490.0,74.1140484,1779630826.1554358,,51,,,1.9413199424743652,,3242
500.0,88.4025225,1779630840.44358,0.0009852826883675631,52,1.9503196477890015,1.8142151832580566,,,3242
500.0,88.504014,1779630840.5453887,,53,,,1.8913757801055908,,3242
510.0,89.4619381,1779630841.5032923,,54,,,1.9052613973617554,,3242
520.0,90.4298476,1779630842.4712315,,55,,,1.8910269737243652,,3242
530.0,91.3963008,1779630843.4365354,,56,,,1.8884401321411133,,3242
540.0,92.3323256,1779630844.3737082,,57,,,1.8578726053237915,,3242
550.0,93.2534029,1779630845.2947872,,58,,,1.87476646900177,,3242
560.0,94.1729463,1779630846.2143302,,59,,,1.821932077407837,,3242
570.0,95.0913557,1779630847.1323743,,60,,,1.8265432119369507,,3242
580.0,96.0074729,1779630848.048857,,61,,,1.8151172399520874,,3242
590.0,96.9322967,1779630848.9736795,,62,,,1.822202444076538,,3242
600.0,97.8512039,1779630849.8925116,,63,,,1.7982747554779053,,3242
610.0,98.7700842,1779630850.8114185,,64,,,1.7986888885498047,,3242
620.0,99.6937072,1779630851.7346728,,65,,,1.751517415046692,,3242
630.0,100.6225701,1779630852.663953,,66,,,1.7744747400283813,,3242
640.0,101.5381903,1779630853.579575,,67,,,1.7549822330474854,,3242
650.0,102.4784527,1779630854.5196548,,68,,,1.7737178802490234,,3242
660.0,103.4368589,1779630855.4777758,,69,,,1.751688003540039,,3242
670.0,104.394668,1779630856.435231,,70,,,1.7169548273086548,,3242
680.0,105.3438051,1779630857.3851876,,71,,,1.7485002279281616,,3242
690.0,106.3001551,1779630858.341539,,72,,,1.7275218963623047,,3242
700.0,107.26165,1779630859.3020282,,73,,,1.7419453859329224,,3242
710.0,108.2217316,1779630860.2631161,,74,,,1.7129254341125488,,3242
720.0,109.179406,1779630861.220298,,75,,,1.6761295795440674,,3242
730.0,110.1485376,1779630862.1899223,,76,,,1.7066457271575928,,3242
740.0,111.1097769,1779630863.1511285,,77,,,1.6835126876831055,,3242
750.0,125.2906658,1779630877.3315182,0.0009614856803571157,78,1.7910727262496948,1.5877957344055176,,,3242
750.0,125.3896589,1779630877.431045,,79,,,1.707741618156433,,3242
760.0,126.3567181,1779630878.398103,,80,,,1.6705893278121948,,3242
770.0,127.3178114,1779630879.3591974,,81,,,1.654007077217102,,3242
780.0,128.2749089,1779630880.3162947,,82,,,1.6343954801559448,,3242
790.0,129.2425109,1779630881.2837198,,83,,,1.678326964378357,,3242
800.0,130.2120806,1779630882.2525294,,84,,,1.6781041622161865,,3242
810.0,131.1756604,1779630883.2168515,,85,,,1.6610372066497803,,3242
820.0,132.1408286,1779630884.1815388,,86,,,1.6723573207855225,,3242
830.0,133.1088091,1779630885.1501946,,87,,,1.6510893106460571,,3242
840.0,134.073674,1779630886.1148026,,88,,,1.6462459564208984,,3242
850.0,135.0438083,1779630887.0851932,,89,,,1.6364824771881104,,3242
860.0,136.007745,1779630888.0491312,,90,,,1.6195605993270874,,3242
870.0,136.9831704,1779630889.024556,,91,,,1.5959275960922241,,3242
880.0,137.9517699,1779630889.9921522,,92,,,1.5957952737808228,,3242
890.0,138.9182456,1779630890.9596279,,93,,,1.6111743450164795,,3242
900.0,139.8836462,1779630891.925029,,94,,,1.5749552249908447,,3242
