_step,iter,_runtime,train/step_loss,val/loss,_timestamp,Sample Generation,lr,train/loss,seed
0,0.0,11.2539488,,4.196874141693115,1779702050.1468303,,9.900990099009901e-06,4.197114944458008,2026
1,0.0,11.3535469,4.213554382324219,,1779702050.245925,,,,2026
2,10.0,12.1772041,3.3867568969726562,,1779702051.06958,,,,2026
3,20.0,13.0002528,3.3475818634033203,,1779702051.8916252,,,,2026
4,30.0,13.8241139,3.3427319526672363,,1779702052.7164872,,,,2026
5,40.0,14.6478848,3.332573890686035,,1779702053.5402594,,,,2026
6,50.0,15.4706599,3.350069046020508,,1779702054.3630328,,,,2026
7,60.0,16.2945524,3.3671860694885254,,1779702055.1869287,,,,2026
8,70.0,17.116742,3.324629306793213,,1779702056.008856,,,,2026
9,80.0,17.9386056,3.32844877243042,,1779702056.8309808,,,,2026
10,90.0,18.761249,3.318112850189209,,1779702057.653489,,,,2026
11,100.0,19.5834427,3.2907462120056152,,1779702058.4758167,,,,2026
12,110.0,20.406383,3.3063206672668457,,1779702059.298757,,,,2026
13,120.0,21.2307839,3.325198173522949,,1779702060.1229753,,,,2026
14,130.0,22.0571246,3.3420238494873047,,1779702060.9489667,,,,2026
15,140.0,22.8782142,3.322728157043457,,1779702061.7705925,,,,2026
16,150.0,23.7011615,3.292353630065918,,1779702062.5934064,,,,2026
17,160.0,24.5248749,3.3106956481933594,,1779702063.4166234,,,,2026
18,170.0,25.3450454,3.3428149223327637,,1779702064.237351,,,,2026
19,180.0,26.1678215,3.314267635345459,,1779702065.0601447,,,,2026
20,190.0,26.9916405,3.2837610244750977,,1779702065.8840094,,,,2026
21,200.0,27.8118818,3.3133974075317383,,1779702066.7042563,,,,2026
22,210.0,28.6364803,3.31874418258667,,1779702067.5288553,,,,2026
23,220.0,29.4590777,3.3399553298950195,,1779702068.3514547,,,,2026
24,230.0,30.2785971,3.324108123779297,,1779702069.1709225,,,,2026
25,240.0,31.1037051,3.3378753662109375,,1779702069.9955885,,,,2026
26,250.0,42.5265403,,3.3620119094848633,1779702081.4184215,,0.0009979206008271391,3.3203396797180176,2026
27,250.0,42.6119098,3.3322925567626953,,1779702081.5036423,,,,2026
28,260.0,43.4380028,3.2997851371765137,,1779702082.3303711,,,,2026
29,270.0,44.260422,3.2949986457824707,,1779702083.1533036,,,,2026
30,280.0,45.0826485,3.288012981414795,,1779702083.9747531,,,,2026
31,290.0,45.9061151,3.3084588050842285,,1779702084.7982788,,,,2026
32,300.0,46.7296604,3.3227076530456543,,1779702085.6220357,,,,2026
33,310.0,47.5507228,3.3272900581359863,,1779702086.4429893,,,,2026
34,320.0,48.3719701,3.302396297454834,,1779702087.2643394,,,,2026
35,330.0,49.1981274,3.3404579162597656,,1779702088.0904448,,,,2026
36,340.0,50.020618,3.346665382385254,,1779702088.912993,,,,2026
37,350.0,50.8433089,3.326765537261963,,1779702089.7355342,,,,2026
38,360.0,51.6675206,3.3076586723327637,,1779702090.5598946,,,,2026
39,370.0,52.4893618,3.3042445182800293,,1779702091.3817384,,,,2026
40,380.0,53.3115385,3.3013181686401367,,1779702092.2038465,,,,2026
41,390.0,54.1377393,3.3131885528564453,,1779702093.0300667,,,,2026
42,400.0,54.9600043,3.3166251182556152,,1779702093.8523753,,,,2026
43,410.0,55.7823528,3.3105368614196777,,1779702094.6745963,,,,2026
44,420.0,56.6054509,3.3250985145568848,,1779702095.4976702,,,,2026
45,430.0,57.4287383,3.327849864959717,,1779702096.321114,,,,2026
46,440.0,58.2502449,3.326066493988037,,1779702097.1422656,,,,2026
47,450.0,59.073296,3.308763027191162,,1779702097.9656734,,,,2026
48,460.0,59.8994932,3.3189001083374023,,1779702098.7916846,,,,2026
49,470.0,60.7217006,3.3255457878112793,,1779702099.6140778,,,,2026
50,480.0,61.5440942,3.2964930534362793,,1779702100.436463,,,,2026
51,490.0,62.3666026,3.3367810249328613,,1779702101.2588863,,,,2026
52,500.0,73.7989736,,3.363114595413208,1779702112.6903253,,0.0009852826883675631,3.3208320140838623,2026
53,500.0,73.8854172,3.3083248138427734,,1779702112.777219,,,,2026
54,510.0,74.7104551,3.2897157669067383,,1779702113.6028333,,,,2026
55,520.0,75.5349584,3.329195976257324,,1779702114.427336,,,,2026
56,530.0,76.3569992,3.3061952590942383,,1779702115.2493753,,,,2026
57,540.0,77.1807828,3.318319320678711,,1779702116.0731578,,,,2026
58,550.0,78.0050226,3.3021860122680664,,1779702116.8971293,,,,2026
59,560.0,78.828967,3.300245761871338,,1779702117.7209177,,,,2026
60,570.0,79.6521147,3.308403968811035,,1779702118.5444894,,,,2026
61,580.0,80.4764541,3.315119743347168,,1779702119.368827,,,,2026
62,590.0,81.2992111,3.3229446411132812,,1779702120.1913161,,,,2026
63,600.0,82.1215933,3.296168327331543,,1779702121.0139685,,,,2026
64,610.0,82.9445906,3.309983253479004,,1779702121.8368201,,,,2026
65,620.0,83.7693577,3.2972664833068848,,1779702122.661733,,,,2026
66,630.0,84.5933546,3.281494617462158,,1779702123.4857259,,,,2026
67,640.0,85.413373,3.319202423095703,,1779702124.3057475,,,,2026
68,650.0,86.2377594,3.3003697395324707,,1779702125.1301332,,,,2026
69,660.0,87.0585224,3.307694911956787,,1779702125.9508972,,,,2026
70,670.0,87.8799021,3.288569927215576,,1779702126.7718499,,,,2026
71,680.0,88.7054284,3.298140525817871,,1779702127.597774,,,,2026
72,690.0,89.5295116,3.2974910736083984,,1779702128.421888,,,,2026
73,700.0,90.3527056,3.3301806449890137,,1779702129.2450812,,,,2026
74,710.0,91.1789487,3.309502124786377,,1779702130.0706053,,,,2026
75,720.0,92.0022384,3.312675952911377,,1779702130.8946111,,,,2026
76,730.0,92.8256509,3.325132369995117,,1779702131.7178178,,,,2026
77,740.0,93.6461863,3.345219135284424,,1779702132.53849,,,,2026
78,750.0,105.0732638,,3.3522696495056152,1779702143.9656096,,0.0009614856803571157,3.311570405960083,2026
