iter,train/loss,train/step_loss,lr,_timestamp,_runtime,val/loss,_step,Sample Generation,seed
0.0,4.326626777648926,,9.900990099009901e-06,1779700552.5678003,13.5955968,4.319007396697998,0,,2026
0.0,,4.313856601715088,,1779700552.6867096,13.714404,,1,,2026
10.0,,3.3511109352111816,,1779700553.6698394,14.6974409,,2,,2026
20.0,,2.948845624923706,,1779700554.652944,15.6805493,,3,,2026
30.0,,2.654801845550537,,1779700555.638624,16.666225,,4,,2026
40.0,,2.540515184402466,,1779700556.6223168,17.6500428,,5,,2026
50.0,,2.5184130668640137,,1779700557.602727,18.6306073,,6,,2026
60.0,,2.4741876125335693,,1779700558.586852,19.6149501,,7,,2026
70.0,,2.475156307220459,,1779700559.5681553,20.5957639,,8,,2026
80.0,,2.4457030296325684,,1779700560.5513687,21.5799708,,9,,2026
90.0,,2.4565861225128174,,1779700561.5337534,22.5613555,,10,,2026
100.0,,2.4132673740386963,,1779700562.5171974,23.545024,,11,,2026
110.0,,2.405447244644165,,1779700563.4988036,24.5264067,,12,,2026
120.0,,2.3949029445648193,,1779700564.4813476,25.5089533,,13,,2026
130.0,,2.3703975677490234,,1779700565.4629722,26.4914667,,14,,2026
140.0,,2.3459768295288086,,1779700566.4466307,27.474265,,15,,2026
150.0,,2.3110511302948,,1779700567.4741364,28.5017383,,16,,2026
160.0,,2.3038344383239746,,1779700568.5305452,29.5581485,,17,,2026
170.0,,2.2738699913024902,,1779700569.5671186,30.5947234,,18,,2026
180.0,,2.2626819610595703,,1779700570.5768301,31.6044576,,19,,2026
190.0,,2.2259154319763184,,1779700571.5710592,32.5986735,,20,,2026
200.0,,2.1469197273254395,,1779700572.5652373,33.5928415,,21,,2026
210.0,,2.1261682510375977,,1779700573.5590332,34.5866551,,22,,2026
220.0,,2.0307977199554443,,1779700574.5529149,35.5808389,,23,,2026
230.0,,2.0088939666748047,,1779700575.544177,36.571841,,24,,2026
240.0,,2.0311837196350098,,1779700576.5282736,37.5558746,,25,,2026
250.0,1.8710658550262451,,0.0009979206008271391,1779700590.3967602,51.4250666,2.0148425102233887,26,,2026
250.0,,1.9509179592132568,,1779700590.4997373,51.5275844,,27,,2026
260.0,,1.9536744356155396,,1779700591.4810467,52.5086507,,28,,2026
270.0,,1.8878706693649292,,1779700592.4657147,53.4933181,,29,,2026
280.0,,1.8411718606948853,,1779700593.445431,54.4730352,,30,,2026
290.0,,1.8403034210205078,,1779700594.429059,55.4566597,,31,,2026
300.0,,1.826757788658142,,1779700595.4099536,56.4376048,,32,,2026
310.0,,1.7461678981781006,,1779700596.392549,57.4207591,,33,,2026
320.0,,1.7736436128616333,,1779700597.374536,58.4021378,,34,,2026
330.0,,1.6742428541183472,,1779700598.3578124,59.3862416,,35,,2026
340.0,,1.6983920335769653,,1779700599.339173,60.3668773,,36,,2026
350.0,,1.697732925415039,,1779700600.3228328,61.3506303,,37,,2026
360.0,,1.6896470785140991,,1779700601.3065274,62.3341326,,38,,2026
370.0,,1.6379202604293823,,1779700602.3632767,63.3909467,,39,,2026
380.0,,1.6353733539581299,,1779700603.428973,64.4565768,,40,,2026
390.0,,1.6248670816421509,,1779700604.491559,65.519295,,41,,2026
400.0,,1.6061290502548218,,1779700605.4876363,66.5153724,,42,,2026
410.0,,1.58822762966156,,1779700606.481129,67.5087314,,43,,2026
420.0,,1.58025062084198,,1779700607.4753532,68.5029555,,44,,2026
430.0,,1.5384057760238647,,1779700608.469509,69.4971102,,45,,2026
440.0,,1.5893232822418213,,1779700609.4625306,70.4907046,,46,,2026
450.0,,1.5351519584655762,,1779700610.4503274,71.4779328,,47,,2026
460.0,,1.5364943742752075,,1779700611.4332528,72.4608556,,48,,2026
470.0,,1.5433080196380615,,1779700612.415025,73.4426282,,49,,2026
480.0,,1.5417717695236206,,1779700613.4386785,74.4662805,,50,,2026
490.0,,1.5009161233901978,,1779700614.5040572,75.5326259,,51,,2026
500.0,1.4343150854110718,,0.0009852826883675631,1779700628.4175303,89.4451337,1.6447169780731201,52,,2026
500.0,,1.5200302600860596,,1779700628.5199072,89.5484262,,53,,2026
510.0,,1.4701780080795288,,1779700629.513926,90.5416732,,54,,2026
520.0,,1.4814834594726562,,1779700630.5074499,91.5352721,,55,,2026
530.0,,1.483550786972046,,1779700631.501928,92.5295815,,56,,2026
540.0,,1.4151771068572998,,1779700632.4956532,93.523449,,57,,2026
550.0,,1.467386245727539,,1779700633.483047,94.5106493,,58,,2026
560.0,,1.4859421253204346,,1779700634.4655104,95.4931111,,59,,2026
570.0,,1.4729279279708862,,1779700635.445621,96.4733287,,60,,2026
580.0,,1.4287505149841309,,1779700636.4727292,97.5009142,,61,,2026
