lr,iter,train/step_loss,Sample Generation,_timestamp,_step,_runtime,val/loss,train/loss,seed
9.900990099009901e-06,0.0,,,1779620143.6290698,0,14.3245542,4.183338165283203,4.190122604370117,3242
,0.0,4.1932830810546875,,1779620143.7495804,1,14.4445612,,,3242
,10.0,3.053375244140625,,1779620144.751745,2,15.4473129,,,3242
,20.0,2.671844005584717,,1779620145.7696939,3,16.4646897,,,3242
,30.0,2.589956521987915,,1779620146.8080268,4,17.5036699,,,3242
,40.0,2.5370335578918457,,1779620147.830126,5,18.5250897,,,3242
,50.0,2.430769443511963,,1779620148.840753,6,19.536058,,,3242
,60.0,2.3473410606384277,,1779620149.8728213,7,20.568694,,,3242
,70.0,2.292999029159546,,1779620150.906449,8,21.6018841,,,3242
,80.0,2.22328519821167,,1779620151.9279904,9,22.6234424,,,3242
,90.0,2.167475938796997,,1779620152.957444,10,23.6525574,,,3242
,100.0,2.122741460800171,,1779620153.9883783,11,24.6833457,,,3242
,110.0,2.068183660507202,,1779620155.0312607,12,25.7263078,,,3242
,120.0,2.0365586280822754,,1779620156.068726,13,26.7642775,,,3242
,130.0,1.9916346073150635,,1779620157.0928352,14,27.7879885,,,3242
,140.0,1.9289473295211792,,1779620158.121424,15,28.8164183,,,3242
,150.0,1.9211009740829468,,1779620159.1466198,16,29.8420962,,,3242
,160.0,1.901479959487915,,1779620160.1836312,17,30.8785988,,,3242
,170.0,1.8455220460891724,,1779620161.2186613,18,31.914009,,,3242
,180.0,1.8288298845291138,,1779620162.2480013,19,32.9435182,,,3242
,190.0,1.8086137771606445,,1779620163.279722,20,33.9748112,,,3242
,200.0,1.8084876537322998,,1779620164.3188663,21,35.0148628,,,3242
,210.0,1.7624232769012451,,1779620165.3457417,22,36.0407092,,,3242
,220.0,1.7580102682113647,,1779620166.369,23,37.0642707,,,3242
,230.0,1.711094617843628,,1779620167.3942487,24,38.0892145,,,3242
,240.0,1.7325023412704468,,1779620168.4174483,25,39.1124386,,,3242
