_step,train/loss,Sample Generation,iter,_runtime,val/loss,_timestamp,train/step_loss,lr,seed
0,4.262131690979004,,0.0,24.7534833,4.25137186050415,1779716616.5512743,,9.900990099009901e-06,6242
1,,,0.0,24.9771746,,1779716616.7754614,4.256283760070801,,6242
2,,,10.0,27.0171203,,1779716618.8154066,3.136056423187256,,6242
3,,,20.0,29.0202166,,1779716620.8180192,2.745332717895508,,6242
4,,,30.0,31.0632317,,1779716622.8613572,2.5980992317199707,,6242
5,,,40.0,33.0788462,,1779716624.8771334,2.5678343772888184,,6242
6,,,50.0,35.0834831,,1779716626.8822742,2.5178356170654297,,6242
7,,,60.0,37.0694698,,1779716628.867754,2.506568431854248,,6242
8,,,70.0,39.0812096,,1779716630.8794951,2.4963154792785645,,6242
9,,,80.0,41.0910099,,1779716632.8892941,2.4924509525299072,,6242
10,,,90.0,43.1003402,,1779716634.898358,2.4878242015838623,,6242
11,,,100.0,45.0963294,,1779716636.8943932,2.4617815017700195,,6242
12,,,110.0,47.0944583,,1779716638.8924015,2.4442996978759766,,6242
13,,,120.0,49.0891782,,1779716640.8865752,2.469552516937256,,6242
14,,,130.0,51.0770175,,1779716642.8753037,2.462916374206543,,6242
15,,,140.0,53.0782067,,1779716644.8762493,2.443588972091675,,6242
16,,,150.0,55.1358694,,1779716646.934154,2.4351963996887207,,6242
17,,,160.0,57.1865685,,1779716648.9840868,2.4249768257141113,,6242
18,,,170.0,59.2886636,,1779716651.086949,2.398181915283203,,6242
19,,,180.0,61.328993,,1779716653.1263757,2.420538902282715,,6242
20,,,190.0,63.3441038,,1779716655.1423655,2.3805227279663086,,6242
21,,,200.0,65.3510489,,1779716657.1494534,2.3575479984283447,,6242
22,,,210.0,67.3488257,,1779716659.147111,2.3664960861206055,,6242
23,,,220.0,69.3720088,,1779716661.1702914,2.327324628829956,,6242
24,,,230.0,71.4028916,,1779716663.2006822,2.3160898685455322,,6242
25,,,240.0,73.4661976,,1779716665.2644827,2.335710287094116,,6242
26,2.210357904434204,,250.0,99.8544926,2.2812466621398926,1779716691.6522844,,0.0009979206008271391,6242
27,,,250.0,100.0825267,,1779716691.8807883,2.282569408416748,,6242
28,,,260.0,102.1606638,,1779716693.9589508,2.2609386444091797,,6242
29,,,270.0,104.2384879,,1779716696.03585,2.2271437644958496,,6242
30,,,280.0,106.3107164,,1779716698.109003,2.201875686645508,,6242
31,,,290.0,108.390501,,1779716700.1883955,2.1361794471740723,,6242
32,,,300.0,110.4747669,,1779716702.2725577,2.125732421875,,6242
33,,,310.0,112.5547792,,1779716704.3524332,2.0981905460357666,,6242
34,,,320.0,114.6409984,,1779716706.439282,2.0846221446990967,,6242
35,,,330.0,116.72615,,1779716708.5243292,2.0212955474853516,,6242
36,,,340.0,118.8104257,,1779716710.6087081,1.994744062423706,,6242
37,,,350.0,120.8829057,,1779716712.6811888,1.979488492012024,,6242
38,,,360.0,122.9781922,,1779716714.776478,1.9180599451065063,,6242
39,,,370.0,125.0734029,,1779716716.8713062,1.9248746633529663,,6242
40,,,380.0,127.1598141,,1779716718.9570985,1.8890166282653809,,6242
41,,,390.0,129.1657483,,1779716720.9638193,1.8600764274597168,,6242
42,,,400.0,131.1862774,,1779716722.984564,1.86701500415802,,6242
43,,,410.0,133.1785274,,1779716724.9762428,1.807638168334961,,6242
44,,,420.0,135.1780771,,1779716726.9763644,1.7950102090835571,,6242
45,,,430.0,137.1695876,,1779716728.9678743,1.7640750408172607,,6242
46,,,440.0,139.1733784,,1779716730.9716604,1.735264539718628,,6242
47,,,450.0,141.1594966,,1779716732.9577816,1.7250173091888428,,6242
48,,,460.0,143.1480477,,1779716734.9463325,1.6716163158416748,,6242
49,,,470.0,145.1426593,,1779716736.9407563,1.7039791345596313,,6242
50,,,480.0,147.1481192,,1779716738.9464035,1.638669490814209,,6242
51,,,490.0,149.2841681,,1779716741.08184,1.6580342054367065,,6242
52,1.546433687210083,,500.0,175.9646098,1.7445945739746094,1779716767.762402,,0.0009852826883675631,6242
53,,,500.0,176.1709809,,1779716767.9692497,1.6066278219223022,,6242
54,,,510.0,178.176527,,1779716769.9745476,1.6137489080429077,,6242
55,,,520.0,180.1733953,,1779716771.9716802,1.6197896003723145,,6242
56,,,530.0,182.1779192,,1779716773.9758644,1.570353627204895,,6242
57,,,540.0,184.2077444,,1779716776.0059164,1.5547804832458496,,6242
58,,,550.0,186.3139125,,1779716778.1118863,1.5635825395584106,,6242
59,,,560.0,188.3504187,,1779716780.1487033,1.545256495475769,,6242
60,,,570.0,190.4137812,,1779716782.2112665,1.5525625944137573,,6242
61,,,580.0,192.4381971,,1779716784.2362626,1.5268945693969727,,6242
62,,,590.0,194.4581886,,1779716786.2560773,1.5123822689056396,,6242
63,,,600.0,196.4650498,,1779716788.2632508,1.5050402879714966,,6242
64,,,610.0,198.4638524,,1779716790.261848,1.4973150491714478,,6242
65,,,620.0,200.4797186,,1779716792.2779384,1.4568661451339722,,6242
66,,,630.0,202.5121409,,1779716794.3098679,1.4698779582977295,,6242
67,,,640.0,204.5276856,,1779716796.3250587,1.4637101888656616,,6242
68,,,650.0,206.5405443,,1779716798.3386497,1.4778770208358765,,6242
69,,,660.0,208.516044,,1779716800.314324,1.4574857950210571,,6242
70,,,670.0,210.5090431,,1779716802.3070698,1.4507415294647217,,6242
71,,,680.0,212.5099928,,1779716804.3082762,1.4136888980865479,,6242
72,,,690.0,214.5086198,,1779716806.3069043,1.4449506998062134,,6242
73,,,700.0,216.5044747,,1779716808.3027537,1.4157829284667969,,6242
74,,,710.0,218.4822446,,1779716810.2803466,1.3867542743682861,,6242
75,,,720.0,220.5095404,,1779716812.3078241,1.4120509624481201,,6242
76,,,730.0,222.5316152,,1779716814.3299,1.3906941413879395,,6242
77,,,740.0,224.5185644,,1779716816.3166087,1.4044766426086426,,6242
78,1.3117179870605469,,750.0,249.9631552,1.558434009552002,1779716841.7613177,,0.0009614856803571157,6242
79,,,750.0,250.1730729,,1779716841.9711914,1.3874499797821045,,6242
80,,,760.0,252.1492155,,1779716843.947501,1.3765692710876465,,6242
81,,,770.0,254.1210179,,1779716845.919301,1.3551034927368164,,6242
82,,,780.0,256.0923765,,1779716847.8906624,1.3939257860183716,,6242
83,,,790.0,258.0546916,,1779716849.8529449,1.3522535562515259,,6242
84,,,800.0,260.045785,,1779716851.8440514,1.3372836112976074,,6242
85,,,810.0,262.0152288,,1779716853.8135147,1.3577882051467896,,6242
86,,,820.0,263.9998826,,1779716855.7981665,1.3411269187927246,,6242
87,,,830.0,265.9648396,,1779716857.7629762,1.3345329761505127,,6242
88,,,840.0,267.9361354,,1779716859.7341247,1.3234657049179077,,6242
89,,,850.0,269.8951453,,1779716861.6933134,1.3301993608474731,,6242
90,,,860.0,271.8703447,,1779716863.6685047,1.3104991912841797,,6242
91,,,870.0,273.8348576,,1779716865.632454,1.3198258876800537,,6242
92,,,880.0,275.8476677,,1779716867.6459525,1.3197002410888672,,6242
93,,,890.0,277.8332109,,1779716869.6310942,1.3091546297073364,,6242
94,,,900.0,279.8110359,,1779716871.6092463,1.29888117313385,,6242
95,,,910.0,281.7652169,,1779716873.5624394,1.2990138530731201,,6242
96,,,920.0,283.7309176,,1779716875.5292015,1.331184983253479,,6242
97,,,930.0,285.6950933,,1779716877.4933772,1.2876522541046143,,6242
98,,,940.0,287.6657928,,1779716879.463582,1.3019778728485107,,6242
99,,,950.0,289.6258932,,1779716881.4241793,1.2946834564208984,,6242
100,,,960.0,291.6172154,,1779716883.4154716,1.2893667221069336,,6242
101,,,970.0,293.5882756,,1779716885.38656,1.2948850393295288,,6242
102,,,980.0,295.5503585,,1779716887.3486445,1.294811487197876,,6242
103,,,990.0,297.5526521,,1779716889.3506126,1.2596157789230347,,6242
104,1.202237606048584,,1000.0,323.0685756,1.4918559789657593,1779716914.866708,,0.0009271396472013282,6242
105,,,1000.0,323.2728345,,1779716915.071118,1.2990527153015137,,6242
106,,,1010.0,325.244154,,1779716917.0424402,1.263845443725586,,6242
107,,,1020.0,327.2132031,,1779716919.0114863,1.2513763904571533,,6242
108,,,1030.0,329.2173007,,1779716921.0153577,1.2595372200012207,,6242
109,,,1040.0,331.2130503,,1779716923.011319,1.2410798072814941,,6242
110,,,1050.0,333.1982436,,1779716924.9965284,1.22428560256958,,6242
111,,,1060.0,335.1610517,,1779716926.9593384,1.2748576402664185,,6242
112,,,1070.0,337.1262388,,1779716928.924522,1.240513563156128,,6242
113,,,1080.0,339.1051898,,1779716930.9034703,1.2420011758804321,,6242
114,,,1090.0,341.0955476,,1779716932.8932345,1.2471736669540405,,6242
115,,,1100.0,343.1555647,,1779716934.9537249,1.2234023809432983,,6242
116,,,1110.0,345.188563,,1779716936.9866211,1.2526746988296509,,6242
117,,,1120.0,347.1820926,,1779716938.980241,1.2329366207122803,,6242
118,,,1130.0,349.1764812,,1779716940.9738905,1.2139499187469482,,6242
119,,,1140.0,351.1826391,,1779716942.9809248,1.2373822927474976,,6242
120,,,1150.0,353.2127484,,1779716945.010329,1.2184953689575195,,6242
121,,,1160.0,355.2400636,,1779716947.0383484,1.2329163551330566,,6242
122,,,1170.0,357.3260748,,1779716949.1241686,1.242673635482788,,6242
123,,,1180.0,359.4630845,,1779716951.2605662,1.2374279499053955,,6242
124,,,1190.0,361.6037565,,1779716953.4017503,1.22379732131958,,6242
125,,,1200.0,363.725111,,1779716955.5229042,1.214136004447937,,6242
126,,,1210.0,365.8622298,,1779716957.6603765,1.2322367429733276,,6242
127,,,1220.0,368.0007471,,1779716959.7990317,1.2218791246414185,,6242
128,,,1230.0,370.128845,,1779716961.926634,1.1946089267730713,,6242
129,,,1240.0,372.1998553,,1779716963.9973419,1.1850731372833252,,6242
130,1.1124778985977173,,1250.0,399.1592865,1.4805428981781006,1779716990.9570763,,0.000883125098683892,6242
131,,,1250.0,399.3700886,,1779716991.1679423,1.1838003396987915,,6242
132,,,1260.0,401.4409253,,1779716993.2392807,1.195054292678833,,6242
133,,,1270.0,403.5061549,,1779716995.3034964,1.1700166463851929,,6242
134,,,1280.0,405.615515,,1779716997.4138002,1.182741403579712,,6242
135,,,1290.0,407.7086556,,1779716999.5074465,1.1811888217926025,,6242
136,,,1300.0,409.7763064,,1779717001.5750973,1.1884651184082031,,6242
137,,,1310.0,411.8482329,,1779717003.6464946,1.1664807796478271,,6242
138,,,1320.0,413.9155337,,1779717005.713529,1.177399754524231,,6242
139,,,1330.0,415.9637255,,1779717007.761935,1.2142411470413208,,6242
140,,,1340.0,418.0327331,,1779717009.8315241,1.1580142974853516,,6242
141,,,1350.0,420.0850183,,1779717011.8838093,1.158871054649353,,6242
142,,,1360.0,422.1512576,,1779717013.9495442,1.1571003198623657,,6242
143,,,1370.0,424.203782,,1779717016.0019844,1.1501820087432861,,6242
144,,,1380.0,426.3256471,,1779717018.1238787,1.1484891176223755,,6242
145,,,1390.0,428.4150097,,1779717020.2138007,1.1612495183944702,,6242
146,,,1400.0,430.4809921,,1779717022.2790828,1.1367086172103882,,6242
147,,,1410.0,432.5817773,,1779717024.3800645,1.1352686882019043,,6242
148,,,1420.0,434.6690259,,1779717026.467817,1.1609086990356445,,6242
149,,,1430.0,436.7422262,,1779717028.539962,1.16780686378479,,6242
150,,,1440.0,438.8058001,,1779717030.6038659,1.1711056232452393,,6242
151,,,1450.0,440.8942176,,1779717032.6925046,1.1401418447494507,,6242
152,,,1460.0,443.0047578,,1779717034.8029892,1.1221784353256226,,6242
153,,,1470.0,445.1516221,,1779717036.9499075,1.140694499015808,,6242
154,,,1480.0,447.3822607,,1779717039.180545,1.1619141101837158,,6242
155,,,1490.0,449.6003832,,1779717041.3982477,1.1425882577896118,,6242
156,1.036778211593628,,1500.0,477.3714585,1.4760769605636597,1779717069.1694906,,0.0008305704108364302,6242
157,,,1500.0,477.58127,,1779717069.3795552,1.1162903308868408,,6242
158,,,1510.0,479.6546998,,1779717071.4519265,1.1384155750274658,,6242
159,,,1520.0,481.75955,,1779717073.5570083,1.1194249391555786,,6242
160,,,1530.0,483.9428838,,1779717075.7411716,1.1142101287841797,,6242
161,,,1540.0,486.0820869,,1779717077.8801181,1.1063731908798218,,6242
162,,,1550.0,488.2956066,,1779717080.0930445,1.1170560121536255,,6242
163,,,1560.0,490.4510315,,1779717082.2493155,1.142591118812561,,6242
164,,,1570.0,492.6565787,,1779717084.4548657,1.1096348762512207,,6242
165,,,1580.0,494.7892998,,1779717086.5873537,1.1239211559295654,,6242
166,,,1590.0,496.856683,,1779717088.6549675,1.1028262376785278,,6242
167,,,1600.0,498.9167556,,1779717090.7150404,1.1298789978027344,,6242
168,,,1610.0,500.976574,,1779717092.7740319,1.0828757286071777,,6242
169,,,1620.0,503.0316391,,1779717094.82992,1.090915560722351,,6242
170,,,1630.0,505.0828064,,1779717096.8804615,1.1303224563598633,,6242
171,,,1640.0,507.2759806,,1779717099.0742657,1.1018009185791016,,6242
172,,,1650.0,509.4588589,,1779717101.2569063,1.1026300191879272,,6242
173,,,1660.0,511.6582715,,1779717103.456555,1.1180670261383057,,6242
174,,,1670.0,513.7456949,,1779717105.5439787,1.0663087368011475,,6242
175,,,1680.0,515.9391364,,1779717107.7373834,1.0823644399642944,,6242
176,,,1690.0,518.1594914,,1779717109.9574533,1.0732635259628296,,6242
177,,,1700.0,520.281224,,1779717112.0789323,1.093176007270813,,6242
178,,,1710.0,522.4268913,,1779717114.2242963,1.0789060592651367,,6242
179,,,1720.0,524.5262063,,1779717116.3244905,1.0937166213989258,,6242
180,,,1730.0,526.7421282,,1779717118.5394871,1.089303970336914,,6242
181,,,1740.0,528.8972123,,1779717120.6944914,1.066051959991455,,6242
182,0.9635435342788696,,1750.0,556.0901471,1.488821268081665,1779717147.888326,,0.0007708228984017721,6242
183,,,1750.0,556.3051252,,1779717148.1034033,1.0812053680419922,,6242
184,,,1760.0,558.3583285,,1779717150.1560566,1.0608351230621338,,6242
185,,,1770.0,560.4328527,,1779717152.2303061,1.0662802457809448,,6242
186,,,1780.0,562.5030935,,1779717154.3008842,1.067116618156433,,6242
187,,,1790.0,564.6320094,,1779717156.4302933,1.0699148178100586,,6242
188,,,1800.0,566.7633321,,1779717158.560735,1.0595118999481201,,6242
189,,,1810.0,568.8956076,,1779717160.6938915,1.0402169227600098,,6242
190,,,1820.0,571.0137691,,1779717162.8120525,1.0309689044952393,,6242
191,,,1830.0,573.1720204,,1779717164.970304,1.0570911169052124,,6242
192,,,1840.0,575.321878,,1779717167.120056,1.0586527585983276,,6242
193,,,1850.0,577.4021816,,1779717169.2009726,1.0618928670883179,,6242
194,,,1860.0,579.5252706,,1779717171.3230748,1.0240931510925293,,6242
195,,,1870.0,581.653857,,1779717173.4520745,1.0331828594207764,,6242
196,,,1880.0,583.7340936,,1779717175.5322235,1.0634886026382446,,6242
197,,,1890.0,585.8001046,,1779717177.5976412,1.0543988943099976,,6242
198,,,1900.0,587.8968368,,1779717179.6948311,1.0509033203125,,6242
199,,,1910.0,589.9945381,,1779717181.7928193,1.0128976106643677,,6242
200,,,1920.0,592.0907509,,1779717183.8886404,1.025909662246704,,6242
201,,,1930.0,594.1961548,,1779717185.993407,1.0350093841552734,,6242
202,,,1940.0,596.3207729,,1779717188.118376,1.066150426864624,,6242
203,,,1950.0,598.4210412,,1779717190.2187765,1.0431963205337524,,6242
204,,,1960.0,600.4926363,,1779717192.28997,1.0536775588989258,,6242
205,,,1970.0,602.5603455,,1779717194.3586166,1.0349252223968506,,6242
206,,,1980.0,604.6122051,,1779717196.4102368,1.0124472379684448,,6242
207,,,1990.0,606.6717256,,1779717198.4691687,1.0316975116729736,,6242
208,0.88993239402771,,2000.0,633.0501612,1.5295757055282593,1779717224.8484147,,0.0007054142744895884,6242
209,,,2000.0,633.2547662,,1779717225.052866,1.0022252798080444,,6242
210,,,2010.0,635.3287811,,1779717227.127065,1.0000170469284058,,6242
211,,,2020.0,637.3846117,,1779717229.1822457,0.9969639778137207,,6242
212,,,2030.0,639.4539053,,1779717231.251946,1.0172133445739746,,6242
213,,,2040.0,641.4944593,,1779717233.292743,1.0083057880401611,,6242
214,,,2050.0,643.6489129,,1779717235.4471242,0.9917225241661072,,6242
215,,,2060.0,645.7680141,,1779717237.5661168,1.024409294128418,,6242
216,,,2070.0,647.8937104,,1779717239.6919956,1.0028513669967651,,6242
217,,,2080.0,650.0051573,,1779717241.8033612,1.005251169204712,,6242
218,,,2090.0,652.1205888,,1779717243.9187534,0.998179018497467,,6242
219,,,2100.0,654.2158761,,1779717246.0133069,0.9931937456130981,,6242
220,,,2110.0,656.3087353,,1779717248.1070209,1.002766489982605,,6242
221,,,2120.0,658.4305509,,1779717250.2286,0.9987422823905945,,6242
222,,,2130.0,660.5004134,,1779717252.2981277,0.9991204142570496,,6242
223,,,2140.0,662.5920255,,1779717254.3899455,0.9986023902893066,,6242
224,,,2150.0,664.6636735,,1779717256.4619591,0.991235613822937,,6242
225,,,2160.0,666.7837833,,1779717258.58207,0.9738773703575134,,6242
226,,,2170.0,668.8887166,,1779717260.6870043,0.9579830765724182,,6242
227,,,2180.0,670.982559,,1779717262.7805784,0.9696900248527527,,6242
228,,,2190.0,673.1249186,,1779717264.9232028,0.9694743156433105,,6242
229,,,2200.0,675.2733599,,1779717267.0711086,0.9510325193405151,,6242
230,,,2210.0,677.4761108,,1779717269.274393,0.9707334041595459,,6242
231,,,2220.0,679.651182,,1779717271.4494593,0.9585316181182861,,6242
