train/step_loss,lr,iter,_runtime,Sample Generation,val/loss,_timestamp,_step,train/loss,seed
,9.900990099009901e-06,0.0,12.9762549,,4.304520130157471,1779711767.053068,0,4.310487270355225,6242
4.30668830871582,,0.0,13.0875078,,,1779711767.165525,1,,6242
3.1177656650543213,,10.0,14.0647497,,,1779711768.1424098,2,,6242
2.7599053382873535,,20.0,15.0370144,,,1779711769.1141586,3,,6242
2.620288848876953,,30.0,16.009143,,,1779711770.0869899,4,,6242
2.546992063522339,,40.0,16.9511365,,,1779711771.0291553,5,,6242
2.5257253646850586,,50.0,17.9135999,,,1779711771.9913652,6,,6242
2.4963529109954834,,60.0,18.8800362,,,1779711772.9580045,7,,6242
2.484996795654297,,70.0,19.8513381,,,1779711773.929357,8,,6242
2.5031704902648926,,80.0,20.8519031,,,1779711774.929759,9,,6242
2.4727275371551514,,90.0,21.8241405,,,1779711775.9020805,10,,6242
2.4838831424713135,,100.0,22.8241273,,,1779711776.9021459,11,,6242
2.4618871212005615,,110.0,23.8198415,,,1779711777.8983653,12,,6242
2.452939748764038,,120.0,24.8236978,,,1779711778.901713,13,,6242
2.418160915374756,,130.0,25.8408271,,,1779711779.9185507,14,,6242
2.41501522064209,,140.0,26.8027612,,,1779711780.8799381,15,,6242
2.4212968349456787,,150.0,27.7841949,,,1779711781.8622115,16,,6242
2.362943410873413,,160.0,28.7782496,,,1779711782.855848,17,,6242
2.3595848083496094,,170.0,29.818927,,,1779711783.8964415,18,,6242
2.356928825378418,,180.0,30.816163,,,1779711784.8936808,19,,6242
2.3206276893615723,,190.0,31.8082371,,,1779711785.886108,20,,6242
2.257452964782715,,200.0,32.7775022,,,1779711786.8555214,21,,6242
2.260422706604004,,210.0,33.7519775,,,1779711787.8299944,22,,6242
2.2147791385650635,,220.0,34.7359049,,,1779711788.8139207,23,,6242
2.2255303859710693,,230.0,35.731489,,,1779711789.809507,24,,6242
2.17636775970459,,240.0,36.7294001,,,1779711790.8074167,25,,6242
,0.0009979206008271391,250.0,50.6860194,,2.141148805618286,1779711804.7638578,26,2.0554773807525635,6242
2.145237922668457,,250.0,50.7956385,,,1779711804.8736553,27,,6242
2.0972421169281006,,260.0,51.8268651,,,1779711805.90471,28,,6242
2.076207160949707,,270.0,52.8159675,,,1779711806.8939846,29,,6242
2.0220704078674316,,280.0,53.7816377,,,1779711807.8596468,30,,6242
2.0286459922790527,,290.0,54.7430942,,,1779711808.8209698,31,,6242
1.9668774604797363,,300.0,55.7122071,,,1779711809.7889504,32,,6242
1.8957388401031494,,310.0,56.6818333,,,1779711810.758916,33,,6242
1.9199378490447998,,320.0,57.6392498,,,1779711811.7172658,34,,6242
1.8740617036819458,,330.0,58.5957551,,,1779711812.6737745,35,,6242
1.8843131065368652,,340.0,59.5658803,,,1779711813.6434011,36,,6242
1.8229026794433594,,350.0,60.5831013,,,1779711814.661116,37,,6242
1.8340436220169067,,360.0,61.5537851,,,1779711815.6313303,38,,6242
1.8105428218841553,,370.0,62.516586,,,1779711816.5939965,39,,6242
1.782762885093689,,380.0,63.4724416,,,1779711817.550459,40,,6242
1.8018553256988525,,390.0,64.4423505,,,1779711818.5203707,41,,6242
1.7451496124267578,,400.0,65.3970744,,,1779711819.4746013,42,,6242
1.7334743738174438,,410.0,66.3544962,,,1779711820.4317248,43,,6242
1.7120544910430908,,420.0,67.4527817,,,1779711821.5307965,44,,6242
1.6975079774856567,,430.0,68.4488335,,,1779711822.5261915,45,,6242
1.6862143278121948,,440.0,69.412393,,,1779711823.4902842,46,,6242
1.6577837467193604,,450.0,70.3761133,,,1779711824.4536622,47,,6242
1.6745126247406006,,460.0,71.3392694,,,1779711825.417285,48,,6242
1.6506901979446411,,470.0,72.303554,,,1779711826.381572,49,,6242
1.6657800674438477,,480.0,73.2651017,,,1779711827.3428223,50,,6242
1.6087056398391724,,490.0,74.231127,,,1779711828.3089814,51,,6242
,0.0009852826883675631,500.0,87.5337161,,1.7295037508010864,1779711841.611736,52,1.5438488721847534,6242
1.6465705633163452,,500.0,87.6348917,,,1779711841.7129092,53,,6242
1.5994919538497925,,510.0,88.6015817,,,1779711842.6795986,54,,6242
1.6116942167282104,,520.0,89.5590232,,,1779711843.6368806,55,,6242
1.5445547103881836,,530.0,90.5141415,,,1779711844.591616,56,,6242
1.5886280536651611,,540.0,91.4794428,,,1779711845.5574095,57,,6242
1.54354989528656,,550.0,92.439559,,,1779711846.5167859,58,,6242
1.5543471574783325,,560.0,93.3982826,,,1779711847.4763002,59,,6242
1.503770351409912,,570.0,94.3637122,,,1779711848.4414387,60,,6242
1.5543828010559082,,580.0,95.3164109,,,1779711849.394426,61,,6242
1.5291564464569092,,590.0,96.2710459,,,1779711850.3490634,62,,6242
1.4950436353683472,,600.0,97.2483743,,,1779711851.3263924,63,,6242
1.486736536026001,,610.0,98.1978751,,,1779711852.2756834,64,,6242
1.4948185682296753,,620.0,99.1560366,,,1779711853.2340531,65,,6242
1.4819068908691406,,630.0,100.1137432,,,1779711854.1917584,66,,6242
1.4908287525177002,,640.0,101.06348,,,1779711855.1413944,67,,6242
1.4826905727386475,,650.0,102.0110826,,,1779711856.0888538,68,,6242
1.472263216972351,,660.0,102.964303,,,1779711857.0423195,69,,6242
1.469348669052124,,670.0,103.916,,,1779711857.9936323,70,,6242
1.4621093273162842,,680.0,104.8775417,,,1779711858.9554846,71,,6242
1.443459391593933,,690.0,105.8280227,,,1779711859.9060361,72,,6242
1.4429643154144287,,700.0,106.7787806,,,1779711860.8568,73,,6242
1.4400991201400757,,710.0,107.7275685,,,1779711861.8050327,74,,6242
1.4352613687515259,,720.0,108.6820589,,,1779711862.759944,75,,6242
1.4457145929336548,,730.0,109.6460906,,,1779711863.7239518,76,,6242
1.417992353439331,,740.0,110.5992801,,,1779711864.677261,77,,6242
,0.0009614856803571157,750.0,123.4941695,,1.5716285705566406,1779711877.5717952,78,1.355302095413208,6242
1.4312119483947754,,750.0,123.5946349,,,1779711877.672654,79,,6242
1.4346262216567993,,760.0,124.5448998,,,1779711878.6221805,80,,6242
1.397605061531067,,770.0,125.5083449,,,1779711879.5862103,81,,6242
1.4074691534042358,,780.0,126.4588462,,,1779711880.5365136,82,,6242
1.3762614727020264,,790.0,127.4162029,,,1779711881.4935148,83,,6242
1.4010709524154663,,800.0,128.3543386,,,1779711882.432234,84,,6242
1.4120080471038818,,810.0,129.3128567,,,1779711883.3908768,85,,6242
