_runtime,val/loss,train/loss,train/step_loss,iter,_step,_timestamp,Sample Generation,lr,seed
25.7656362,4.245866298675537,4.249261379241943,,0.0,0,1779643389.487496,,9.900990099009901e-06,3740
26.0016287,,,4.250704765319824,0.0,1,1779643389.7235193,,,3740
28.1222912,,,3.0982131958007812,10.0,2,1779643391.8434286,,,3740
30.2441784,,,2.745481014251709,20.0,3,1779643393.9659333,,,3740
32.3702696,,,2.6106326580047607,30.0,4,1779643396.0920854,,,3740
34.4996065,,,2.545959949493408,40.0,5,1779643398.2209709,,,3740
36.6157765,,,2.5294148921966553,50.0,6,1779643400.3374603,,,3740
38.7350752,,,2.4953458309173584,60.0,7,1779643402.4568892,,,3740
40.8650646,,,2.506500005722046,70.0,8,1779643404.5858636,,,3740
42.9894977,,,2.4944021701812744,80.0,9,1779643406.711312,,,3740
45.1300575,,,2.459113121032715,90.0,10,1779643408.851869,,,3740
47.250227,,,2.460580825805664,100.0,11,1779643410.9720385,,,3740
49.3836388,,,2.466452121734619,110.0,12,1779643413.1054523,,,3740
51.5380977,,,2.4664793014526367,120.0,13,1779643415.2599125,,,3740
53.6773265,,,2.4428751468658447,130.0,14,1779643417.3989527,,,3740
55.8112534,,,2.428117036819458,140.0,15,1779643419.5327175,,,3740
57.9671773,,,2.442821979522705,150.0,16,1779643421.6889918,,,3740
60.0999352,,,2.4277408123016357,160.0,17,1779643423.821205,,,3740
62.2284236,,,2.4126574993133545,170.0,18,1779643425.9502373,,,3740
64.3872421,,,2.4110183715820312,180.0,19,1779643428.1090517,,,3740
66.5411777,,,2.38499116897583,190.0,20,1779643430.262992,,,3740
68.6846797,,,2.362252950668335,200.0,21,1779643432.4061453,,,3740
70.815851,,,2.341559886932373,210.0,22,1779643434.5371451,,,3740
72.9696817,,,2.308945417404175,220.0,23,1779643436.690949,,,3740
75.1292795,,,2.2990994453430176,230.0,24,1779643438.8510947,,,3740
77.2876833,,,2.2741310596466064,240.0,25,1779643441.0094109,,,3740
104.8876761,2.2776970863342285,2.2023138999938965,,250.0,26,1779643468.6094906,,0.0009979206008271391,3740
105.1168621,,,2.2611913681030273,250.0,27,1779643468.8384361,,,3740
107.2557936,,,2.2599363327026367,260.0,28,1779643470.9770086,,,3740
109.397561,,,2.2075369358062744,270.0,29,1779643473.1193748,,,3740
111.5457056,,,2.156827688217163,280.0,30,1779643475.2667406,,,3740
113.6859054,,,2.1476235389709473,290.0,31,1779643477.4077206,,,3740
