Sample Generation,lr,iter,train/loss,train/step_loss,_runtime,val/loss,_timestamp,_step,seed
,9.900990099009901e-06,0.0,4.309891223907471,,12.1546888,4.303994178771973,1779705757.7317252,0,6242
,,0.0,,4.304779052734375,12.255263,,1779705757.8328044,1,6242
,,10.0,,3.12062931060791,13.1642876,,1779705758.7409856,2,6242
,,20.0,,2.7603986263275146,14.1186403,,1779705759.6961818,3,6242
,,30.0,,2.61938214302063,15.0318529,,1779705760.6088119,4,6242
,,40.0,,2.5463857650756836,15.9505154,,1779705761.5280569,5,6242
,,50.0,,2.528428316116333,16.8879037,,1779705762.4647126,6,6242
,,60.0,,2.4955148696899414,17.8419338,,1779705763.4189694,7,6242
,,70.0,,2.488920211791992,18.7688296,,1779705764.345658,8,6242
,,80.0,,2.4835193157196045,19.7004397,,1779705765.2774749,9,6242
,,90.0,,2.4805333614349365,20.608613,,1779705766.185649,10,6242
,,100.0,,2.482762098312378,21.4968691,,1779705767.0739043,11,6242
,,110.0,,2.464442729949951,22.3824293,,1779705767.9591835,12,6242
,,120.0,,2.454766035079956,23.2894713,,1779705768.865697,13,6242
,,130.0,,2.4285829067230225,24.1856736,,1779705769.7623522,14,6242
,,140.0,,2.4191529750823975,25.076005,,1779705770.6530368,15,6242
,,150.0,,2.417947292327881,25.9677011,,1779705771.5447366,16,6242
,,160.0,,2.366567611694336,26.8601763,,1779705772.4372108,17,6242
,,170.0,,2.353623867034912,27.769466,,1779705773.3465014,18,6242
,,180.0,,2.3621199131011963,28.6871483,,1779705774.264186,19,6242
,,190.0,,2.2983033657073975,29.5730278,,1779705775.1500616,20,6242
,,200.0,,2.2296786308288574,30.458605,,1779705776.0356398,21,6242
,,210.0,,2.2341291904449463,31.3426903,,1779705776.9187613,22,6242
,,220.0,,2.1859960556030273,32.2355449,,1779705777.8125758,23,6242
,,230.0,,2.167194128036499,33.1242385,,1779705778.70078,24,6242
,,240.0,,2.1321828365325928,34.0093392,,1779705779.5860894,25,6242
,0.0009979206008271391,250.0,2.0304954051971436,,46.7886473,2.1292810440063477,1779705792.3652167,26,6242
,,250.0,,2.1057820320129395,46.9001699,,1779705792.4772036,27,6242
,,260.0,,2.065204381942749,47.8675142,,1779705793.4445484,28,6242
,,270.0,,2.042219638824463,48.7512778,,1779705794.3280678,29,6242
,,280.0,,1.9855737686157227,49.6392416,,1779705795.2160566,30,6242
,,290.0,,2.0058813095092773,50.5284574,,1779705796.1052794,31,6242
,,300.0,,1.9519375562667847,51.4160303,,1779705796.9930637,32,6242
,,310.0,,1.8778082132339478,52.3000406,,1779705797.8770764,33,6242
,,320.0,,1.9088791608810425,53.1813507,,1779705798.7583854,34,6242
,,330.0,,1.856508493423462,54.0681325,,1779705799.6451688,35,6242
,,340.0,,1.8659387826919556,54.9620537,,1779705800.5384357,36,6242
,,350.0,,1.8128619194030762,55.8477438,,1779705801.4245894,37,6242
,,360.0,,1.8166260719299316,56.7286797,,1779705802.3057175,38,6242
,,370.0,,1.805174469947815,57.6179169,,1779705803.1949525,39,6242
,,380.0,,1.7726472616195679,58.5500023,,1779705804.1262646,40,6242
,,390.0,,1.7884577512741089,59.4454025,,1779705805.0214775,41,6242
,,400.0,,1.731734037399292,60.3328172,,1779705805.9092054,42,6242
,,410.0,,1.7257578372955322,61.2122779,,1779705806.7893128,43,6242
,,420.0,,1.7260825634002686,62.1155755,,1779705807.6924882,44,6242
,,430.0,,1.6934624910354614,63.0227798,,1779705808.5987606,45,6242
,,440.0,,1.687944769859314,63.9504769,,1779705809.527509,46,6242
,,450.0,,1.6497187614440918,64.8438576,,1779705810.4207754,47,6242
,,460.0,,1.6814167499542236,65.7288184,,1779705811.3058534,48,6242
,,470.0,,1.6483078002929688,66.6145092,,1779705812.1915438,49,6242
,,480.0,,1.675178050994873,67.5054899,,1779705813.082388,50,6242
,,490.0,,1.6082772016525269,68.4109939,,1779705813.987976,51,6242
,0.0009852826883675631,500.0,1.5417256355285645,,81.262783,1.7303396463394165,1779705826.839621,52,6242
,,500.0,,1.6453320980072021,81.3546702,,1779705826.9322116,53,6242
,,510.0,,1.6009697914123535,82.2381703,,1779705827.8149304,54,6242
,,520.0,,1.617875337600708,83.1369362,,1779705828.7132645,55,6242
,,530.0,,1.5503520965576172,84.0289119,,1779705829.6058857,56,6242
,,540.0,,1.593620777130127,84.9134301,,1779705830.4904642,57,6242
,,550.0,,1.538108229637146,85.7964293,,1779705831.3733668,58,6242
,,560.0,,1.5538568496704102,86.6838651,,1779705832.260745,59,6242
,,570.0,,1.504312515258789,87.5702934,,1779705833.14728,60,6242
,,580.0,,1.5569137334823608,88.4574158,,1779705834.0339315,61,6242
,,590.0,,1.5351582765579224,89.342715,,1779705834.9197493,62,6242
,,600.0,,1.4989010095596313,90.2293358,,1779705835.8063602,63,6242
,,610.0,,1.4910786151885986,91.1117468,,1779705836.6887524,64,6242
,,620.0,,1.5002559423446655,91.9969909,,1779705837.5738058,65,6242
,,630.0,,1.4801437854766846,92.886014,,1779705838.4625344,66,6242
,,640.0,,1.504931092262268,93.7708912,,1779705839.347223,67,6242
,,650.0,,1.5020233392715454,94.6623925,,1779705840.239426,68,6242
,,660.0,,1.4704586267471313,95.5472966,,1779705841.1242106,69,6242
,,670.0,,1.4792249202728271,96.4364493,,1779705842.0133796,70,6242
,,680.0,,1.472044587135315,97.3273681,,1779705842.904402,71,6242
,,690.0,,1.4525703191757202,98.2127689,,1779705843.78919,72,6242
,,700.0,,1.4518451690673828,99.1400942,,1779705844.717102,73,6242
,,710.0,,1.4443693161010742,100.0325805,,1779705845.6091459,74,6242
,,720.0,,1.4473788738250732,100.9313322,,1779705846.5083642,75,6242
,,730.0,,1.4581745862960815,101.8203352,,1779705847.3978765,76,6242
,,740.0,,1.412277102470398,102.7051578,,1779705848.2821934,77,6242
,0.0009614856803571157,750.0,1.3613907098770142,,115.2447781,1.5760263204574585,1779705860.8218675,78,6242
,,750.0,,1.4517027139663696,115.3391091,,1779705860.9161415,79,6242
,,760.0,,1.4467766284942627,116.2289678,,1779705861.8059237,80,6242
,,770.0,,1.4145175218582153,117.1385595,,1779705862.7155952,81,6242
,,780.0,,1.4107176065444946,118.0492735,,1779705863.6262648,82,6242
,,790.0,,1.3827226161956787,118.9336062,,1779705864.5097308,83,6242
,,800.0,,1.411292314529419,119.8327077,,1779705865.409742,84,6242
,,810.0,,1.4161407947540283,120.7549066,,1779705866.331654,85,6242
,,820.0,,1.4340981245040894,121.6686569,,1779705867.2450225,86,6242
,,830.0,,1.3883227109909058,122.5728914,,1779705868.1499276,87,6242
,,840.0,,1.3792537450790405,123.4791066,,1779705869.055947,88,6242
,,850.0,,1.3443286418914795,124.3769088,,1779705869.95394,89,6242
,,860.0,,1.3714951276779175,125.2899731,,1779705870.8670092,90,6242
,,870.0,,1.3636417388916016,126.2267078,,1779705871.803743,91,6242
,,880.0,,1.3821455240249634,127.1232181,,1779705872.7002525,92,6242
,,890.0,,1.366529941558838,128.0088115,,1779705873.5856955,93,6242
,,900.0,,1.3608790636062622,128.8932007,,1779705874.4702373,94,6242
