iter,_step,Sample Generation,lr,_runtime,train/step_loss,val/loss,_timestamp,train/loss,seed
0.0,0,,9.900990099009901e-06,11.8123139,,4.252955913543701,1779628176.2735038,4.254281997680664,3242
0.0,1,,,11.9130046,4.25850772857666,,1779628176.3749447,,3242
10.0,2,,,12.7606487,3.4157681465148926,,1779628177.2226968,,3242
20.0,3,,,13.6073511,3.3389840126037598,,1779628178.0694015,,3242
30.0,4,,,14.4541175,3.3231053352355957,,1779628178.9155667,,3242
40.0,5,,,15.3034439,3.308804512023926,,1779628179.7652218,,3242
50.0,6,,,16.1548979,3.3283910751342773,,1779628180.6166732,,3242
60.0,7,,,17.0012823,3.3306283950805664,,1779628181.463318,,3242
70.0,8,,,17.8479276,3.2865405082702637,,1779628182.310485,,3242
80.0,9,,,18.6949824,3.3119068145751953,,1779628183.1567795,,3242
90.0,10,,,19.5426088,3.303147315979004,,1779628184.004548,,3242
100.0,11,,,20.3952737,3.315763473510742,,1779628184.8562634,,3242
110.0,12,,,21.2462045,3.321338653564453,,1779628185.7082548,,3242
120.0,13,,,22.0972427,3.3060126304626465,,1779628186.5590942,,3242
130.0,14,,,22.9551255,3.315080165863037,,1779628187.417122,,3242
140.0,15,,,23.8075675,3.3181910514831543,,1779628188.2694812,,3242
150.0,16,,,24.6684194,3.283482551574707,,1779628189.1301482,,3242
160.0,17,,,25.5208216,3.2918715476989746,,1779628189.9818645,,3242
170.0,18,,,26.3848307,3.305576801300049,,1779628190.8468833,,3242
180.0,19,,,27.2388196,3.314724922180176,,1779628191.700584,,3242
190.0,20,,,28.0987095,3.34114933013916,,1779628192.5605018,,3242
200.0,21,,,28.9592773,3.2844157218933105,,1779628193.421325,,3242
210.0,22,,,29.8214233,3.3251771926879883,,1779628194.2834725,,3242
220.0,23,,,30.6905175,3.3222126960754395,,1779628195.1523538,,3242
230.0,24,,,31.5534992,3.3183374404907227,,1779628196.0152068,,3242
240.0,25,,,32.4280769,3.2728867530822754,,1779628196.8897624,,3242
250.0,26,,0.0009979206008271391,44.5290384,,3.3569910526275635,1779628208.990031,3.31673526763916,3242
250.0,27,,,44.6176249,3.3259496688842773,,1779628209.0796752,,3242
260.0,28,,,45.482221,3.302717685699463,,1779628209.9442434,,3242
270.0,29,,,46.3617772,3.2999191284179688,,1779628210.8238273,,3242
280.0,30,,,47.2416401,3.3222765922546387,,1779628211.7032628,,3242
290.0,31,,,48.1346481,3.288268566131592,,1779628212.5958943,,3242
300.0,32,,,49.0159944,3.3045501708984375,,1779628213.4774742,,3242
310.0,33,,,49.8978911,3.30263090133667,,1779628214.3593166,,3242
320.0,34,,,50.7964393,3.3472204208374023,,1779628215.2584908,,3242
330.0,35,,,51.6780518,3.3126978874206543,,1779628216.1401033,,3242
340.0,36,,,52.5518995,3.3146371841430664,,1779628217.0138426,,3242
350.0,37,,,53.4426165,3.299424171447754,,1779628217.9046664,,3242
360.0,38,,,54.3205958,3.303041934967041,,1779628218.7824275,,3242
370.0,39,,,55.20239,3.3099985122680664,,1779628219.6642702,,3242
380.0,40,,,56.0864489,3.2939376831054688,,1779628220.548243,,3242
390.0,41,,,56.9374596,3.2813773155212402,,1779628221.3995109,,3242
400.0,42,,,57.7657053,3.3400235176086426,,1779628222.2275145,,3242
410.0,43,,,58.5848673,3.323563575744629,,1779628223.0469203,,3242
420.0,44,,,59.4010563,3.32625675201416,,1779628223.8630059,,3242
430.0,45,,,60.2226829,3.2928051948547363,,1779628224.6837184,,3242
440.0,46,,,61.0511695,3.3296236991882324,,1779628225.5129883,,3242
450.0,47,,,61.8780686,3.3454785346984863,,1779628226.3401163,,3242
460.0,48,,,62.7136932,3.302964210510254,,1779628227.175747,,3242
470.0,49,,,63.5360075,3.288264751434326,,1779628227.9980602,,3242
480.0,50,,,64.364346,3.3013410568237305,,1779628228.8257096,,3242
490.0,51,,,65.1881665,3.3061327934265137,,1779628229.6496122,,3242
500.0,52,,0.0009852826883675631,76.6747696,,3.357835054397583,1779628241.1363332,3.3164126873016357,3242
500.0,53,,,76.7612306,3.304511547088623,,1779628241.2232637,,3242
510.0,54,,,77.5846499,3.304391860961914,,1779628242.046725,,3242
520.0,55,,,78.4103502,3.317845344543457,,1779628242.8724,,3242
530.0,56,,,79.2293659,3.306489944458008,,1779628243.691417,,3242
540.0,57,,,80.0518512,3.316039562225342,,1779628244.5138655,,3242
550.0,58,,,80.8703017,3.315434455871582,,1779628245.332354,,3242
560.0,59,,,81.6889238,3.340879440307617,,1779628246.1504786,,3242
570.0,60,,,82.5094928,3.3147711753845215,,1779628246.971499,,3242
580.0,61,,,83.3822406,3.345865249633789,,1779628247.8442569,,3242
590.0,62,,,84.2583895,3.324927806854248,,1779628248.72044,,3242
600.0,63,,,85.1391013,3.3325672149658203,,1779628249.601151,,3242
610.0,64,,,86.0154139,3.304708480834961,,1779628250.476419,,3242
620.0,65,,,86.8985875,3.3266892433166504,,1779628251.36064,,3242
630.0,66,,,87.7906769,3.2867631912231445,,1779628252.2527285,,3242
640.0,67,,,88.6732282,3.3051438331604004,,1779628253.1345308,,3242
650.0,68,,,89.555447,3.3068947792053223,,1779628254.017117,,3242
660.0,69,,,90.437303,3.301302433013916,,1779628254.8990552,,3242
670.0,70,,,91.305926,3.306741714477539,,1779628255.7668622,,3242
680.0,71,,,92.1786659,3.295058250427246,,1779628256.6399157,,3242
690.0,72,,,93.053538,3.3255128860473633,,1779628257.515588,,3242
700.0,73,,,93.9293966,3.3219971656799316,,1779628258.3909867,,3242
710.0,74,,,94.7760617,3.327821731567383,,1779628259.2381136,,3242
720.0,75,,,95.6071101,3.3306884765625,,1779628260.0691605,,3242
730.0,76,,,96.4352934,3.3037118911743164,,1779628260.8972514,,3242
740.0,77,,,97.2528101,3.34169340133667,,1779628261.7146974,,3242
750.0,78,,0.0009614856803571157,109.2279054,,3.356119155883789,1779628273.6900525,3.31453275680542,3242
750.0,79,,,109.3193548,3.3041181564331055,,1779628273.7807639,,3242
