iter,_step,val/loss,_timestamp,train/loss,train/step_loss,_runtime,Sample Generation,lr,seed
0.0,0,5.586462020874023,1779710296.667472,5.601643085479736,,12.0854632,,9.900990099009901e-06,6242
0.0,1,,1779710296.771498,,5.186758995056152,12.189307,,,6242
10.0,2,,1779710297.6542785,,4.28247594833374,13.0720872,,,6242
20.0,3,,1779710298.5342262,,3.34185791015625,13.952036,,,6242
30.0,4,,1779710299.4168673,,3.2808690071105957,14.8351766,,,6242
40.0,5,,1779710300.2989333,,3.3210277557373047,15.7168519,,,6242
50.0,6,,1779710301.1808257,,3.294372081756592,16.5991287,,,6242
60.0,7,,1779710302.0653396,,2.802802562713623,17.4831518,,,6242
70.0,8,,1779710302.945357,,2.634181261062622,18.3641891,,,6242
80.0,9,,1779710303.8278735,,2.5754213333129883,19.2461594,,,6242
90.0,10,,1779710304.7100797,,2.5391759872436523,20.1278914,,,6242
100.0,11,,1779710305.5937614,,2.5330841541290283,21.0115758,,,6242
110.0,12,,1779710306.4729598,,2.5046186447143555,21.8914967,,,6242
120.0,13,,1779710307.3540428,,2.4886863231658936,22.7723637,,,6242
130.0,14,,1779710308.2344449,,2.4526734352111816,23.6527501,,,6242
140.0,15,,1779710309.1158755,,2.4539806842803955,24.5336853,,,6242
150.0,16,,1779710309.996297,,2.443274974822998,25.4141338,,,6242
160.0,17,,1779710310.8761652,,2.396766185760498,26.2943278,,,6242
170.0,18,,1779710311.7587578,,2.3595261573791504,27.1765669,,,6242
180.0,19,,1779710312.6395526,,2.3619368076324463,28.0573599,,,6242
190.0,20,,1779710313.5185506,,2.3520703315734863,28.9372085,,,6242
200.0,21,,1779710314.4003425,,2.2687180042266846,29.8181528,,,6242
210.0,22,,1779710315.277945,,2.2617833614349365,30.6965973,,,6242
220.0,23,,1779710316.16329,,2.222858428955078,31.5810991,,,6242
230.0,24,,1779710317.0426242,,2.213475465774536,32.460432,,,6242
240.0,25,,1779710317.9252858,,2.1895017623901367,33.343095,,,6242
250.0,26,2.153510093688965,1779710330.240221,2.079349994659424,,45.6590672,,0.0009979206008271391,6242
250.0,27,,1779710330.3337615,,2.168179988861084,45.7515698,,,6242
260.0,28,,1779710331.213828,,2.128188371658325,46.6316381,,,6242
270.0,29,,1779710332.0962045,,2.122371196746826,47.5148775,,,6242
280.0,30,,1779710332.977282,,2.0752570629119873,48.3956286,,,6242
290.0,31,,1779710333.8585174,,2.0748486518859863,49.2773318,,,6242
300.0,32,,1779710334.738818,,2.0230491161346436,50.1574988,,,6242
310.0,33,,1779710335.6221645,,1.9618178606033325,51.0406544,,,6242
320.0,34,,1779710336.5051022,,1.976722240447998,51.9235254,,,6242
330.0,35,,1779710337.388742,,1.9317553043365479,52.8065516,,,6242
340.0,36,,1779710338.2693384,,1.9383611679077148,53.6871479,,,6242
350.0,37,,1779710339.1516013,,1.879103183746338,54.5694783,,,6242
360.0,38,,1779710340.0338316,,1.8944486379623413,55.4524586,,,6242
370.0,39,,1779710340.9166238,,1.8749221563339233,56.3339269,,,6242
380.0,40,,1779710341.7990952,,1.8362882137298584,57.2174082,,,6242
