lr,iter,_step,_timestamp,train/loss,Sample Generation,train/step_loss,val/loss,_runtime,seed
9.900990099009901e-06,0.0,0,1779622281.520414,4.243783950805664,,,4.242776393890381,14.1443067,3242
,0.0,1,1779622281.659038,,,4.240406036376953,,14.2825187,3242
,10.0,2,1779622282.8669643,,,3.151271104812622,,15.4911733,3242
,20.0,3,1779622284.0440102,,,2.775055170059204,,16.6677025,3242
,30.0,4,1779622285.2183025,,,2.6156859397888184,,17.8417027,3242
,40.0,5,1779622286.4014623,,,2.5593225955963135,,19.0248632,3242
,50.0,6,1779622287.566214,,,2.5369014739990234,,20.190174,3242
,60.0,7,1779622288.72608,,,2.491816520690918,,21.3494826,3242
,70.0,8,1779622289.8841436,,,2.4943222999572754,,22.5081113,3242
,80.0,9,1779622291.047256,,,2.484320640563965,,23.6707696,3242
,90.0,10,1779622292.2078187,,,2.488405227661133,,24.8314091,3242
,100.0,11,1779622293.371911,,,2.4639289379119873,,25.9953688,3242
,110.0,12,1779622294.5373554,,,2.4624431133270264,,27.1607932,3242
,120.0,13,1779622295.6963081,,,2.4533581733703613,,28.320668,3242
,130.0,14,1779622296.855623,,,2.4363601207733154,,29.4790223,3242
,140.0,15,1779622298.018352,,,2.404550313949585,,30.6420341,3242
,150.0,16,1779622299.1788576,,,2.3829660415649414,,31.8025552,3242
,160.0,17,1779622300.3390558,,,2.396179437637329,,32.962543,3242
,170.0,18,1779622301.5047853,,,2.361778736114502,,34.1290595,3242
,180.0,19,1779622302.6666617,,,2.3251242637634277,,35.2906048,3242
,190.0,20,1779622303.8287945,,,2.282839298248291,,36.4526686,3242
,200.0,21,1779622304.9897094,,,2.2599167823791504,,37.6137567,3242
,210.0,22,1779622306.1515505,,,2.235654830932617,,38.7755293,3242
,220.0,23,1779622307.3112192,,,2.214383125305176,,39.9353597,3242
,230.0,24,1779622308.47455,,,2.1687064170837402,,41.097949,3242
,240.0,25,1779622309.6319659,,,2.1328670978546143,,42.2553646,3242
0.0009979206008271391,250.0,26,1779622324.0477152,2.024090528488159,,,2.1226043701171875,56.6711399,3242
,250.0,27,1779622324.1690025,,,2.0924694538116455,,56.7924011,3242
,260.0,28,1779622325.3278801,,,2.0596559047698975,,57.9520875,3242
,270.0,29,1779622326.493981,,,2.0279412269592285,,59.1173819,3242
,280.0,30,1779622327.6561656,,,1.9825130701065063,,60.2795641,3242
,290.0,31,1779622328.80934,,,1.989964246749878,,61.4328231,3242
,300.0,32,1779622329.9533074,,,1.9725080728530884,,62.5771027,3242
,310.0,33,1779622331.101591,,,1.9114574193954468,,63.7251227,3242
,320.0,34,1779622332.2471333,,,1.86726713180542,,64.870568,3242
,330.0,35,1779622333.3934402,,,1.8640236854553223,,66.0177832,3242
,340.0,36,1779622334.5417309,,,1.8629258871078491,,67.1651387,3242
,350.0,37,1779622335.686235,,,1.831162452697754,,68.3101373,3242
,360.0,38,1779622336.8326044,,,1.8284285068511963,,69.456612,3242
,370.0,39,1779622337.977394,,,1.781442403793335,,70.6013691,3242
,380.0,40,1779622339.1226764,,,1.7577996253967285,,71.7460749,3242
,390.0,41,1779622340.267179,,,1.7912962436676025,,72.8905793,3242
,400.0,42,1779622341.4114394,,,1.7336503267288208,,74.0350172,3242
,410.0,43,1779622342.555023,,,1.7167478799819946,,75.1784455,3242
,420.0,44,1779622343.700932,,,1.6940867900848389,,76.3255881,3242
,430.0,45,1779622344.845324,,,1.7043068408966064,,77.4697117,3242
,440.0,46,1779622345.9899244,,,1.6504802703857422,,78.6133244,3242
,450.0,47,1779622347.136758,,,1.6487138271331787,,79.7601583,3242
,460.0,48,1779622348.2815163,,,1.6743820905685425,,80.9054829,3242
,470.0,49,1779622349.427343,,,1.666823148727417,,82.0510355,3242
,480.0,50,1779622350.5746715,,,1.6609519720077515,,83.1980712,3242
,490.0,51,1779622351.7198431,,,1.6454050540924072,,84.3433755,3242
0.0009852826883675631,500.0,52,1779622366.1217782,1.532557725906372,,,1.735011339187622,98.7462127,3242
,500.0,53,1779622366.2411294,,,1.5878711938858032,,98.8654299,3242
,510.0,54,1779622367.3867161,,,1.6153035163879395,,100.0101148,3242
,520.0,55,1779622368.532365,,,1.5902312994003296,,101.1557632,3242
,530.0,56,1779622369.6784286,,,1.5808337926864624,,102.3021222,3242
,540.0,57,1779622370.8236253,,,1.5710996389389038,,103.4470243,3242
,550.0,58,1779622371.9680543,,,1.5804154872894287,,104.5914543,3242
,560.0,59,1779622373.1165142,,,1.5206595659255981,,105.7400558,3242
,570.0,60,1779622374.2611957,,,1.5311416387557983,,106.8852147,3242
,580.0,61,1779622375.4070396,,,1.5205796957015991,,108.0319065,3242
,590.0,62,1779622376.556317,,,1.545723795890808,,109.1797475,3242
,600.0,63,1779622377.7006903,,,1.50605046749115,,110.3249828,3242
,610.0,64,1779622378.847289,,,1.5274940729141235,,111.4717627,3242
,620.0,65,1779622379.9911883,,,1.4683105945587158,,112.6145878,3242
,630.0,66,1779622381.1333637,,,1.5073001384735107,,113.7567925,3242
,640.0,67,1779622382.2773318,,,1.4754914045333862,,114.9014829,3242
,650.0,68,1779622383.4212244,,,1.4942536354064941,,116.0447376,3242
,660.0,69,1779622384.5622022,,,1.4648202657699585,,117.186242,3242
,670.0,70,1779622385.703813,,,1.4601154327392578,,118.3283118,3242
,680.0,71,1779622386.8486867,,,1.4774190187454224,,119.4729481,3242
,690.0,72,1779622387.9917102,,,1.4584027528762817,,120.6160376,3242
,700.0,73,1779622389.1313667,,,1.480810284614563,,121.755348,3242
,710.0,74,1779622390.273258,,,1.4519531726837158,,122.8969775,3242
,720.0,75,1779622391.4143076,,,1.4188066720962524,,124.038103,3242
,730.0,76,1779622392.5557444,,,1.4480849504470825,,125.1800086,3242
,740.0,77,1779622393.6953208,,,1.4322477579116821,,126.3197971,3242
0.0009614856803571157,750.0,78,1779622408.0483654,1.354430079460144,,,1.5887774229049683,140.6722659,3242
,750.0,79,1779622408.1694946,,,1.4574971199035645,,140.7937124,3242
,760.0,80,1779622409.310739,,,1.4166314601898193,,141.9359775,3242
,770.0,81,1779622410.4560595,,,1.4097578525543213,,143.0795799,3242
,780.0,82,1779622411.604155,,,1.3915022611618042,,144.2286576,3242
