Sample Generation,_runtime,_timestamp,iter,val/loss,train/loss,train/step_loss,lr,_step,seed
,12.7740333,1779633068.8041024,0.0,4.175519943237305,4.1739020347595215,,9.900990099009901e-06,0,3740
,12.8806751,1779633068.9107292,0.0,,,4.19041633605957,,1,3740
,13.7635513,1779633069.7941496,10.0,,,2.992638349533081,,2,3740
,14.6482995,1779633070.677953,20.0,,,2.6760241985321045,,3,3740
,15.5433469,1779633071.5735383,30.0,,,2.572537899017334,,4,3740
,16.4231331,1779633072.453733,40.0,,,2.5445022583007812,,5,3740
,17.3058731,1779633073.3362591,50.0,,,2.4951963424682617,,6,3740
,18.1958042,1779633074.2261403,60.0,,,2.492932081222534,,7,3740
,19.0837328,1779633075.1137757,70.0,,,2.4963266849517822,,8,3740
,19.9667333,1779633075.9966836,80.0,,,2.4825997352600098,,9,3740
,20.8613866,1779633076.8913722,90.0,,,2.469186782836914,,10,3740
,21.7444205,1779633077.7750175,100.0,,,2.452131986618042,,11,3740
,22.6308275,1779633078.6606576,110.0,,,2.4572041034698486,,12,3740
,23.5204583,1779633079.5510557,120.0,,,2.452610731124878,,13,3740
,24.4088456,1779633080.4394426,130.0,,,2.4354588985443115,,14,3740
,25.3047941,1779633081.335393,140.0,,,2.4143073558807373,,15,3740
,26.1923191,1779633082.2229161,150.0,,,2.4135220050811768,,16,3740
,27.0757555,1779633083.1063323,160.0,,,2.4261608123779297,,17,3740
,27.9812184,1779633084.0116768,170.0,,,2.4014105796813965,,18,3740
,28.8728767,1779633084.9034278,180.0,,,2.3665077686309814,,19,3740
,29.7666832,1779633085.797281,190.0,,,2.407139778137207,,20,3740
,30.6534926,1779633086.6840901,200.0,,,2.3851726055145264,,21,3740
,31.5482953,1779633087.5777907,210.0,,,2.346151351928711,,22,3740
,32.4495003,1779633088.479088,220.0,,,2.3589649200439453,,23,3740
,33.3511047,1779633089.3811095,230.0,,,2.360755205154419,,24,3740
,34.2399715,1779633090.270205,240.0,,,2.3158397674560547,,25,3740
,47.0499737,1779633103.0797102,250.0,2.3471176624298096,2.281454563140869,,0.0009979206008271391,26,3740
,47.1464116,1779633103.1766577,250.0,,,2.3328940868377686,,27,3740
,48.0475714,1779633104.0781596,260.0,,,2.322899103164673,,28,3740
,48.9465597,1779633104.976058,270.0,,,2.3234519958496094,,29,3740
,49.851144,1779633105.8805263,280.0,,,2.3005919456481934,,30,3740
,50.7429519,1779633106.772989,290.0,,,2.2861711978912354,,31,3740
,51.6384463,1779633107.6690443,300.0,,,2.2872979640960693,,32,3740
,52.5328176,1779633108.5625098,310.0,,,2.2584128379821777,,33,3740
,53.4390062,1779633109.4693084,320.0,,,2.2111661434173584,,34,3740
,54.3481663,1779633110.3782322,330.0,,,2.2132210731506348,,35,3740
,55.2441954,1779633111.2735267,340.0,,,2.2098209857940674,,36,3740
,56.1352665,1779633112.1651545,350.0,,,2.184771776199341,,37,3740
,57.0272636,1779633113.0570238,360.0,,,2.160414457321167,,38,3740
,57.9183158,1779633113.9487395,370.0,,,2.134140729904175,,39,3740
,58.8189772,1779633114.8492374,380.0,,,2.107985019683838,,40,3740
,59.7102092,1779633115.7408066,390.0,,,2.061377763748169,,41,3740
,60.6077514,1779633116.6383493,400.0,,,2.0727787017822266,,42,3740
,61.506628,1779633117.536906,410.0,,,2.06076717376709,,43,3740
,62.4110862,1779633118.441586,420.0,,,2.048593521118164,,44,3740
,63.3072118,1779633119.3378105,430.0,,,2.035325288772583,,45,3740
,64.20171,1779633120.2312782,440.0,,,2.007169485092163,,46,3740
,65.0953818,1779633121.1249385,450.0,,,2.0053091049194336,,47,3740
,65.9950878,1779633122.0250328,460.0,,,1.9917840957641602,,48,3740
