train/step_loss,Sample Generation,iter,_step,_runtime,train/loss,lr,val/loss,_timestamp,seed
,,0.0,0,11.9348016,4.192312240600586,9.900990099009901e-06,4.185206413269043,1779619449.3766377,3242
4.194609642028809,,0.0,1,12.0351138,,,,1779619449.4770048,3242
3.0528006553649902,,10.0,2,12.8633319,,,,1779619450.3052435,3242
2.6709136962890625,,20.0,3,13.6968102,,,,1779619451.1384542,3242
2.59228515625,,30.0,4,14.5431323,,,,1779619451.9845278,3242
2.547534465789795,,40.0,5,15.3736676,,,,1779619452.8154933,3242
2.4886393547058105,,50.0,6,16.2149264,,,,1779619453.6558063,3242
2.477466106414795,,60.0,7,17.043066,,,,1779619454.4849486,3242
2.4888713359832764,,70.0,8,17.8799893,,,,1779619455.3218098,3242
2.470515012741089,,80.0,9,18.7142889,,,,1779619456.1557577,3242
2.4821088314056396,,90.0,10,19.5450166,,,,1779619456.9869092,3242
2.460456132888794,,100.0,11,20.3746465,,,,1779619457.8160186,3242
2.4659509658813477,,110.0,12,21.2185384,,,,1779619458.6604514,3242
2.4602372646331787,,120.0,13,22.0484249,,,,1779619459.4898999,3242
2.441537380218506,,130.0,14,22.8832788,,,,1779619460.325189,3242
2.4077441692352295,,140.0,15,23.7184418,,,,1779619461.1603494,3242
2.4200921058654785,,150.0,16,24.5545706,,,,1779619461.9956317,3242
2.4073572158813477,,160.0,17,25.3896874,,,,1779619462.830856,3242
2.405881404876709,,170.0,18,26.2254492,,,,1779619463.6665492,3242
2.407477378845215,,180.0,19,27.0621211,,,,1779619464.5040326,3242
2.377101182937622,,190.0,20,27.8990601,,,,1779619465.3409705,3242
2.3942389488220215,,200.0,21,28.7291545,,,,1779619466.1700604,3242
2.389258861541748,,210.0,22,29.5692648,,,,1779619467.0104344,3242
2.3758277893066406,,220.0,23,30.3971649,,,,1779619467.8390741,3242
2.3490850925445557,,230.0,24,31.2317252,,,,1779619468.6727133,3242
2.3597145080566406,,240.0,25,32.0651356,,,,1779619469.5066679,3242
,,250.0,26,43.8561569,2.2867391109466553,0.0009979206008271391,2.3580944538116455,1779619481.297906,3242
2.364454984664917,,250.0,27,43.9423689,,,,1779619481.3842719,3242
2.3231797218322754,,260.0,28,44.7743282,,,,1779619482.215966,3242
2.2934210300445557,,270.0,29,45.601509,,,,1779619483.043421,3242
2.31522274017334,,280.0,30,46.4345014,,,,1779619483.8755734,3242
2.261453866958618,,290.0,31,47.2680494,,,,1779619484.7090752,3242
2.280869245529175,,300.0,32,48.1008503,,,,1779619485.5427587,3242
2.2483696937561035,,310.0,33,48.9375018,,,,1779619486.3790505,3242
2.238560438156128,,320.0,34,49.77085,,,,1779619487.2127593,3242
2.3078877925872803,,330.0,35,50.6019687,,,,1779619488.0428672,3242
2.2079081535339355,,340.0,36,51.436921,,,,1779619488.8788211,3242
2.2096006870269775,,350.0,37,52.2704223,,,,1779619489.7120063,3242
2.148960590362549,,360.0,38,53.1051152,,,,1779619490.5470197,3242
2.129220724105835,,370.0,39,53.946485,,,,1779619491.3874028,3242
2.121682643890381,,380.0,40,54.776221,,,,1779619492.2181318,3242
2.1211254596710205,,390.0,41,55.6126452,,,,1779619493.0545566,3242
2.1122982501983643,,400.0,42,56.446339,,,,1779619493.8882499,3242
2.0414621829986572,,410.0,43,57.2792434,,,,1779619494.7211473,3242
2.022474527359009,,420.0,44,58.1223537,,,,1779619495.5635612,3242
2.0352604389190674,,430.0,45,58.9498355,,,,1779619496.391747,3242
