train/loss,lr,_step,val/loss,Sample Generation,iter,_runtime,_timestamp,train/step_loss,seed
4.25559139251709,9.900990099009901e-06,0,4.2544684410095215,,0.0,13.3410935,1779626661.1154394,,3242
,,1,,,0.0,13.4658899,1779626661.2408402,4.262378215789795,3242
,,2,,,10.0,14.4198851,1779626662.1945033,3.346212387084961,3242
,,3,,,20.0,15.3713471,1779626663.14607,2.9667773246765137,3242
,,4,,,30.0,16.3203981,1779626664.0951667,2.66157865524292,3242
,,5,,,40.0,17.2725477,1779626665.0469754,2.5536599159240723,3242
,,6,,,50.0,18.2258226,1779626666.000177,2.519132614135742,3242
,,7,,,60.0,19.1775817,1779626666.952466,2.4760665893554688,3242
,,8,,,70.0,20.1309949,1779626667.905816,2.4671030044555664,3242
,,9,,,80.0,21.0848374,1779626668.8594017,2.4619202613830566,3242
,,10,,,90.0,22.0356815,1779626669.8111372,2.4270472526550293,3242
,,11,,,100.0,22.9870163,1779626670.7619677,2.4552433490753174,3242
,,12,,,110.0,23.9426598,1779626671.7173178,2.4249515533447266,3242
,,13,,,120.0,24.8930787,1779626672.6680284,2.406001091003418,3242
,,14,,,130.0,25.8440556,1779626673.618796,2.374939203262329,3242
,,15,,,140.0,26.7953925,1779626674.5703406,2.347240924835205,3242
,,16,,,150.0,27.7458719,1779626675.52082,2.3353593349456787,3242
,,17,,,160.0,28.695736,1779626676.470686,2.3337745666503906,3242
,,18,,,170.0,29.7327838,1779626677.507444,2.2813615798950195,3242
,,19,,,180.0,30.7107509,1779626678.4856997,2.237900733947754,3242
,,20,,,190.0,31.7630075,1779626679.537705,2.2059569358825684,3242
,,21,,,200.0,32.7268264,1779626680.5001874,2.1731817722320557,3242
,,22,,,210.0,33.6907124,1779626681.4656582,2.097989559173584,3242
,,23,,,220.0,34.6522233,1779626682.4268925,2.0726797580718994,3242
,,24,,,230.0,35.6159992,1779626683.3903227,2.0486655235290527,3242
,,25,,,240.0,36.6116798,1779626684.3862486,2.0025439262390137,3242
