_step,train/loss,lr,iter,val/loss,_timestamp,train/step_loss,Sample Generation,_runtime,seed
0,4.18174934387207,9.900990099009901e-06,0.0,4.182737827301025,1779634654.2386234,,,23.9065778,3740
1,,,0.0,,1779634654.418633,4.200589179992676,,24.0871278,3740
2,,,10.0,,1779634656.0516987,2.9775567054748535,,25.720159,3740
3,,,20.0,,1779634657.6857417,2.585747241973877,,27.3531742,3740
4,,,30.0,,1779634659.3201523,2.4377903938293457,,28.9881932,3740
5,,,40.0,,1779634660.9570367,2.3536765575408936,,30.6252237,3740
6,,,50.0,,1779634662.592294,2.251390218734741,,32.2597278,3740
7,,,60.0,,1779634664.2228196,2.2440547943115234,,33.8907729,3740
8,,,70.0,,1779634665.8578336,2.1845345497131348,,35.525264,3740
9,,,80.0,,1779634667.4908035,2.140714645385742,,37.1582645,3740
10,,,90.0,,1779634669.1240664,2.1085031032562256,,38.7921891,3740
11,,,100.0,,1779634670.7568038,2.0900440216064453,,40.424546,3740
12,,,110.0,,1779634672.388442,2.0351691246032715,,42.0558718,3740
13,,,120.0,,1779634674.0204334,2.00990629196167,,43.6895016,3740
14,,,130.0,,1779634675.6568782,1.9700714349746704,,45.3250575,3740
15,,,140.0,,1779634677.2911413,1.9411269426345825,,46.9593782,3740
16,,,150.0,,1779634678.9256465,1.9226484298706055,,48.5930811,3740
17,,,160.0,,1779634680.5559096,1.9054638147354126,,50.2240797,3740
18,,,170.0,,1779634682.1913245,1.8600094318389893,,51.8587544,3740
19,,,180.0,,1779634683.825653,1.80238938331604,,53.4931546,3740
20,,,190.0,,1779634685.4603353,1.8509166240692139,,55.1281246,3740
21,,,200.0,,1779634687.0935733,1.8076807260513306,,56.7610028,3740
22,,,210.0,,1779634688.728272,1.7549238204956055,,58.396635,3740
23,,,220.0,,1779634690.3583891,1.7469698190689087,,60.0258227,3740
24,,,230.0,,1779634691.992348,1.745824933052063,,61.659726,3740
25,,,240.0,,1779634693.6259913,1.7006558179855347,,63.2945009,3740
26,1.6059439182281494,0.0009979206008271391,250.0,1.7826658487319946,1779634718.2412624,,,87.9087087,3740
27,,,250.0,,1779634718.408659,1.7050995826721191,,88.0762516,3740
28,,,260.0,,1779634720.0397043,1.690071940422058,,89.7071336,3740
29,,,270.0,,1779634721.670784,1.6869369745254517,,91.3382152,3740
30,,,280.0,,1779634723.3009524,1.661205530166626,,92.9684013,3740
31,,,290.0,,1779634724.9302964,1.6568496227264404,,94.5978374,3740
32,,,300.0,,1779634726.5599153,1.6656262874603271,,96.2277838,3740
33,,,310.0,,1779634728.192033,1.6323212385177612,,97.8605319,3740
34,,,320.0,,1779634729.8238616,1.5995272397994995,,99.491293,3740
35,,,330.0,,1779634731.4557557,1.6216415166854858,,101.1242128,3740
36,,,340.0,,1779634733.0878544,1.601658821105957,,102.7558385,3740
37,,,350.0,,1779634734.7270021,1.5951738357543945,,104.3957719,3740
