iter,val/loss,_runtime,_timestamp,train/loss,train/step_loss,_step,Sample Generation,lr,seed
0.0,4.238262176513672,12.6198222,1779618759.0854251,4.239290237426758,,0,,9.900990099009901e-06,3242
0.0,,12.721521,1779618759.1869793,,4.237269401550293,1,,,3242
10.0,,13.6916836,1779618760.156661,,3.1508336067199707,2,,,3242
20.0,,14.6624454,1779618761.1279018,,2.7828571796417236,3,,,3242
30.0,,15.633256,1779618762.0987108,,2.615485906600952,4,,,3242
40.0,,16.6010791,1779618763.0660472,,2.5595502853393555,5,,,3242
50.0,,17.5687679,1779618764.0338814,,2.536773920059204,6,,,3242
60.0,,18.5364936,1779618765.0019515,,2.488844633102417,7,,,3242
70.0,,19.5352476,1779618766.0007045,,2.4939768314361572,8,,,3242
80.0,,20.539434,1779618767.0038943,,2.4863765239715576,9,,,3242
90.0,,21.55901,1779618768.02447,,2.4909255504608154,10,,,3242
100.0,,22.5310437,1779618768.996502,,2.4607667922973633,11,,,3242
110.0,,23.520898,1779618769.986107,,2.4676551818847656,12,,,3242
120.0,,24.5225428,1779618770.9879313,,2.456735134124756,13,,,3242
130.0,,25.5127392,1779618771.9781966,,2.4380877017974854,14,,,3242
140.0,,26.4781748,1779618772.9436355,,2.410989284515381,15,,,3242
150.0,,27.4187638,1779618773.8842227,,2.3898568153381348,16,,,3242
160.0,,28.4315529,1779618774.8970096,,2.3787803649902344,17,,,3242
170.0,,29.4112959,1779618775.8772602,,2.3654978275299072,18,,,3242
180.0,,30.3828614,1779618776.848192,,2.341662645339966,19,,,3242
190.0,,31.3539336,1779618777.8193135,,2.2878000736236572,20,,,3242
200.0,,32.3330468,1779618778.7985044,,2.276414394378662,21,,,3242
210.0,,33.3051748,1779618779.770613,,2.234959840774536,22,,,3242
220.0,,34.3177447,1779618780.7832036,,2.2243881225585938,23,,,3242
230.0,,35.293111,1779618781.7585697,,2.1745822429656982,24,,,3242
240.0,,36.2804034,1779618782.7458637,,2.149487018585205,25,,,3242
250.0,2.1311275959014893,49.0851985,1779618795.5503488,2.0332541465759277,,26,,0.0009979206008271391,3242
250.0,,49.1807313,1779618795.6466956,,2.1020960807800293,27,,,3242
260.0,,50.1064256,1779618796.5719745,,2.071558952331543,28,,,3242
270.0,,51.029051,1779618797.4950154,,2.0439696311950684,29,,,3242
280.0,,51.9563135,1779618798.4215791,,1.9878675937652588,30,,,3242
290.0,,52.883598,1779618799.3490582,,1.9992387294769287,31,,,3242
300.0,,53.8117992,1779618800.2769084,,1.9792332649230957,32,,,3242
310.0,,54.7434145,1779618801.2088735,,1.9190208911895752,33,,,3242
320.0,,55.7020878,1779618802.167544,,1.8722100257873535,34,,,3242
330.0,,56.6119418,1779618803.0774014,,1.8690863847732544,35,,,3242
340.0,,57.5649317,1779618804.030388,,1.8747735023498535,36,,,3242
350.0,,58.4979697,1779618804.9634118,,1.839242935180664,37,,,3242
360.0,,59.4207575,1779618805.886209,,1.838587760925293,38,,,3242
370.0,,60.3306485,1779618806.796107,,1.7970390319824219,39,,,3242
380.0,,61.2464289,1779618807.7117157,,1.759168028831482,40,,,3242
