train/step_loss,lr,_step,_timestamp,Sample Generation,iter,_runtime,train/loss,val/loss,seed
,9.900990099009901e-06,0,1779624556.928273,,0.0,12.1696959,4.239517688751221,4.238450527191162,3242
4.23801326751709,,1,1779624557.0349298,,0.0,12.277228,,,3242
3.151695728302002,,2,1779624557.920178,,10.0,13.1609619,,,3242
2.7710623741149902,,3,1779624558.8039165,,20.0,14.0456977,,,3242
2.614105224609375,,4,1779624559.6908474,,30.0,14.9316303,,,3242
2.5580976009368896,,5,1779624560.5756364,,40.0,15.8166037,,,3242
2.5373706817626953,,6,1779624561.4605703,,50.0,16.7013537,,,3242
2.491159200668335,,7,1779624562.3439474,,60.0,17.5847388,,,3242
2.5011394023895264,,8,1779624563.228856,,70.0,18.4696397,,,3242
2.480861186981201,,9,1779624564.1121447,,80.0,19.3535294,,,3242
2.4877688884735107,,10,1779624564.9965055,,90.0,20.2372859,,,3242
2.462339401245117,,11,1779624565.881838,,100.0,21.1230434,,,3242
2.458519458770752,,12,1779624566.7657368,,110.0,22.008077,,,3242
2.451051950454712,,13,1779624567.6496036,,120.0,22.8904224,,,3242
2.4319138526916504,,14,1779624568.5350718,,130.0,23.776428,,,3242
2.402305841445923,,15,1779624569.422802,,140.0,24.6635836,,,3242
2.3761708736419678,,16,1779624570.314459,,150.0,25.5558425,,,3242
2.3758535385131836,,17,1779624571.208413,,160.0,26.4496343,,,3242
2.3544325828552246,,18,1779624572.1021316,,170.0,27.3434587,,,3242
2.3216962814331055,,19,1779624572.989928,,180.0,28.2307329,,,3242
2.2902770042419434,,20,1779624573.8886914,,190.0,29.129477,,,3242
2.2883284091949463,,21,1779624574.7850626,,200.0,30.0261183,,,3242
2.239816665649414,,22,1779624575.6787531,,210.0,30.9196539,,,3242
2.247274875640869,,23,1779624576.5620377,,220.0,31.8037849,,,3242
2.20503830909729,,24,1779624577.45322,,230.0,32.6940037,,,3242
2.1735353469848633,,25,1779624578.3502648,,240.0,33.5910484,,,3242
,0.0009979206008271391,26,1779624590.684336,,250.0,45.9252343,2.0587854385375977,2.1481270790100098,3242
2.135815143585205,,27,1779624590.7784095,,250.0,46.0191896,,,3242
2.108144760131836,,28,1779624591.6779897,,260.0,46.9189902,,,3242
2.0749168395996094,,29,1779624592.5786185,,270.0,47.8194052,,,3242
2.028888463973999,,30,1779624593.473535,,280.0,48.7143244,,,3242
2.0305049419403076,,31,1779624594.3738146,,290.0,49.6145969,,,3242
1.9981205463409424,,32,1779624595.269856,,300.0,50.5109454,,,3242
1.9572651386260986,,33,1779624596.1550858,,310.0,51.3961446,,,3242
1.9011234045028687,,34,1779624597.045317,,320.0,52.2861018,,,3242
