_timestamp,train/loss,_step,_runtime,lr,iter,Sample Generation,train/step_loss,val/loss,seed
1779691972.7184997,4.274523735046387,0,15.2138559,9.900990099009901e-06,0.0,,,4.265923500061035,2026
1779691972.841942,,1,15.3373331,,0.0,,4.267383575439453,,2026
1779691973.9693716,,2,16.4647733,,10.0,,3.07871150970459,,2026
1779691975.1073363,,3,17.602695699999998,,20.0,,2.688211441040039,,2026
1779691976.2373328,,4,18.7328345,,30.0,,2.581751585006714,,2026
1779691977.3789604,,5,19.8743178,,40.0,,2.510441303253174,,2026
1779691978.523754,,6,21.0191887,,50.0,,2.5242936611175537,,2026
1779691979.6431696,,7,22.1385258,,60.0,,2.5114128589630127,,2026
1779691980.754375,,8,23.2497285,,70.0,,2.4769279956817627,,2026
1779691981.8491004,,9,24.3446432,,80.0,,2.4681949615478516,,2026
1779691982.9431384,,10,25.4387718,,90.0,,2.4710633754730225,,2026
1779691984.0342882,,11,26.5299235,,100.0,,2.4575424194335938,,2026
1779691985.1101289,,12,27.6054885,,110.0,,2.4475045204162598,,2026
1779691986.1916583,,13,28.6872118,,120.0,,2.444777488708496,,2026
1779691987.2871442,,14,29.78251,,130.0,,2.4233899116516113,,2026
1779691988.3684635,,15,30.863819499999998,,140.0,,2.420896053314209,,2026
1779691989.4484708,,16,31.9438367,,150.0,,2.434370279312134,,2026
1779691990.5371578,,17,33.0323692,,160.0,,2.403639554977417,,2026
1779691991.6169722,,18,34.1123379,,170.0,,2.3868207931518555,,2026
1779691992.7022595,,19,35.1971091,,180.0,,2.381063222885132,,2026
1779691993.7833364,,20,36.2781861,,190.0,,2.391777992248535,,2026
1779691994.8520517,,21,37.3484427,,200.0,,2.3688979148864746,,2026
1779691995.940455,,22,38.4358298,,210.0,,2.361541271209717,,2026
1779691997.0237253,,23,39.5192135,,220.0,,2.3606276512145996,,2026
1779691998.0980594,,24,40.5935126,,230.0,,2.3317415714263916,,2026
1779691999.1873722,,25,41.6828078,,240.0,,2.3263869285583496,,2026
1779692013.836566,2.293034315109253,26,56.3319257,0.0009979206008271391,250.0,,,2.3719491958618164,2026
1779692013.9471848,,27,56.4428016,,250.0,,2.3415606021881104,,2026
1779692015.0379794,,28,57.5336009,,260.0,,2.335118532180786,,2026
1779692016.1201816,,29,58.6163817,,270.0,,2.3077454566955566,,2026
1779692017.210921,,30,59.7064092,,280.0,,2.3479912281036377,,2026
1779692018.2934449,,31,60.7893197,,290.0,,2.2795567512512207,,2026
1779692019.3710308,,32,61.8663918,,300.0,,2.2840404510498047,,2026
1779692020.4624848,,33,62.9578504,,310.0,,2.277658462524414,,2026
1779692021.5405982,,34,64.0359596,,320.0,,2.2022435665130615,,2026
1779692022.6263156,,35,65.1216855,,330.0,,2.2159929275512695,,2026
1779692023.7340915,,36,66.2297535,,340.0,,2.1951308250427246,,2026
1779692024.8621223,,37,67.3575137,,350.0,,2.1908538341522217,,2026
1779692026.0295773,,38,68.5249331,,360.0,,2.1426920890808105,,2026
1779692027.1973941,,39,69.6927551,,370.0,,2.1189656257629395,,2026
1779692028.3608909,,40,70.8562716,,380.0,,2.089845895767212,,2026
1779692029.5271869,,41,72.0225457,,390.0,,2.053938627243042,,2026
1779692030.6958692,,42,73.1912438,,400.0,,2.0471513271331787,,2026
1779692031.8653517,,43,74.3612005,,410.0,,2.050363063812256,,2026
1779692033.0311067,,44,75.5265045,,420.0,,2.0191867351531982,,2026
1779692034.197386,,45,76.692754,,430.0,,2.071812152862549,,2026
1779692035.362539,,46,77.8578942,,440.0,,1.9901260137557983,,2026
1779692036.5267737,,47,79.0221304,,450.0,,1.9563628435134888,,2026
1779692037.6926715,,48,80.1880266,,460.0,,1.9192382097244263,,2026
1779692038.861015,,49,81.3571675,,470.0,,1.9812980890274048,,2026
1779692040.0294535,,50,82.5248151,,480.0,,1.9424442052841187,,2026
1779692041.196923,,51,83.6923515,,490.0,,1.9438318014144897,,2026
1779692056.692051,1.7984989881515503,52,99.1874895,0.0009852826883675631,500.0,,,1.9446330070495605,2026
1779692056.808131,,53,99.3042767,,500.0,,1.918750524520874,,2026
1779692057.9366474,,54,100.432011,,510.0,,1.8656314611434937,,2026
1779692059.0397906,,55,101.5346401,,520.0,,1.8938649892807007,,2026
1779692060.125379,,56,102.6207603,,530.0,,1.8411494493484497,,2026
1779692061.235495,,57,103.7308523,,540.0,,1.8770718574523926,,2026
1779692062.3592725,,58,104.8549206,,550.0,,1.8386485576629639,,2026
1779692063.480662,,59,105.976042,,560.0,,1.7906277179718018,,2026
1779692064.6052532,,60,107.1005935,,570.0,,1.7794862985610962,,2026
1779692065.7298958,,61,108.2252513,,580.0,,1.81830894947052,,2026
1779692066.927632,,62,109.4229931,,590.0,,1.8045998811721802,,2026
1779692068.1350243,,63,110.6305403,,600.0,,1.7444099187850952,,2026
1779692069.3384767,,64,111.8339446,,610.0,,1.7878717184066772,,2026
1779692070.5455534,,65,113.0409126,,620.0,,1.7949796915054321,,2026
1779692071.7475173,,66,114.2430415,,630.0,,1.7280511856079102,,2026
1779692072.9535012,,67,115.4490021,,640.0,,1.715460181236267,,2026
1779692074.160806,,68,116.6561667,,650.0,,1.7334030866622925,,2026
1779692075.362751,,69,117.8581394,,660.0,,1.7212454080581665,,2026
1779692076.5676622,,70,119.0630244,,670.0,,1.704340934753418,,2026
1779692077.7804282,,71,120.2757901,,680.0,,1.6595892906188965,,2026
1779692078.976235,,72,121.4715949,,690.0,,1.7069485187530518,,2026
1779692080.1357613,,73,122.6311249,,700.0,,1.7292627096176147,,2026
1779692081.2812142,,74,123.7765745,,710.0,,1.6743381023406982,,2026
1779692082.4299192,,75,124.9264576,,720.0,,1.6934514045715332,,2026
1779692083.5761044,,76,126.0716534,,730.0,,1.6376397609710693,,2026
1779692084.7624202,,77,127.2577888,,740.0,,1.6689298152923584,,2026
1779692100.856266,1.563044786453247,78,143.3519159,0.0009614856803571157,750.0,,,1.7621824741363525,2026
1779692100.980334,,79,143.4757024,,750.0,,1.6247341632843018,,2026
1779692102.1819863,,80,144.677491,,760.0,,1.6571849584579468,,2026
1779692103.3372695,,81,145.8326193,,770.0,,1.653681755065918,,2026
1779692104.4644706,,82,146.9602243,,780.0,,1.6413183212280273,,2026
1779692105.6149569,,83,148.110486,,790.0,,1.6327258348464966,,2026
1779692106.753507,,84,149.2489212,,800.0,,1.6747206449508667,,2026
1779692107.8703518,,85,150.3657167,,810.0,,1.643286108970642,,2026
1779692108.9848535,,86,151.4802158,,820.0,,1.6469902992248535,,2026
1779692110.1028938,,87,152.5982605,,830.0,,1.6477123498916626,,2026
1779692111.3116164,,88,153.8070923,,840.0,,1.6092487573623657,,2026
1779692112.520999,,89,155.01636,,850.0,,1.5963481664657593,,2026
1779692113.7315044,,90,156.2269894,,860.0,,1.6034513711929321,,2026
1779692114.9424877,,91,157.4378488,,870.0,,1.635279893875122,,2026
1779692116.1513982,,92,158.6467864,,880.0,,1.6041067838668823,,2026
1779692117.3601818,,93,159.8555268,,890.0,,1.5785073041915894,,2026
1779692118.5676155,,94,161.0629757,,900.0,,1.5560760498046875,,2026
1779692119.7373714,,95,162.2327214,,910.0,,1.5913528203964233,,2026
1779692120.879696,,96,163.3750582,,920.0,,1.5324475765228271,,2026
1779692122.0158453,,97,164.5112656,,930.0,,1.587454915046692,,2026
1779692123.1543145,,98,165.6497762,,940.0,,1.5604166984558105,,2026
1779692124.292143,,99,166.7874913,,950.0,,1.567073941230774,,2026
1779692125.4283721,,100,167.9242202,,960.0,,1.5758130550384521,,2026
1779692126.566543,,101,169.0620723,,970.0,,1.579351782798767,,2026
1779692127.7045703,,102,170.2000195,,980.0,,1.5092889070510864,,2026
1779692128.8785422,,103,171.3739056,,990.0,,1.5660313367843628,,2026
1779692144.595854,1.4438824653625488,104,187.0912142,0.0009271396472013282,1000.0,,,1.654209017753601,2026
1779692144.7182162,,105,187.2135992,,1000.0,,1.5756759643554688,,2026
