_timestamp,_step,val/loss,lr,iter,train/loss,_runtime,train/step_loss,Sample Generation,seed
1779704518.9847383,0,4.298460483551025,9.900990099009901e-06,0.0,4.301924228668213,13.5123068,,,2026
1779704519.091048,1,,,0.0,,13.6184433,4.283077239990234,,2026
1779704520.000459,2,,,10.0,,14.528211,3.1898038387298584,,2026
1779704520.9107885,3,,,20.0,,15.4384764,2.786534309387207,,2026
1779704521.8084705,4,,,30.0,,16.336289,2.642667293548584,,2026
1779704522.7103736,5,,,40.0,,17.2381286,2.5838048458099365,,2026
1779704523.61466,6,,,50.0,,18.1419923,2.5342159271240234,,2026
1779704524.5113547,7,,,60.0,,19.0386767,2.525242805480957,,2026
1779704525.4081123,8,,,70.0,,19.9354424,2.5016028881073,,2026
1779704526.3058023,9,,,80.0,,20.8326203,2.4997427463531494,,2026
1779704527.203622,10,,,90.0,,21.7309465,2.4934158325195312,,2026
1779704528.1003766,11,,,100.0,,22.6291284,2.477447748184204,,2026
1779704528.9979033,12,,,110.0,,23.5252254,2.4678099155426025,,2026
1779704529.8982294,13,,,120.0,,24.4260269,2.4249660968780518,,2026
1779704530.8405046,14,,,130.0,,25.3673225,2.4675474166870117,,2026
1779704531.7582233,15,,,140.0,,26.2855485,2.4464893341064453,,2026
1779704532.6713567,16,,,150.0,,27.1989695,2.4216151237487793,,2026
1779704533.5777783,17,,,160.0,,28.1053537,2.4296975135803223,,2026
1779704534.4942791,18,,,170.0,,29.0222511,2.4218826293945312,,2026
1779704535.4086106,19,,,180.0,,29.9359349,2.413351058959961,,2026
1779704536.3284626,20,,,190.0,,30.8557861,2.3821239471435547,,2026
1779704537.244957,21,,,200.0,,31.7722788,2.3770499229431152,,2026
1779704538.1519125,22,,,210.0,,32.679399,2.340243339538574,,2026
1779704539.0589054,23,,,220.0,,33.5865665,2.341907024383545,,2026
1779704539.968453,24,,,230.0,,34.4957783,2.3042964935302734,,2026
1779704540.8828998,25,,,240.0,,35.4102254,2.277113199234009,,2026
1779704554.6909282,26,2.272315502166748,0.0009979206008271391,250.0,2.226773977279663,49.2177461,,,2026
