step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.358304977416992,4.328134536743164,0.01,-100.0
1,1,3.7483131885528564,3.678283214569092,0.01,-100.0,0.01601004833355546,0.014106235699728131,0.0441500642336905,0.3918817639350891
2,2,6.642034530639648,6.439352035522461,0.01,-100.0,0.01731496350839734,0.19975776597857475,0.49784456565976143,1.4334900379180908
3,3,5.724754333496094,6.1570024490356445,0.01,-100.0,0.01914610993117094,2.76384299993515,2.256638154387474,1.3576968312263489
4,4,5.415703773498535,5.2374396324157715,0.01,-100.0,0.02050352143123746,6.342512428760529,6.234619826078415,3.8552000522613525
5,5,5.505291938781738,5.2552008628845215,0.01,-100.0,0.021302152425050735,11.020676493644714,8.74930927157402,5.228811264038086
6,6,4.451362133026123,4.60817813873291,0.01,0.3624635368379145,0.02196632605046034,15.356614708900452,9.937525898218155,5.595958471298218
7,7,4.161113739013672,4.127740383148193,0.01,0.3595723093613082,0.02264914335682988,20.272106170654297,12.389356821775436,5.859971523284912
8,8,3.8747825622558594,4.183476448059082,0.01,0.35830711788986397,0.023167749401181936,25.87409734725952,17.25394731760025,5.943153619766235
9,9,4.2753777503967285,4.007566928863525,0.01,0.3579849412917678,0.023385995533317327,30.90870428085327,21.814172446727753,5.785751581192017
10,10,3.9015936851501465,4.019122123718262,0.01,0.35806952163696926,0.023768873885273933,34.88715434074402,24.872310042381287,5.69642448425293
